Patrick Mahomes,KC,1720,1651,0.317,0.3,609,4593,38,9,1,2,6,390,0.664,5.7,4,56,3,2020
Aaron Rodgers,GB,1649,1766,0.337,0.369,543,4104,48,6,0,1,5,372,0.713,6,9,159,4.8,2020
Tom Brady,TB,1518,1452,0.25,0.235,627,4466,40,13,1,0,12,401,0.664,4.5,23,395,2.6,2020
Josh Allen,BUF,1460,1417,0.259,0.249,598,4385,37,15,3,2,10,396,0.692,4.7,8,170,2,2020
Deshaun Watson,HOU,1234,1332,0.202,0.227,591,4530,33,11,2,2,7,382,0.705,5.2,6,130,2.1,2020
Ryan Tannehill,TEN,1046,1139,0.196,0.223,505,3636,33,11,3,1,7,315,0.656,4.9,10,169,1.2,2020
Derek Carr,LV,925,833,0.14,0.115,539,3943,27,17,1,7,9,348,0.68,5.6,10,244,4.4,2020
Justin Herbert,LAC,861,808,0.102,0.089,623,4118,31,13,2,1,10,396,0.67,5.6,7,129,1.2,2020
Kirk Cousins,MIN,837,935,0.12,0.148,552,4009,35,19,4,4,11,349,0.68,5.5,8,127,1.4,2020
Matt Ryan,ATL,817,680,0.076,0.045,666,4303,26,14,2,2,10,407,0.653,4,9,109,1.7,2020
Russell Wilson,SEA,773,722,0.081,0.068,604,3879,40,15,0,2,13,384,0.693,4.8,8,198,2.9,2020
Drew Brees,NO,769,709,0.176,0.153,401,2845,24,11,3,2,6,275,0.711,5.4,5,85,0.1,2020
Philip Rivers,IND,765,1025,0.099,0.171,559,4047,24,13,1,1,11,369,0.685,6,13,176,0.5,2020
Matthew Stafford,DET,684,628,0.077,0.061,559,3820,26,12,1,1,10,339,0.652,5.1,9,152,2.2,2020
Kyler Murray,ARI,590,583,0.046,0.044,577,3760,26,16,0,4,12,375,0.687,4.7,10,113,2.8,2020
Baker Mayfield,CLE,545,641,0.051,0.079,507,3326,26,12,1,3,8,305,0.642,4.5,6,83,1.8,2020
Ben Roethlisberger,PIT,518,677,0.011,0.049,621,3676,33,12,2,0,10,399,0.657,4.9,19,351,0.7,2020
Teddy Bridgewater,CAR,446,248,0.02,-0.038,521,3508,15,13,0,2,11,340,0.697,5.5,8,116,-0.3,2020
Dak Prescott,DAL,399,391,0.14,0.135,231,1790,9,7,0,3,4,151,0.683,5.4,2,4,2.5,2020
Jared Goff,LA,385,305,-0.011,-0.032,573,3761,20,18,2,3,13,370,0.676,5.8,5,68,1.6,2020
Ryan Fitzpatrick,MIA,362,400,0.075,0.094,280,2026,13,9,1,0,8,183,0.688,4.7,10,150,2.2,2020
Lamar Jackson,BAL,265,368,-0.007,0.033,402,2597,26,13,2,2,9,242,0.649,4.8,3,83,1.4,2020
Jimmy Garoppolo,SF,198,155,0.093,0.049,151,1019,7,5,1,0,4,94,0.671,7.6,2,33,1.4,2020
Joe Burrow,CIN,108,98,-0.073,-0.076,433,2457,13,9,1,3,5,264,0.658,4.3,4,52,1.6,2020
Chad Henne,KC,89,82,0.223,0.195,40,244,2,0,0,0,0,28,0.737,7.1,0,0,-5.1,2020
Mitch Trubisky,CHI,79,281,-0.075,0.019,315,1930,16,12,2,2,8,199,0.67,5,3,36,1.7,2020
Nick Mullens,SF,76,-63,-0.077,-0.14,345,2298,12,17,1,4,12,211,0.647,5.9,5,79,0.1,2020
C.J. Beathard,SF,75,111,-0.01,0.038,112,716,6,3,0,3,0,66,0.641,5.2,1,10,1,2020
Jarvis Landry,CLE,59,64,1.993,2.155,4,74,1,0,0,0,0,4,1,4,0,0,3,2020
Tua Tagovailoa,MIA,56,29,-0.085,-0.098,307,1667,11,6,0,1,5,186,0.65,4.1,9,86,2.5,2020
Jakobi Meyers,NE,53,55,3.663,3.761,2,43,2,0,0,0,0,2,1,3,0,0,0,2020
Marcus Mariota,LV,45,38,0.13,0.095,27,226,1,1,0,0,1,17,0.63,4.5,1,10,-5.3,2020
Jamison Crowder,NYJ,39,39,5.593,5.543,1,43,1,0,0,0,0,1,1,16,0,0,0,2020
Taylor Heinicke,WAS,33,31,0.127,0.116,20,130,1,0,0,0,0,12,0.632,4.1,0,0,-1.5,2020
Cole Beasley,BUF,30,29,3.917,3.819,1,20,1,0,0,0,0,1,1,0,0,0,0,2020
Julian Edelman,NE,29,29,2.705,2.716,2,38,0,0,0,0,0,2,1,20,0,0,0,2020
Garrett Gilbert,DAL,25,-36,-0.005,-0.265,39,220,1,1,0,0,1,21,0.568,2.5,0,0,3.5,2020
Russell Gage,ATL,24,25,1.211,1.273,2,39,1,0,0,0,0,1,0.5,2,0,0,36,2020
Cedrick Wilson,DAL,24,25,2.728,2.832,2,23,1,0,0,0,0,2,1,10.5,0,0,-24,2020
Isaiah McKenzie,BUF,23,24,3.029,3.107,1,12,1,0,0,0,0,1,1,17,0,0,0,2020
Matt Barkley,BUF,21,21,0.045,0.046,22,190,1,1,0,0,1,11,0.524,5,0,0,5.3,2020
Zay Jones,LV,20,20,3.312,3.27,1,29,0,0,0,0,0,1,1,3,0,0,0,2020
Tyrod Taylor,LAC,20,40,-0.007,0.095,32,207,0,0,0,0,0,16,0.533,5,0,0,7,2020
Kyle Allen,WAS,20,62,-0.08,-0.014,94,566,4,2,0,1,1,60,0.69,5.4,1,19,-0.4,2020
Logan Thomas,WAS,17,18,2.274,2.533,1,28,0,0,0,0,0,1,1,0,0,0,0,2020
Trace McSorley,BAL,15,8,0.14,0.021,10,90,1,0,0,0,0,3,0.3,17.7,0,0,-1.8,2020
Lynn Bowden,MIA,14,13,0.782,0.709,2,32,0,0,0,0,0,1,0.5,34,0,0,0,2020
Blaine Gabbert,TB,13,40,-0.001,0.222,17,136,2,1,1,0,0,9,0.563,8.9,1,35,-4.8,2020
Odell Beckham,CLE,12,12,1.654,1.69,1,18,0,0,0,0,0,1,1,1,0,0,0,2020
Greg Ward,PHI,12,10,1.612,1.371,1,15,0,0,0,0,0,1,1,0,0,0,0,2020
Golden Tate,NYG,6,6,0.469,0.492,2,18,0,0,0,0,0,1,0.5,23,0,0,-16,2020
Gardner Minshew,JAC,4,219,-0.11,-0.018,353,2112,16,9,0,4,5,216,0.663,4.7,7,80,0.1,2020
