"Year","Team","Off/Def","ALYards","Rank1","RBYards","Rank2","Pwr Success","Rank3","Stuffed","Rank4","2nd Level","Rank5","Open Field","Rank6","Sacks","Rank7","Adj Sack %"
"2021","ARI","O","3.93","26","4.14","22","70","13","17","15","1.16","23","0.62","16","39","15","6.5"
"2021","ATL","O","4.16","20","3.87","27","50","32","18","25","1.17","20","0.42","25","40","20","7.0"
"2021","BAL","O","3.82","29","4.22","17","69","16","16","13","1.11","27","0.68","13","57","29","8.6"
"2021","BUF","O","4.40","12","4.29","13","67","17","16","12","1.16","22","0.68","14","27","2","4.5"
"2021","CAR","O","3.97","25","3.80","28","72","10","21","31","1.19","18","0.41","27","52","27","8.5"
"2021","CHI","O","4.06","23","3.93","25","62","24","21","30","1.11","26","0.50","22","58","32","9.5"
"2021","CIN","O","4.36","15","4.17","21","51","31","15","7","1.20","16","0.57","18","55","31","9.1"
"2021","CLE","O","4.85","1","5.29","1","74","7","15","4","1.60","1","1.17","3","49","30","8.7"
"2021","DAL","O","4.80","2","4.68","5","69","14","13","2","1.25","8","0.74","10","33","9","5.6"
"2021","DEN","O","4.29","18","4.51","6","71","11","18","19","1.37","3","0.83","6","40","21","7.5"
"2021","DET","O","4.09","21","4.27","14","59","26","19","27","1.20","15","0.78","8","36","12","5.8"
"2021","GB","O","4.79","3","4.39","9","74","6","13","3","1.21","13","0.53","20","33","6","5.1"
"2021","HOU","O","3.33","32","3.16","32","72","8","18","24","0.72","32","0.28","32","44","22","7.6"
"2021","IND","O","4.60","7","5.17","2","71","12","19","29","1.43","2","1.33","1","32","13","6.2"
"2021","JAC","O","4.39","13","4.20","19","69","15","16","9","1.14","24","0.54","19","32","10","5.6"
"2021","KC","O","4.55","8","4.25","16","76","5","15","5","1.22","12","0.37","29","28","4","4.8"
"2021","LAC","O","4.45","10","4.25","15","60","25","16","10","1.23","10","0.61","17","31","5","5.0"
"2021","LA","O","4.62","6","4.20","18","54","29","18","21","1.25","9","0.47","24","31","7","5.2"
"2021","LV","O","4.29","17","4.01","24","63","22","16","11","1.13","25","0.48","23","40","18","6.7"
"2021","MIA","O","3.81","30","3.62","30","52","30","18","22","0.84","31","0.35","30","40","19","6.9"
"2021","MIN","O","4.02","24","4.33","12","72","9","23","32","1.27","7","0.95","4","30","3","4.7"
"2021","NE","O","4.52","9","4.50","7","77","4","18","23","1.32","5","0.82","7","28","8","5.4"
"2021","NO","O","3.92","27","3.57","31","55","28","19","28","1.04","28","0.32","31","37","23","7.7"
"2021","NYG","O","3.74","31","3.88","26","66","19","19","26","1.04","29","0.51","21","38","14","6.4"
"2021","NYJ","O","4.06","22","4.19","20","64","21","18","20","1.17","19","0.74","11","53","28","8.6"
"2021","PHI","O","4.78","4","4.80","4","67","17","12","1","1.34","4","0.76","9","31","16","6.6"
"2021","PIT","O","3.84","28","3.75","29","58","27","17","17","1.02","30","0.42","26","38","11","5.6"
"2021","SEA","O","4.39","14","4.98","3","63","23","17","18","1.23","11","1.29","2","46","25","8.0"
"2021","SF","O","4.40","11","4.34","11","65","20","17","14","1.29","6","0.64","15","33","17","6.6"
"2021","TB","O","4.68","5","4.44","8","81","2","15","8","1.20","14","0.70","12","23","1","3.5"
"2021","TEN","O","4.31","16","4.36","10","83","1","17","16","1.16","21","0.84","5","47","26","8.4"
"2021","WAS","O","4.28","19","4.09","23","77","3","15","6","1.19","17","0.39","28","43","24","8.0"
