Cordarrelle Patterson,ATL,188,176,0.317,0.29,69,548,5,0.75,52,7.4,0,0,0,2021
Darrel Williams,KC,179,162,0.424,0.368,57,452,2,0.82,47,9.3,0,0,0,2021
James Conner,ARI,166,183,0.624,0.7,40,375,3,0.95,38,10.2,0,0,0,2021
Brandon Bolden,NE,156,147,0.464,0.43,49,405,2,0.84,41,10.1,0,0,0,2021
Austin Ekeler,LAC,136,143,0.126,0.14,94,647,8,0.74,70,9,4,0,0,2021
Leonard Fournette,TB,120,86,0.091,0.026,84,454,2,0.82,69,6.5,1,1,31,2021
Christian McCaffrey,CAR,116,136,0.338,0.42,41,343,1,0.9,37,7,0,0,0,2021
Kyle Juszczyk,SF,114,127,0.426,0.49,38,296,1,0.79,30,5,0,0,0,2021
AJ Dillon,GB,110,106,0.365,0.347,37,313,2,0.92,34,9.1,1,1,3,2021
Ty Johnson,NYJ,108,108,0.224,0.224,55,372,2,0.62,34,9.8,0,0,0,2021
Alvin Kamara,NO,102,127,0.146,0.216,67,439,5,0.7,47,9.3,0,0,0,2021
J.D. McKissic,WAS,98,94,0.206,0.19,53,396,2,0.81,43,8.8,0,1,4,2021
Aaron Jones,GB,97,108,0.119,0.148,65,391,6,0.8,52,7.9,1,0,0,2021
Kenyan Drake,LV,86,81,0.253,0.229,40,291,1,0.75,30,8.6,0,0,0,2021
Demetric Felton,CLE,80,75,0.489,0.448,21,181,2,0.86,18,11.2,0,0,0,2021
Devontae Booker,NYG,79,60,0.19,0.112,45,268,1,0.89,40,7.4,0,0,0,2021
Justin Jackson,LAC,75,71,0.387,0.355,25,178,0,0.88,22,7.5,0,0,0,2021
Chris Evans,CIN,66,76,0.561,0.673,17,151,2,0.88,15,7.5,0,1,4,2021
Travis Homer,SEA,65,52,0.429,0.312,20,161,0,0.8,16,8,0,0,0,2021
Tony Pollard,DAL,63,57,0.104,0.08,46,337,0,0.85,39,8.7,2,0,0,2021
D'Onta Foreman,TEN,63,57,0.853,0.761,11,123,0,0.82,9,13.8,0,0,0,2021
Nick Chubb,CLE,59,61,0.254,0.267,25,174,1,0.8,20,9.2,0,0,0,2021
David Montgomery,CHI,54,71,0.063,0.126,51,301,0,0.82,42,6.5,0,0,0,2021
Elijah Mitchell,SF,52,52,0.412,0.41,20,137,1,0.95,19,7.9,0,0,0,2021
Clyde Edwards-Helaire,KC,51,43,0.237,0.176,23,129,2,0.83,19,8.9,0,0,0,2021
Damien Harris,NE,50,35,0.315,0.18,21,132,0,0.86,18,7.4,0,0,0,2021
Derrick Henry,TEN,45,63,0.273,0.435,20,154,0,0.9,18,8.9,0,0,0,2021
Javonte Williams,DEN,44,57,0.033,0.081,53,316,3,0.81,43,8,0,0,0,2021
Ameer Abdullah,-,43,37,0.018,-0.003,53,289,1,0.72,38,7.7,0,0,0,2021
Derrick Gore,KC,43,43,0.673,0.666,9,105,0,0.89,8,11.3,0,0,0,2021
Jamaal Williams,DET,36,34,0.115,0.101,28,157,0,0.93,26,6,0,0,0,2021
Jerick McKinnon,KC,35,27,0.15,0.081,21,107,1,0.65,13,9.6,0,0,0,2021
Matt Breida,BUF,35,45,0.528,0.718,9,72,2,0.78,7,8.7,0,0,0,2021
Devonta Freeman,BAL,34,14,0.006,-0.08,42,190,1,0.81,34,5.4,0,0,0,2021
Alec Ingold,LV,33,35,0.268,0.297,12,85,1,0.83,10,4.6,0,0,0,2021
D'Andre Swift,DET,32,18,-0.064,-0.096,79,452,2,0.79,62,8,2,0,0,2021
Jaret Patterson,WAS,31,22,0.341,0.207,11,73,0,0.91,10,7.5,0,0,0,2021
