Player,GSIS,Full Name,Team,DYAR,YAR,DVOA,VOA,Runs,Yards,TD,FUM,Suc Rate
28-J.Taylor,00-0036223,Jonathan Taylor,IND,511,403,25.3%,18.1%,332,1811,18,3,56%
7-L.Fournette,00-0033856,Leonard Fournette,TB,201,180,15.9%,13.4%,180,812,8,0,57%
30-A.Ekeler,00-0033699,Austin Ekeler,LAC,189,176,11.9%,10.5%,206,911,12,0,56%
24-N.Chubb,00-0034791,Nick Chubb,CLE,182,231,10.8%,16.0%,228,1259,8,2,51%
37-D.Harris,00-0035657,Damien Harris,NE,175,193,10.8%,12.8%,202,929,15,2,54%
20-R.Penny,00-0034750,Rashaad Penny,SEA,174,168,27.3%,26.0%,119,749,6,0,47%
25-J.Robinson,00-0035831,James Robinson,JAC,170,128,15.4%,9.5%,164,767,8,2,49%
28-A.Dillon,00-0036265,AJ Dillon,GB,159,169,9.7%,10.8%,187,803,5,1,63%
20-T.Pollard,00-0035261,Tony Pollard,DAL,145,164,17.9%,21.5%,130,719,2,0,55%
30-D.Johnson,00-0035628,D'Ernest Johnson,CLE,142,143,27.8%,27.8%,100,534,3,0,55%
21-E.Elliott,00-0033045,Ezekiel Elliott,DAL,138,160,4.7%,6.8%,237,1002,10,1,53%
26-M.Sanders,00-0035243,Miles Sanders,PHI,138,107,14.2%,9.1%,137,754,0,1,59%
33-A.Jones,00-0033293,Aaron Jones,GB,131,116,9.9%,7.8%,171,799,4,1,50%
25-E.Mitchell,00-0036567,Elijah Mitchell,SF,123,109,5.7%,4.1%,207,963,5,0,50%
27-D.Henderson,00-0035664,Darrell Henderson,LA,122,139,10.1%,12.7%,149,688,5,0,58%
26-D.Singletary,00-0035250,Devin Singletary,BUF,113,107,5.6%,4.9%,188,870,7,2,50%
2-C.Edmonds,00-0034681,Chase Edmonds,ARI,109,110,12.9%,13.1%,116,592,2,0,58%
22-D.Henry,00-0032764,Derrick Henry,TEN,99,88,2.2%,1.0%,219,937,10,1,45%
38-R.Stevenson,00-0036875,Rhamondre Stevenson,NE,97,102,8.8%,9.6%,133,606,5,1,59%
31-Da.Williams,00-0034301,Darrel Williams,KC,93,97,5.1%,5.7%,144,558,6,0,58%
24-J.Howard,00-0032780,Jordan Howard,PHI,93,109,15.9%,20.3%,86,406,3,0,64%
28-L.Murray,00-0030513,Latavius Murray,BAL,91,112,7.3%,11.0%,119,501,6,0,58%
32-Mi.Carter,00-0036924,Michael Carter,NYJ,88,60,5.6%,1.1%,147,639,4,0,51%
6-J.Conner,00-0033553,James Conner,ARI,88,50,0.5%,-3.4%,202,752,15,2,52%
28-J.Mixon,00-0033897,Joe Mixon,CIN,87,126,-1.8%,1.3%,292,1205,13,1,51%
35-B.Scott,00-0034414,Boston Scott,PHI,84,97,12.9%,16.3%,87,373,7,1,57%
25-S.Michel,00-0034845,Sony Michel,LA,83,47,0.6%,-3.4%,208,845,4,1,54%
21-N.Hines,00-0034367,Nyheim Hines,IND,82,64,29.3%,20.9%,56,276,2,0,48%
27-R.Jones,00-0034816,Ronald Jones,TB,79,67,8.7%,6.1%,101,428,4,2,62%
24-K.Herbert,00-0036906,Khalil Herbert,CHI,78,65,10.1%,7.0%,103,433,2,0,50%
25-M.Gordon,00-0032144,Melvin Gordon,DEN,74,140,-0.1%,7.4%,203,918,8,3,55%
27-K.Hunt,00-0033923,Kareem Hunt,CLE,72,83,13.5%,16.9%,78,386,5,0,51%
40-D.Hilliard,00-0034253,Dontrell Hilliard,TEN,65,68,22.3%,24.0%,56,350,2,1,46%
