Player,GSIS,Full Name,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,TD,Catch Rate,Catches,YAC,FUM,DPI,DPI Yards
89-M.Andrews,00-0034753,Mark Andrews,BAL,310,320,24.6%,25.6%,153,1361,9,70%,107,4.2,1,0,0
87-T.Kelce,00-0030506,Travis Kelce,KC,257,236,21.2%,18.9%,134,1125,9,69%,92,6.1,1,3,60
88-D.Goedert,00-0034351,Dallas Goedert,PHI,220,232,34.7%,36.8%,76,830,4,74%,56,6.9,1,1,21
86-D.Schultz,00-0034383,Dalton Schultz,DAL,190,169,20.3%,17.2%,104,808,8,75%,78,4.4,0,0,0
85-H.Henry,00-0033090,Hunter Henry,NE,174,188,25.8%,28.4%,75,603,9,67%,50,2.9,0,3,41
87-R.Gronkowski,00-0027656,Rob Gronkowski,TB,166,150,19.9%,17.2%,89,802,6,62%,55,6.4,0,2,17
85-G.Kittle,00-0033288,George Kittle,SF,166,181,20.1%,22.6%,94,910,6,76%,71,6.3,2,0,0
88-D.Knox,00-0035689,Dawson Knox,BUF,126,127,18.4%,18.5%,71,587,9,69%,49,5.7,0,0,0
8-K.Pitts,00-0036970,Kyle Pitts,ATL,120,111,8.8%,7.6%,110,1026,1,62%,68,4.6,0,4,34
87-C.Uzomah,00-0032134,C.J. Uzomah,CIN,75,71,11.4%,10.5%,63,493,5,78%,49,6.1,0,0,0
87-M.Williams,00-0031558,Maxx Williams,ARI,74,75,57.6%,58.2%,17,193,1,94%,16,7.8,0,0,0
88-T.Hockenson,00-0035229,T.J. Hockenson,DET,71,69,5.2%,4.9%,84,583,4,73%,61,3.3,0,2,27
85-D.Njoku,00-0033885,David Njoku,CLE,71,68,12.8%,12.0%,53,475,4,68%,36,6.9,0,0,0
89-T.Higbee,00-0033110,Tyler Higbee,LA,58,25,2.5%,-3.0%,85,560,5,72%,61,4.5,1,0,0
88-H.Bryant,00-0036232,Harrison Bryant,CLE,54,62,19.6%,23.6%,28,233,3,75%,21,3.8,0,0,0
87-N.Fant,00-0035644,Noah Fant,DEN,52,58,2.3%,3.4%,90,670,4,76%,68,4.7,0,0,0
88-P.Freiermuth,00-0036894,Pat Freiermuth,PIT,51,55,2.6%,3.3%,79,497,7,76%,60,4.1,1,0,0
81-D.Smythe,00-0034798,Durham Smythe,MIA,47,42,9.9%,8.2%,41,357,0,83%,34,4.7,0,0,0
82-L.Thomas,00-0031260,Logan Thomas,WAS,46,48,18.9%,20.3%,25,201,3,72%,18,3.7,1,1,12
83-J.Johnson,00-0036040,Juwan Johnson,NO,45,51,22.2%,26.6%,22,159,4,59%,13,3.2,0,0,0
85-M.Pruitt,00-0031585,MyCole Pruitt,TEN,45,48,25.9%,28.8%,18,145,3,78%,14,4.2,0,0,0
82-S.Anderson,00-0032725,Stephen Anderson,LAC,38,37,18.8%,18.4%,19,165,1,84%,16,7.2,0,1,15
81-G.Everett,00-0033895,Gerald Everett,SEA,37,23,1.2%,-1.8%,63,478,4,76%,48,5.2,2,0,0
80-J.Graham,00-0027696,Jimmy Graham,CHI,32,35,14.3%,15.9%,23,167,3,61%,14,3.9,0,0,0
85-R.Tonyan,00-0033757,Robert Tonyan,GB,30,20,6.1%,1.8%,29,204,2,62%,18,5.8,0,3,55
89-D.Parham,00-0035329,Donald Parham,LAC,28,25,7.0%,5.3%,27,190,3,74%,20,6.9,0,1,9
87-F.Moreau,00-0034981,Foster Moreau,LV,26,34,1.6%,4.0%,44,373,3,68%,30,6.3,1,1,17
87-J.Bates,00-0036628,John Bates,WAS,26,26,8.0%,8.1%,25,249,1,80%,20,7.0,1,0,0
83-A.Auclair,,,HOU,25,25,61.2%,61.7%,5,47,1,100%,5,5.0,0,0,0
88-J.Fortson,00-0035547,Jody Fortson,KC,23,26,54.6%,62.8%,5,47,2,100%,5,1.8,0,0,0
84-J.Doyle,00-0030181,Jack Doyle,IND,20,23,-0.4%,0.5%,43,302,3,67%,29,4.3,0,0,0
87-J.Horsted,00-0035562,Jesper Horsted,CHI,20,20,73.3%,73.7%,3,21,2,67%,2,0.0,0,0,0
18-J.James,00-0032135,Jesse James,CHI,20,17,38.1%,31.4%,8,62,1,88%,7,2.6,0,0,0
81-T.Kroft,00-0032214,Tyler Kroft,NYJ,19,11,4.0%,-0.7%,25,173,1,64%,16,4.6,0,1,8
81-N.Vannett,00-0032394,Nick Vannett,NO,18,26,10.7%,19.4%,15,133,1,60%,9,10.2,0,0,0
85-A.Okwuegbunam,00-0036423,Albert Okwuegbunam,DEN,16,24,-1.0%,2.4%,40,330,2,83%,33,7.4,1,0,0
89-B.Wright,00-0036754,Brock Wright,DET,14,3,5.0%,-4.5%,17,117,2,71%,12,5.3,0,0,0
84-C.Manhertz,00-0031484,Chris Manhertz,JAC,14,15,14.5%,16.8%,9,71,1,67%,6,4.3,0,0,0
89-W.Dissly,00-0034159,Will Dissly,SEA,14,21,0.6%,4.4%,26,231,1,81%,21,6.8,1,0,0
