Player,GSIS,Full Name,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,TD,Catch Rate,Catches,YAC,FUM,DPI,DPI Yards
10-C.Kupp,00-0033908,Cooper Kupp,LA,618,641,27.6%,29.1%,191,1947,16,76%,145,5.8,0,3,18
17-D.Adams,00-0031381,Davante Adams,GB,423,441,17.6%,18.9%,169,1553,11,73%,123,4.9,0,7,78
18-J.Jefferson,00-0036322,Justin Jefferson,MIN,416,410,18.9%,18.5%,167,1616,10,65%,108,4.5,1,4,84
13-M.Evans,00-0031408,Mike Evans,TB,340,353,23.9%,25.3%,114,1035,14,65%,74,3.2,0,2,20
85-T.Higgins,00-0036410,Tee Higgins,CIN,334,339,25.0%,25.5%,110,1091,6,67%,74,3.9,1,5,79
1-J.Chase,00-0036900,Ja'Marr Chase,CIN,326,337,19.3%,20.4%,128,1455,13,63%,81,8.0,2,2,19
10-T.Hill,00-0033040,Tyreek Hill,KC,313,279,11.6%,9.0%,159,1239,9,70%,111,4.0,2,2,60
16-T.Lockett,00-0032211,Tyler Lockett,SEA,308,322,22.8%,24.4%,107,1175,8,68%,73,3.8,0,5,123
13-C.Kirk,00-0034775,Christian Kirk,ARI,286,289,23.2%,23.7%,101,982,5,74%,75,3.0,0,1,15
13-H.Renfrow,00-0034983,Hunter Renfrow,LV,269,256,14.1%,12.8%,128,1038,9,80%,103,4.4,1,2,18
14-C.Godwin,00-0033921,Chris Godwin,TB,245,255,10.6%,11.6%,127,1103,5,77%,98,6.0,2,3,39
81-M.Williams,00-0033536,Mike Williams,LAC,234,217,9.6%,7.9%,129,1145,9,59%,76,5.5,0,3,55
19-D.Samuel,00-0035719,Deebo Samuel,SF,231,235,12.4%,12.8%,122,1405,6,64%,78,10.0,4,0,0
84-K.Bourne,00-0033307,Kendrick Bourne,NE,228,235,30.1%,31.4%,70,800,5,79%,55,7.0,1,1,7
11-B.Aiyuk,00-0036261,Brandon Aiyuk,SF,227,231,21.9%,22.6%,83,826,5,66%,55,6.3,1,3,86
88-C.Lamb,00-0036358,CeeDee Lamb,DAL,205,218,7.9%,9.3%,120,1102,6,66%,79,5.6,0,5,40
13-B.Pringle,00-0034297,Byron Pringle,KC,202,200,29.6%,29.3%,60,568,5,70%,42,4.5,0,0,0
11-M.Pittman,00-0036252,Michael Pittman,IND,202,212,7.1%,8.1%,129,1082,6,68%,88,4.0,1,3,69
10-D.Hopkins,00-0030564,DeAndre Hopkins,ARI,191,217,23.9%,28.9%,64,572,8,66%,42,3.3,0,3,49
81-T.Patrick,00-0033375,Tim Patrick,DEN,190,181,15.9%,14.4%,85,734,5,62%,53,3.8,0,1,35
13-A.Lazard,00-0034521,Allen Lazard,GB,187,199,24.8%,27.2%,60,513,8,67%,40,4.4,0,2,37
14-A.St. Brown,00-0036963,Amon-Ra St. Brown,DET,181,179,6.9%,6.6%,119,912,5,76%,90,4.7,0,0,0
19-A.Cooper,00-0031544,Amari Cooper,DAL,179,187,8.0%,8.9%,104,865,8,65%,68,3.4,1,4,36
14-S.Diggs,00-0031588,Stefon Diggs,BUF,178,187,0.5%,1.2%,164,1225,10,63%,103,3.2,1,6,78
13-B.Cooks,00-0031236,Brandin Cooks,HOU,177,172,3.5%,3.0%,134,1035,6,67%,90,3.8,0,7,128
6-D.Smith,00-0036912,DeVonta Smith,PHI,166,180,7.7%,9.4%,104,916,5,62%,64,3.3,1,3,29
1-C.Wilson,00-0034418,Cedrick Wilson,DAL,154,144,18.6%,16.6%,61,602,6,74%,45,5.8,1,1,14
18-A.Green,00-0027942,A.J. Green,ARI,148,135,7.5%,5.8%,92,848,3,59%,54,3.4,0,1,14
17-J.Waddle,00-0036613,Jaylen Waddle,MIA,146,159,0.3%,1.5%,140,1015,7,74%,104,4.2,1,3,27
11-H.Ruggs,00-0036357,Henry Ruggs,LV,142,148,34.9%,36.6%,36,469,2,67%,24,4.5,0,1,45
19-A.Thielen,00-0030035,Adam Thielen,MIN,142,132,6.5%,5.1%,95,726,10,71%,67,3.6,1,0,0
2-R.Woods,00-0030431,Robert Woods,LA,139,147,12.7%,14.2%,69,556,4,65%,45,4.4,0,1,13
17-T.McLaurin,00-0035659,Terry McLaurin,WAS,139,116,0.8%,-1.4%,130,1053,5,59%,77,4.0,0,3,35
13-K.Allen,00-0030279,Keenan Allen,LAC,133,121,-2.3%,-3.3%,157,1138,6,68%,106,3.2,1,3,34
11-D.Harris,00-0035215,Deonte Harty,NO,132,128,17.3%,16.2%,59,570,3,61%,36,6.8,0,1,27
14-C.Sutton,00-0034348,Courtland Sutton,DEN,131,131,3.7%,3.7%,98,776,2,59%,58,2.3,0,6,104
1-E.Sanders,00-0027685,Emmanuel Sanders,BUF,131,131,11.8%,11.9%,72,626,4,58%,42,2.0,0,0,0
81-A.Brown,00-0027793,Antonio Brown,TB,126,130,12.8%,13.4%,62,545,4,68%,42,4.5,0,1,7
11-D.Peoples-Jones,00-0036233,Donovan Peoples-Jones,CLE,122,125,13.1%,13.7%,58,597,3,59%,34,4.3,1,3,46
17-M.Hardman,00-0035140,Mecole Hardman,KC,120,98,5.2%,1.9%,83,693,2,71%,59,8.5,1,0,0
15-J.Guyton,00-0035414,Jalen Guyton,LAC,120,127,18.7%,20.6%,48,448,3,65%,31,4.8,0,2,29
18-R.Cobb,00-0028002,Randall Cobb,GB,117,117,23.5%,23.3%,39,375,5,72%,28,4.9,0,0,0
14-D.Metcalf,00-0035640,DK Metcalf,SEA,113,143,-1.8%,1.1%,129,967,12,58%,75,4.4,1,3,36
89-B.Edwards,00-0036365,Bryan Edwards,LV,112,112,10.4%,10.3%,59,571,3,58%,34,5.6,1,3,57
11-A.Brown,00-0035676,A.J. Brown,TEN,112,113,1.2%,1.2%,105,869,5,60%,63,3.7,0,1,12
13-G.Davis,00-0036196,Gabriel Davis,BUF,111,118,9.2%,10.8%,63,549,6,56%,35,3.8,0,1,7
83-T.Boyd,00-0033009,Tyler Boyd,CIN,109,134,2.2%,5.5%,94,828,5,71%,67,5.8,1,0,0
1-M.Callaway,00-0036219,Marquez Callaway,NO,104,98,3.5%,2.6%,84,698,6,55%,46,3.1,0,1,4
12-R.Bateman,00-0036550,Rashod Bateman,BAL,104,103,5.6%,5.4%,68,515,1,68%,46,3.5,0,3,80
7-Z.Jones,00-0033891,Zay Jones,LV,102,82,5.8%,2.1%,70,546,1,67%,47,3.6,1,2,79
88-K.Cole,00-0033681,Keelan Cole,NYJ,102,97,12.3%,11.1%,51,449,1,55%,28,3.0,0,3,82
14-R.Gage,00-0034411,Russell Gage,ATL,102,99,1.4%,1.0%,94,771,4,70%,66,3.8,2,1,7
84-L.Humphrey,00-0035406,Lil'Jordan Humphrey,NO,99,96,62.6%,60.2%,18,249,2,72%,13,7.8,0,0,0
1-D.Jackson,00-0026189,DeSean Jackson,2TM,98,91,21.2%,18.5%,34,454,2,59%,20,8.8,1,2,47
15-C.Grayson,00-0033215,Cyril Grayson,TB,93,96,91.1%,94.7%,12,212,2,83%,10,7.0,0,0,0
17-K.Osborn,00-0036345,K.J. Osborn,MIN,92,87,2.5%,1.8%,82,655,7,61%,50,3.6,0,1,18
15-N.Westbrook-Ikhine,00-0036182,Nick Westbrook-Ikhine,TEN,91,94,7.6%,8.4%,57,476,4,67%,38,3.8,1,1,30
12-V.Jefferson,00-0036415,Van Jefferson,LA,84,103,-1.1%,1.4%,89,802,6,56%,50,4.4,0,1,32
16-Q.Watkins,00-0036271,Quez Watkins,PHI,79,82,3.7%,4.2%,62,647,1,69%,43,5.9,0,0,0
13-T.Hilton,00-0029608,T.Y. Hilton,IND,79,84,14.5%,16.4%,37,331,3,62%,23,3.1,0,0,0
11-C.Sims,00-0034104,Cam Sims,WAS,79,74,30.9%,28.4%,23,211,2,65%,15,2.8,0,1,13
18-L.Treadwell,00-0032951,Laquon Treadwell,JAC,76,87,6.0%,8.8%,51,434,1,65%,33,3.7,0,1,35
11-D.Parker,00-0031547,DeVante Parker,MIA,74,49,0.0%,-4.2%,73,515,2,55%,40,2.6,0,2,28
