Year,Week,Team,Off/Def,Adjusted Line Yards,Rank,RBYards,Rank,Power Success,Rank,Stuffed,Rank,Second Level,Rank,Open Field,Rank,Sacks,Rank,Adjusted Sack Rate
2023,18,ARI,O,4.19,17,4.76,4,77%,4,23%,28,1.52,2,0.98,4,42,19,7.4%
2023,18,ATL,O,3.99,24,4.07,16,55%,29,19%,20,1.20,14,0.55,20,40,23,8.0%
2023,18,BAL,O,4.43,6,4.66,5,79%,3,15%,7,1.15,18,1.05,3,41,25,8.2%
2023,18,BUF,O,4.74,3,4.43,8,75%,6,13%,1,1.28,8,0.59,15,24,1,4.5%
2023,18,CAR,O,3.68,28,3.64,26,62%,22,20%,24,1.02,25,0.45,28,65,30,10.5%
2023,18,CHI,O,4.27,11,4.23,13,68%,14,16%,11,1.22,11,0.56,18,50,26,9.2%
2023,18,CIN,O,4.05,23,4.07,17,59%,26,17%,12,1.15,17,0.57,16,50,21,7.7%
2023,18,CLE,O,3.76,26,3.92,22,68%,14,23%,29,1.07,20,0.68,12,45,14,7.0%
2023,18,DAL,O,4.24,13,3.85,24,76%,5,18%,15,1.08,19,0.45,27,40,12,6.8%
2023,18,DEN,O,4.21,15,4.03,21,70%,12,19%,21,1.21,12,0.56,19,52,27,9.3%
2023,18,DET,O,4.77,1,4.79,3,65%,18,15%,5,1.32,5,0.94,6,31,4,5.6%
2023,18,GB,O,4.37,8,4.07,18,62%,23,15%,3,1.04,23,0.48,26,30,5,5.7%
2023,18,HOU,O,4.09,21,3.63,27,48%,32,20%,27,1.00,26,0.41,29,47,22,7.8%
2023,18,IND,O,4.10,19,4.34,9,54%,31,19%,22,1.15,16,0.82,8,41,15,7.1%
2023,18,JAC,O,3.50,31,3.49,30,61%,24,25%,32,0.91,30,0.51,23,41,7,6.3%
2023,18,KC,O,4.10,20,4.06,19,70%,11,18%,14,1.03,24,0.65,13,28,2,4.7%
2023,18,LAC,O,3.58,30,3.45,31,55%,30,18%,17,0.76,32,0.49,24,43,8,6.4%
2023,18,LA,O,4.55,5,4.23,12,73%,7,16%,9,1.25,9,0.51,22,34,6,6.3%
2023,18,LV,O,4.19,16,3.87,23,60%,25,18%,16,0.96,29,0.56,17,40,11,6.8%
2023,18,MIA,O,4.67,4,5.48,1,58%,27,17%,13,1.54,1,1.52,1,31,3,5.3%
2023,18,MIN,O,4.24,12,4.05,20,65%,19,19%,23,1.31,6,0.48,25,47,24,8.1%
2023,18,NE,O,4.08,22,3.72,25,68%,13,20%,25,1.06,22,0.31,31,48,20,7.5%
2023,18,NO,O,4.38,7,3.54,29,71%,10,19%,19,0.97,28,0.23,32,35,9,6.6%
2023,18,NYG,O,3.35,32,3.58,28,67%,16,23%,31,0.97,27,0.61,14,85,32,14.3%
2023,18,NYJ,O,3.64,29,4.10,15,67%,16,23%,30,1.06,21,0.96,5,64,28,9.8%
2023,18,PHI,O,4.21,14,4.45,7,82%,1,14%,2,1.23,10,0.74,10,39,13,6.9%
2023,18,PIT,O,4.29,10,4.50,6,63%,21,18%,18,1.33,4,0.83,7,36,10,6.7%
2023,18,SEA,O,3.99,25,4.14,14,63%,20,20%,26,1.20,13,0.74,11,38,16,7.2%
2023,18,SF,O,4.77,2,4.96,2,73%,7,15%,4,1.43,3,1.09,2,34,18,7.3%
2023,18,TB,O,3.74,27,3.42,32,72%,9,15%,6,0.88,31,0.34,30,40,17,7.3%
2023,18,TEN,O,4.16,18,4.26,10,80%,2,16%,10,1.16,15,0.80,9,64,31,11.4%
2023,18,WAS,O,4.33,9,4.26,11,58%,28,16%,8,1.28,7,0.54,21,65,29,10.3%
