Player,GSIS,Full Name,Team,DYAR,YAR,DVOA,VOA,Runs,Yards,TD,FUM,Design,Scramble,Aborted
17-J.Allen,00-0034857,Josh Allen,BUF,227,196,25.7%,20.6%,107,784,7,7,69,223,-66
8-L.Jackson,00-0034796,Lamar Jackson,BAL,221,200,27.8%,23.9%,99,771,3,2,174,61,-14
8-D.Jones,00-0035710,Daniel Jones,NYG,217,205,23.5%,21.5%,107,723,7,2,88,129,0
1-J.Fields,00-0036945,Justin Fields,CHI,169,174,8.3%,8.9%,150,1134,8,8,82,178,-91
1-J.Hurts,00-0036389,Jalen Hurts,PHI,133,175,3.2%,8.0%,144,765,13,5,103,86,-56
7-J.Brissett,00-0033119,Jacoby Brissett,CLE,107,89,27.1%,20.4%,44,246,2,1,36,83,-12
9-J.Burrow,00-0036442,Joe Burrow,CIN,103,79,17.8%,10.9%,53,278,5,0,33,70,0
15-P.Mahomes,00-0033873,Patrick Mahomes,KC,97,82,24.3%,18.9%,52,360,4,4,4,139,-47
1-M.Mariota,00-0032268,Marcus Mariota,ATL,67,61,3.7%,2.2%,75,447,4,4,73,32,-38
3-R.Wilson,00-0029263,Russell Wilson,DEN,60,62,12.6%,13.3%,48,280,3,2,21,62,-23
7-T.Hill,00-0033357,Taysom Hill,NO,55,76,-2.1%,1.9%,96,575,7,1,61,0,-6
4-D.Watson,00-0033537,Deshaun Watson,CLE,49,41,24.2%,18.2%,27,180,1,1,29,30,-10
7-G.Smith,00-0030565,Geno Smith,SEA,48,54,4.1%,6.3%,56,374,1,3,6,90,-48
3-J.Stidham,00-0035264,Jarrett Stidham,LV,29,24,26.4%,20.1%,14,83,0,1,8,31,-10
14-S.Howell,00-0037077,Sam Howell,WAS,26,25,88.8%,82.0%,4,36,1,0,14,12,0
16-T.Lawrence,00-0036971,Trevor Lawrence,JAC,26,25,-4.7%,-5.0%,55,283,5,5,40,53,-67
17-R.Tannehill,00-0029701,Ryan Tannehill,TEN,25,35,8.8%,16.6%,20,107,2,1,9,29,-12
4-D.Prescott,00-0033077,Dak Prescott,DAL,25,21,-1.7%,-3.5%,36,189,1,1,56,-17,-14
8-K.Pickett,00-0038102,Kenny Pickett,PIT,20,21,-5.4%,-4.9%,50,237,3,3,11,39,-30
4-D.Carr,00-0031280,Derek Carr,LV,20,12,6.5%,-0.5%,19,100,0,1,11,25,-17
12-D.Webb,00-0033550,Davis Webb,NYG,19,24,54.3%,69.8%,6,41,1,0,13,6,0
11-J.Dobbs,00-0033949,Joshua Dobbs,TEN,19,14,30.9%,20.8%,8,44,0,0,10,9,0
11-P.Walker,00-0033275,P.J. Walker,CAR,16,17,42.3%,47.8%,5,40,0,0,6,9,0
2-Z.Wilson,00-0037013,Zach Wilson,NYJ,14,4,-0.2%,-9.1%,20,110,1,0,-24,38,0
