Player,GSIS,Full Name,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,TD,Catch Rate,Catches,YAC,FUM,DPI,DPI Yards
23-C.McCaffrey,00-0033280,Christian McCaffrey,2TM,218,232,21.7%,24.0%,108,741,5,79%,85,8.2,0,0,0
1-J.McKinnon,00-0031376,Jerick McKinnon,KC,216,210,37.5%,36.1%,71,509,9,79%,56,9.7,1,0,0
7-L.Fournette,00-0033856,Leonard Fournette,TB,152,160,18.1%,19.7%,83,523,3,88%,73,7.7,0,0,0
20-T.Pollard,00-0035261,Tony Pollard,DAL,128,109,29.0%,22.5%,55,371,3,71%,39,8.9,0,0,0
30-A.Ekeler,00-0033699,Austin Ekeler,LAC,119,134,2.9%,4.9%,128,722,5,84%,107,7.9,2,0,0
32-D.Montgomery,00-0035685,David Montgomery,CHI,97,77,33.9%,24.3%,40,316,1,85%,34,8.3,1,0,0
24-A.Gibson,00-0036328,Antonio Gibson,WAS,89,84,11.6%,10.2%,58,353,2,79%,46,6.5,0,1,5
28-J.Mixon,00-0033897,Joe Mixon,CIN,88,80,6.5%,4.6%,75,441,2,80%,60,7.8,0,0,0
25-C.Edwards-Helaire,00-0036360,Clyde Edwards-Helaire,KC,88,92,43.7%,45.9%,23,151,3,74%,17,8.5,0,0,0
44-K.Juszczyk,00-0029892,Kyle Juszczyk,SF,86,87,51.4%,51.8%,23,200,1,83%,19,7.8,0,0,0
20-N.Hines,00-0034367,Nyheim Hines,2TM,83,91,29.7%,33.5%,37,241,1,81%,30,6.3,0,0,0
22-D.Henry,00-0032764,Derrick Henry,TEN,79,86,19.7%,22.4%,41,398,0,80%,33,12.0,2,0,0
28-J.Jacobs,00-0035700,Josh Jacobs,LV,75,73,7.1%,6.6%,64,400,0,83%,53,7.1,1,0,0
30-J.Warren,00-0037228,Jaylen Warren,PIT,72,79,27.2%,30.6%,33,214,0,85%,28,8.0,0,0,0
1-T.Etienne,00-0036973,Travis Etienne,JAC,63,55,12.0%,8.5%,45,314,0,78%,35,10.1,1,0,0
22-A.Abdullah,00-0032104,Ameer Abdullah,LV,61,53,27.8%,22.6%,32,211,1,78%,25,7.8,0,0,0
24-N.Chubb,00-0034791,Nick Chubb,CLE,61,64,14.3%,16.0%,37,239,1,73%,27,9.6,0,0,0
46-C.Reynolds,00-0035567,Craig Reynolds,DET,55,55,87.8%,87.0%,10,116,0,90%,9,12.0,0,0,0
40-D.Hilliard,00-0034253,Dontrell Hilliard,TEN,55,56,25.8%,26.6%,26,177,4,81%,21,7.2,0,0,0
33-A.Jones,00-0033293,Aaron Jones,GB,55,53,-0.7%,-1.0%,72,395,5,82%,59,8.1,2,0,0
10-I.Pacheco,00-0037197,Isiah Pacheco,KC,52,50,46.3%,44.2%,14,130,0,93%,13,12.1,0,0,0
30-C.Ham,00-0032918,C.J. Ham,MIN,51,49,52.6%,49.8%,12,86,0,83%,10,5.6,0,0,0
19-C.Edmonds,00-0034681,Chase Edmonds,2TM,51,50,28.6%,27.6%,24,157,1,67%,16,7.1,0,0,0
32-D.Swift,00-0036275,D'Andre Swift,DET,51,48,-0.4%,-1.2%,71,389,3,69%,48,9.3,1,0,0
30-C.Hubbard,00-0036555,Chuba Hubbard,CAR,49,49,38.4%,39.2%,18,176,0,82%,14,11.4,1,0,0
25-T.Allgeier,00-0037263,Tyler Allgeier,ATL,48,52,41.2%,44.8%,17,139,1,94%,16,10.5,0,0,0
34-S.Perine,00-0033526,Samaje Perine,CIN,47,64,3.0%,9.2%,51,287,4,75%,38,8.4,0,0,0
