Nick Chubb,CLE,340,264,0.193,0.131,302,1525,13,1,0.52
Josh Jacobs,LV,308,296,0.12,0.111,340,1653,12,2,0.58
Miles Sanders,PHI,252,269,0.14,0.155,259,1269,11,1,0.59
Aaron Jones,GB,223,192,0.165,0.129,213,1121,2,3,0.56
Tyler Allgeier,ATL,222,181,0.16,0.114,210,1035,3,0,0.52
Cordarrelle Patterson,ATL,170,176,0.184,0.193,144,695,8,1,0.6
Raheem Mostert,MIA,154,117,0.114,0.066,181,891,3,1,0.55
AJ Dillon,GB,147,135,0.092,0.077,186,770,7,0,0.57
J.K. Dobbins,BAL,142,121,0.286,0.231,92,520,2,0,0.58
Joe Mixon,CIN,139,70,0.061,-0.012,210,814,7,0,0.54
Isiah Pacheco,KC,137,133,0.104,0.098,169,830,5,3,0.6
Khalil Herbert,CHI,128,132,0.172,0.181,129,731,4,0,0.47
James Cook,BUF,117,90,0.228,0.155,89,507,2,1,0.55
James Conner,ARI,116,122,0.06,0.066,183,782,7,3,0.55
Breece Hall,NYJ,110,96,0.254,0.213,80,463,4,0,0.51
Saquon Barkley,NYG,108,102,0.002,-0.002,295,1312,10,1,0.48
Christian McCaffrey,-,105,135,0.014,0.042,244,1139,8,1,0.5
Caleb Huntley,ATL,104,84,0.25,0.186,76,366,1,1,0.63
Austin Ekeler,LAC,103,110,0.029,0.038,204,915,13,3,0.5
D'Andre Swift,DET,91,99,0.153,0.172,99,542,5,0,0.48
Damien Harris,NE,91,59,0.123,0.048,106,462,3,0,0.5
Samaje Perine,CIN,90,34,0.147,0.001,95,394,2,0,0.54
Travis Etienne,JAC,90,110,0.008,0.029,220,1125,5,3,0.52
Gus Edwards,BAL,87,84,0.129,0.121,87,433,3,1,0.61
Elijah Mitchell,SF,86,110,0.351,0.476,45,279,2,0,0.73
Latavius Murray,-,86,105,0.031,0.058,171,745,6,1,0.53
Kenneth Gainwell,PHI,85,84,0.247,0.243,53,240,4,0,0.66
Tony Pollard,DAL,83,160,0.019,0.117,193,1007,9,0,0.5
Devin Singletary,BUF,80,63,0.018,-0.004,177,819,5,3,0.54
Jamaal Williams,DET,78,114,-0.021,0.009,262,1066,17,3,0.54
Ezekiel Elliott,DAL,77,84,-0.009,-0.002,231,876,12,0,0.49
Chuba Hubbard,CAR,75,80,0.114,0.127,95,466,2,0,0.46
Jaylen Warren,PIT,75,63,0.145,0.107,77,379,1,1,0.55
Jeff Wilson,-,75,109,0.013,0.059,176,860,5,2,0.51
Rhamondre Stevenson,NE,67,73,-0.007,-0.001,210,1040,5,2,0.47
David Montgomery,CHI,66,48,-0.003,-0.026,201,806,5,1,0.46
Jonathan Taylor,IND,61,15,-0.013,-0.068,192,861,4,3,0.48
Derrick Henry,TEN,60,110,-0.043,-0.008,349,1530,13,4,0.48
Darrell Henderson,LA,57,33,0.122,0.035,70,283,3,0,0.43
Justice Hill,BAL,55,39,0.187,0.106,49,262,0,1,0.59
Joshua Kelley,LAC,47,42,0.063,0.047,69,287,2,0,0.58
Jordan Mason,SF,46,43,0.166,0.151,43,258,1,0,0.6
D'Onta Foreman,CAR,44,74,-0.033,0.002,203,914,5,1,0.5
Najee Harris,PIT,42,12,-0.048,-0.075,272,1034,7,2,0.47
Rashaad Penny,SEA,38,53,0.08,0.144,57,346,2,1,0.47
Antonio Williams,ATL,38,29,0.435,0.319,22,109,1,0,0.41
Salvon Ahmed,MIA,36,31,0.578,0.484,12,64,1,0,0.75
Pierre Strong,NE,35,43,0.827,1.036,10,100,1,0,0.7
Alexander Mattison,MIN,30,63,0.01,0.113,74,283,5,0,0.47
Matt Breida,NYG,30,30,0.05,0.048,54,220,1,0,0.52
DeeJay Dallas,SEA,29,35,0.143,0.189,35,186,0,0,0.54
Clyde Edwards-Helaire,KC,28,16,0,-0.037,71,302,3,0,0.54
Marlon Mack,DEN,26,27,0.298,0.303,16,84,1,0,0.63
Derek Watt,PIT,24,23,0.266,0.247,9,21,1,0,0.89
Dontrell Hilliard,TEN,24,31,0.267,0.381,22,145,0,0,0.45
Kareem Hunt,CLE,23,-4,-0.041,-0.093,123,468,3,1,0.49
Benny Snell,PIT,23,26,0.148,0.175,20,90,1,0,0.8
Jaret Patterson,WAS,22,10,0.283,0.085,17,78,0,0,0.53
Corey Clement,ARI,21,15,0.186,0.111,15,55,1,0,0.6
Mike Davis,DAL,21,7,0.067,-0.033,38,161,1,0,0.45
Hassan Haskins,TEN,20,8,0.115,-0.01,25,93,0,0,0.4
Raheem Blackshear,CAR,20,30,0.124,0.23,23,77,3,0,0.48
C.J. Ham,MIN,19,17,0.575,0.493,4,7,2,0,0.75
Craig Reynolds,DET,18,10,0.125,0.033,23,102,0,0,0.43
Boston Scott,PHI,16,18,-0.015,-0.004,54,217,4,0,0.46
Alec Ingold,MIA,16,10,0.24,0.116,6,8,1,0,0.83
Darrynton Evans,CHI,16,15,0.211,0.199,14,64,0,0,0.43
Darrel Williams,ARI,15,25,0.051,0.15,21,102,1,0,0.57
Dare Ogunbowale,HOU,15,-7,-0.008,-0.121,42,123,1,0,0.43
Ty Johnson,NYJ,14,10,0.055,0.02,30,160,1,0,0.4
Trey Sermon,PHI,13,12,1.357,1.208,2,19,0,0,1
Jonathan Ward,TEN,13,11,0.628,0.543,5,25,0,0,0.6
Kenyan Drake,BAL,13,8,-0.058,-0.069,109,482,4,1,0.47
Anthony McFarland,PIT,10,10,0.221,0.215,6,30,0,0,0.67
Spencer Brown,CAR,9,14,0.161,0.315,9,43,0,0,0.67
Trayveon Williams,CIN,7,3,0.229,0.045,6,30,0,0,0.33
Ronald Jones,KC,7,19,0.013,0.179,17,70,1,0,0.53
Snoop Conner,JAC,7,8,0.044,0.065,12,42,1,0,0.58
Kyle Juszczyk,SF,7,8,0.034,0.06,7,26,1,0,0.71
Jordan Wilkins,IND,6,17,0.036,0.243,13,58,0,0,0.62
Kyren Williams,LA,6,19,-0.039,0.067,35,139,0,0,0.4
Ameer Abdullah,LV,6,10,0.181,0.387,4,20,0,0,0.75
Travis Homer,SEA,5,6,-0.018,-0.009,19,74,0,0,0.47
Brandon Bolden,LV,5,-7,-0.009,-0.19,17,66,0,0,0.35
D'Ernest Johnson,CLE,5,5,0.145,0.17,4,17,0,0,0.75
Kylin Hill,GB,4,5,0.54,0.75,1,7,0,0,1
Keith Smith,ATL,3,2,0.326,0.216,1,2,0,0,1
Gary Brightwell,NYG,3,13,-0.065,0.016,31,141,1,0,0.42
Patrick Ricard,BAL,2,0,-0.041,-0.084,7,16,0,0,0.71
Royce Freeman,HOU,2,-32,-0.074,-0.276,41,117,0,1,0.39
Dwayne Washington,NO,1,1,-0.058,-0.055,11,38,0,0,0.45
Mike Boone,DEN,-1,-3,-0.091,-0.122,24,102,0,0,0.33
Mark Ingram,NO,-1,-8,-0.089,-0.119,62,233,1,1,0.48
Leonard Fournette,TB,-1,-8,-0.087,-0.096,189,668,3,0,0.51
Jordan Howard,NO,-3,-4,-0.924,-1.094,1,1,0,0,0
Ronnie Rivers,LA,-3,-14,-0.166,-0.418,9,21,0,0,0.44
Justin Jackson,DET,-4,3,-0.109,-0.067,42,170,1,0,0.45
Zander Horvath,LAC,-4,-2,-0.236,-0.168,4,8,0,0,0.5
Damien Williams,ATL,-5,-5,-0.775,-0.829,2,2,0,0,0
Patrick Taylor,GB,-5,-5,-0.195,-0.203,10,31,0,0,0.5
Tony Jones,-,-6,-8,-0.204,-0.246,10,24,0,0,0.5
Michael Carter,NYJ,-6,-56,-0.098,-0.206,114,402,3,1,0.44
Zack Moss,-,-6,29,-0.103,-0.006,93,456,1,1,0.48
J.D. McKissic,WAS,-7,-5,-0.16,-0.137,22,95,0,0,0.41
Demetric Felton,CLE,-7,-8,-2.294,-2.434,1,-4,0,0,0
Ty Montgomery,NE,-8,-9,-1.24,-1.406,2,-2,0,0,0
Rachaad White,TB,-9,-11,-0.101,-0.104,129,481,1,1,0.51
Zamir White,LV,-11,-9,-0.23,-0.208,17,70,0,0,0.41
Malcolm Brown,LA,-11,-19,-0.222,-0.326,18,81,1,0,0.22
Andrew Beck,DEN,-11,-11,-0.881,-0.871,2,0,0,0,0.5
Phillip Lindsay,IND,-11,-16,-0.285,-0.372,15,49,0,0,0.2
Chase Edmonds,-,-12,-26,-0.127,-0.176,68,245,2,0,0.43
Jonathan Williams,WAS,-13,-15,-0.16,-0.175,37,152,0,0,0.43
Ty Chandler,MIN,-13,-9,-0.619,-0.467,6,20,0,0,0.33
Myles Gaskin,MIA,-13,-13,-0.394,-0.381,10,26,0,0,0.4
Michael Burton,KC,-14,-14,-0.441,-0.457,5,7,0,0,0.4
Javonte Williams,DEN,-15,-12,-0.165,-0.152,47,204,0,1,0.51
Kevin Harris,NE,-15,-9,-0.301,-0.22,18,52,1,0,0.39
JaMycal Hasty,JAC,-15,-29,-0.167,-0.243,46,194,2,0,0.37
Eno Benjamin,-,-16,12,-0.134,-0.048,77,313,2,0,0.47
Giovani Bernard,TB,-16,-9,-0.515,-0.334,8,18,0,1,0.5
Julius Chestnut,TEN,-17,-17,-0.538,-0.535,9,12,0,0,0.22
Cam Akers,LA,-17,51,-0.107,-0.022,188,786,7,2,0.54
Tevin Coleman,SF,-18,-17,-0.421,-0.402,12,26,1,0,0.25
Jerome Ford,CLE,-18,-20,-0.731,-0.783,8,12,0,0,0.25
Ke'Shawn Vaughn,TB,-20,-11,-0.359,-0.227,17,53,0,0,0.47
Deon Jackson,IND,-21,-34,-0.159,-0.207,68,236,1,1,0.38
Rex Burkhead,HOU,-21,-23,-0.265,-0.279,26,80,0,0,0.54
