Travis Kelce,KC,248,277,0.152,0.178,152,1338,12,0.72,110,6,1,0,0,2022
Dallas Goedert,PHI,204,208,0.36,0.368,69,702,3,0.8,55,7.6,1,2,23,2022
George Kittle,SF,178,172,0.226,0.215,86,765,11,0.7,60,6.4,1,2,27,2022
Will Dissly,SEA,121,121,0.396,0.395,38,349,3,0.89,34,5.4,0,1,21,2022
David Njoku,CLE,97,80,0.109,0.078,80,628,4,0.73,58,5.7,1,0,0,2022
Mark Andrews,BAL,94,119,0.054,0.087,113,847,5,0.65,73,3.3,1,3,46,2022
Evan Engram,JAC,91,91,0.073,0.074,98,766,4,0.74,73,6.4,0,1,12,2022
Cole Kmet,CHI,86,80,0.114,0.102,69,544,7,0.72,50,5.7,1,0,0,2022
Dawson Knox,BUF,82,102,0.115,0.16,65,517,6,0.74,48,4,0,0,0,2022
Chigoziem Okonkwo,TEN,82,100,0.202,0.262,46,450,3,0.7,32,7.9,0,1,11,2022
Jordan Akins,HOU,81,94,0.146,0.181,54,495,5,0.69,37,7.3,1,2,30,2022
Brock Wright,DET,79,74,0.387,0.36,24,216,4,0.75,18,9.2,0,0,0,2022
Juwan Johnson,NO,77,79,0.109,0.113,65,508,7,0.65,42,4,0,1,6,2022
Hunter Henry,NE,67,64,0.104,0.095,59,509,2,0.69,41,5,0,0,0,2022
Pat Freiermuth,PIT,66,45,0.03,-0.003,98,732,2,0.64,63,4.5,0,1,4,2022
Noah Gray,KC,66,63,0.217,0.202,34,299,1,0.82,28,6.5,0,0,0,2022
Austin Hooper,TEN,63,64,0.086,0.09,60,444,2,0.68,41,3.2,0,0,0,2022
MyCole Pruitt,ATL,58,51,0.315,0.265,21,150,4,0.76,16,4.7,0,0,0,2022
James Mitchell,DET,54,54,0.588,0.588,11,113,1,1,11,5.6,0,0,0,2022
Noah Fant,SEA,53,55,0.056,0.059,63,486,4,0.79,50,4.4,0,0,0,2022
Daniel Bellinger,NYG,49,34,0.136,0.072,35,268,2,0.86,30,4.8,1,0,0,2022
Donald Parham,LAC,48,47,0.525,0.512,12,130,1,0.83,10,4.2,0,0,0,2022
Adam Trautman,NO,43,46,0.227,0.249,22,207,1,0.82,18,6.8,0,0,0,2022
Foster Moreau,LV,42,43,0.054,0.054,54,420,2,0.61,33,7.2,0,0,0,2022
C.J. Uzomah,NYJ,41,44,0.163,0.178,27,232,2,0.78,21,5,0,0,0,2022
Robert Tonyan,GB,41,46,0.02,0.032,67,470,2,0.79,53,4.3,0,2,51,2022
Connor Heyward,PIT,40,32,0.31,0.232,17,151,1,0.71,12,5.2,0,0,0,2022
Mitchell Wilcox,CIN,40,36,0.273,0.241,18,139,1,0.94,17,4.4,0,0,0,2022
Darren Waller,LV,39,52,0.058,0.1,43,388,3,0.65,28,2.9,0,2,21,2022
Ross Dwelley,SF,35,36,0.994,1.009,5,105,1,0.6,3,14.3,0,0,0,2022
Colby Parkinson,SEA,34,51,0.066,0.135,34,322,2,0.74,25,6,0,1,13,2022
Jody Fortson,KC,32,24,0.262,0.182,13,108,2,0.69,9,4.4,0,1,9,2022
Parker Hesse,ATL,28,18,0.259,0.138,11,89,0,0.82,9,4,0,0,0,2022
Marcedes Lewis,GB,27,32,0.375,0.45,7,66,2,0.86,6,2.3,0,0,0,2022
Ko Kieft,TB,27,22,0.288,0.22,10,80,1,0.7,7,4.4,0,0,0,2022
Mike Gesicki,MIA,27,20,0.004,-0.014,52,362,5,0.62,32,3,0,0,0,2022
Hayden Hurst,CIN,25,17,-0.02,-0.037,68,414,2,0.76,52,3.6,0,2,8,2022
Dan Arnold,JAC,25,29,0.275,0.327,13,135,0,0.69,9,7.8,0,0,0,2022
Jack Stoll,PHI,23,19,0.197,0.145,14,123,0,0.79,11,4.5,0,0,0,2022
Armani Rogers,WAS,19,20,0.391,0.428,6,64,0,0.83,5,11.4,0,0,0,2022
