Player,GSIS,Full Name,Team,DYAR,YAR,DVOA,VOA,Runs,Yards,TD,FUM,,,
13-D.Duvernay,00-0036331,Devin Duvernay,BAL,76,71,58.5%,51.3%,12,84,1,0,,,
10-B.Berrios,00-0034419,Braxton Berrios,NYJ,70,71,121.0%,123.0%,9,91,2,0,,,
19-K.Toney,00-0036913,Kadarius Toney,KC,66,65,133.8%,131.5%,7,82,1,0,,,
19-B.Powell,00-0034646,Brandon Powell,LA,57,62,31.3%,37.9%,16,106,0,0,,,
9-C.Watson,00-0038124,Christian Watson,GB,57,58,117.2%,121.5%,7,80,2,0,,,
39-J.Agnew,00-0033572,Jamal Agnew,JAC,53,54,37.6%,38.8%,12,86,0,0,,,
89-R.Shaheed,00-0037545,Rashid Shaheed,NO,45,43,214.6%,200.4%,4,57,1,0,,,
14-A.St. Brown,00-0036963,Amon-Ra St. Brown,DET,45,42,40.8%,34.7%,9,95,0,0,,,
12-V.Jones,00-0037745,Velus Jones,CHI,45,45,42.8%,42.7%,9,103,1,1,,,
6-I.McKenzie,00-0033466,Isaiah McKenzie,BUF,42,44,51.5%,56.8%,9,55,1,0,,,
10-A.Schwartz,00-0036999,Anthony Schwartz,CLE,42,42,190.0%,189.6%,4,57,1,0,,,
10-C.Kupp,00-0033908,Cooper Kupp,LA,40,35,25.7%,17.4%,9,52,1,0,,,
10-C.Samuel,00-0033282,Curtis Samuel,WAS,37,64,-20.4%,-6.7%,38,187,1,1,,,
16-T.Burks,00-0037742,Treylon Burks,TEN,36,38,105.5%,109.6%,4,47,0,0,,,
10-M.Hollins,00-0033555,Mack Hollins,LV,36,35,153.9%,149.0%,4,48,0,0,,,
10-T.Hill,00-0033040,Tyreek Hill,MIA,35,35,57.6%,55.8%,7,32,1,0,,,
83-G.Dortch,00-0035500,Greg Dortch,ARI,34,29,26.8%,16.4%,7,44,0,0,,,
2-D.Moore,00-0034827,DJ Moore,CAR,33,36,11.0%,15.9%,10,53,0,0,,,
3-R.McCloud,00-0034407,Ray-Ray McCloud,SF,33,30,112.4%,99.3%,4,78,1,0,,,
17-M.Hardman,00-0035140,Mecole Hardman,KC,32,33,50.4%,52.5%,4,31,2,0,,,
6-J.Jones,00-0027944,Julio Jones,TB,31,31,53.9%,52.0%,5,45,0,0,,,
14-G.Pickens,00-0037247,George Pickens,PIT,31,31,251.1%,251.7%,3,24,1,0,,,
10-J.Jeudy,00-0036407,Jerry Jeudy,DEN,31,36,115.9%,142.9%,4,40,0,0,,,
11-K.Raymond,00-0032464,Kalif Raymond,DET,28,28,25.0%,25.9%,7,36,0,0,,,
18-J.Jefferson,00-0036322,Justin Jefferson,MIN,27,25,46.5%,38.9%,4,24,1,0,,,
82-S.Sims,00-0034928,Steven Sims,PIT,25,28,-3.1%,1.9%,13,70,0,0,,,
18-D.Pettis,00-0034860,Dante Pettis,CHI,23,24,104.8%,108.9%,2,37,0,0,,,
83-N.Gray,00-0036637,Noah Gray,KC,23,21,0.0%,0.0%,1,1,1,0,,,
