Year,Week,Team,Off/Def,Adjusted Line Yards,Rank,RBYards,Rank,Power Success,Rank,Stuffed,Rank,Second Level,Rank,Open Field,Rank,Sacks,Rank,Adjusted Sack Rate
2023,18,ARI,D,4.87,32,4.62,31,70%,21,13%,31,1.33,31,0.68,19,33,30,6.0%
2023,18,ATL,D,3.86,7,3.81,6,57%,4,23%,4,1.12,13,0.51,13,42,23,6.8%
2023,18,BAL,D,4.20,17,4.47,27,61%,7,17%,17,1.20,21,0.87,26,60,2,9.7%
2023,18,BUF,D,3.79,5,4.44,25,76%,30,23%,3,1.26,27,1.05,30,54,4,8.8%
2023,18,CAR,D,4.50,30,4.37,22,67%,15,17%,15,1.20,20,0.83,23,27,29,6.2%
2023,18,CHI,D,3.71,3,3.70,4,63%,11,22%,5,1.12,11,0.48,10,30,32,5.5%
2023,18,CIN,D,4.50,29,4.58,29,72%,24,13%,32,1.26,28,0.87,27,44,9,8.2%
2023,18,CLE,D,3.25,1,4.39,23,60%,6,28%,1,1.25,26,1.32,32,49,14,8.1%
2023,18,DAL,D,4.06,13,4.04,14,67%,15,21%,6,1.31,30,0.46,7,46,18,7.7%
2023,18,DEN,D,4.76,31,5.21,32,51%,1,16%,23,1.34,32,1.27,31,42,8,8.2%
2023,18,DET,D,3.84,6,3.47,3,58%,5,19%,13,0.93,3,0.29,2,41,20,7.4%
2023,18,GB,D,4.26,20,4.16,18,69%,19,17%,16,1.22,22,0.60,15,45,6,8.3%
2023,18,HOU,D,3.41,2,3.35,1,71%,22,24%,2,0.99,4,0.39,4,46,19,7.6%
2023,18,IND,D,4.29,22,4.04,15,56%,2,20%,10,1.13,14,0.62,17,51,13,8.1%
2023,18,JAC,D,3.91,8,3.99,11,72%,23,20%,7,1.00,5,0.84,24,40,24,6.8%
2023,18,KC,D,4.35,25,4.57,28,80%,32,16%,24,1.15,16,0.93,29,57,1,10.2%
2023,18,LAC,D,4.34,24,4.03,13,62%,9,16%,21,1.08,9,0.53,14,48,7,8.3%
2023,18,LA,D,4.28,21,4.09,16,67%,17,15%,28,1.14,15,0.47,9,41,21,7.1%
2023,18,LV,D,4.48,28,4.18,20,64%,14,15%,26,1.23,23,0.43,5,46,12,8.1%
2023,18,MIA,D,3.99,11,3.83,7,73%,26,15%,27,0.92,2,0.50,11,56,5,8.5%
2023,18,MIN,D,4.31,23,3.78,5,64%,13,14%,30,1.03,6,0.29,1,43,15,7.8%
2023,18,NE,D,3.77,4,3.41,2,68%,18,15%,29,0.83,1,0.36,3,36,28,6.2%
2023,18,NO,D,4.23,19,4.17,19,56%,3,17%,20,1.16,17,0.62,16,34,31,5.5%
2023,18,NYG,D,4.45,26,4.59,30,74%,27,16%,22,1.29,29,0.86,25,34,27,6.4%
2023,18,NYJ,D,3.93,9,3.96,10,73%,25,20%,9,1.11,10,0.64,18,48,3,9.3%
2023,18,PHI,D,4.17,15,4.02,12,79%,31,17%,19,1.19,19,0.47,8,43,25,6.8%
2023,18,PIT,D,4.21,18,4.23,21,64%,12,17%,18,1.12,12,0.75,22,47,10,8.2%
2023,18,SEA,D,4.19,16,4.45,26,75%,28,20%,8,1.25,24,0.92,28,47,22,6.9%
2023,18,SF,D,3.97,10,4.13,17,76%,29,18%,14,1.04,7,0.73,21,48,17,7.8%
2023,18,TB,D,4.07,14,3.94,9,61%,8,19%,11,1.19,18,0.45,6,48,16,7.8%
2023,18,TEN,D,4.01,12,3.86,8,62%,10,19%,12,1.08,8,0.50,12,45,11,8.1%
2023,18,WAS,D,4.45,27,4.41,24,70%,20,16%,25,1.25,25,0.70,20,39,26,6.6%
x,x,NFL,x,x,x,4.14,x,67%,x,18%,x,0.96,x,0.55,x,44,x,7.6%
