"Team","ALYards","Rank","RBYards","Rank","Pwr Suc","Rank","Stuffed","Rank","2nd Level","Rank","Open Field","Rank","Sacks","Rank","Adj Sack %","Off/Def","Week","Year"
"CIN","5.42","1","5.11","3","89","4","6","2","1.68","1","0.55","19","8","16","7.8","O","3","2024"
"DET","5.08","2","4.81","10","81","7","16","15","1.46","6","0.78","15","4","4","3.8","O","3","2024"
"SF","5.05","3","4.70","11","50","24","16","14","1.60","3","0.60","17","10","22","10.1","O","3","2024"
"MIN","5.03","4","4.96","7","71","15","10","4","1.40","10","0.99","8","9","28","11.6","O","3","2024"
"KC","5.00","5","3.92","26","42","28","12","6","1.16","20","0.01","31","4","6","4.8","O","3","2024"
"NO","4.91","6","4.38","13","75","12","18","18","1.42","8","0.40","23","3","5","4.7","O","3","2024"
"HOU","4.88","7","4.21","18","50","24","19","22","1.47","5","0.26","27","12","21","9.7","O","3","2024"
"JAX","4.85","8","4.98","6","60","23","16","12","1.56","4","0.93","10","12","27","11.2","O","3","2024"
"ATL","4.68","9","4.50","12","33","32","17","16","1.42","7","0.56","18","5","8","5.9","O","3","2024"
"CAR","4.67","10","4.30","16","100","1","10","3","1.20","18","0.35","26","8","17","7.8","O","3","2024"
"BAL","4.62","11","5.06","4","78","10","13","9","1.39","11","1.21","5","3","2","3.2","O","3","2024"
"NE","4.60","12","4.94","8","80","8","13","8","1.40","9","1.05","7","11","29","12.3","O","3","2024"
"DAL","4.36","13","3.47","28","100","1","6","1","0.78","30","0.00","32","9","13","6.9","O","3","2024"
"WAS","4.33","14","4.92","9","69","17","22","26","1.21","17","1.28","4","9","25","11.0","O","3","2024"
"PHI","4.32","15","5.44","1","67","18","18","20","1.62","2","1.42","3","7","11","6.8","O","3","2024"
"PIT","4.29","16","3.95","24","83","6","13","7","1.11","22","0.39","24","6","15","7.3","O","3","2024"
"LAC","4.27","17","5.39","2","75","12","17","17","1.17","19","1.75","1","7","19","9.4","O","3","2024"
"NYJ","4.23","18","4.00","23","71","15","18","18","1.13","21","0.55","20","5","9","6.3","O","3","2024"
"BUF","4.18","19","4.18","19","40","29","26","30","1.32","13","0.88","12","2","1","2.7","O","3","2024"
"SEA","4.11","20","4.05","21","78","10","22","27","1.30","14","0.46","22","8","18","8.3","O","3","2024"
"TEN","4.10","21","4.04","22","100","1","12","5","1.08","26","0.53","21","15","32","13.9","O","3","2024"
"IND","4.09","22","5.04","5","63","20","16","13","1.36","12","1.44","2","4","7","5.6","O","3","2024"
"CLE","4.08","23","4.23","17","73","14","15","11","1.10","24","0.75","16","16","30","13.0","O","3","2024"
"NYG","4.00","24","4.34","15","80","8","19","21","1.09","25","1.06","6","8","14","7.1","O","3","2024"
"GB","3.93","25","4.36","14","63","20","23","28","1.24","16","0.87","13","5","10","6.6","O","3","2024"
"LAR","3.88","26","3.29","30","88","5","20","24","0.88","29","0.08","29","10","24","10.2","O","3","2024"
"ARI","3.84","27","4.14","20","40","29","14","10","0.91","27","0.94","9","6","12","6.9","O","3","2024"
"TB","3.45","28","3.93","25","50","24","28","31","1.11","23","0.91","11","13","31","13.8","O","3","2024"
"DEN","3.38","30","3.56","27","63","20","20","25","0.89","28","0.85","14","4","3","3.5","O","3","2024"
"LV","3.38","29","2.83","31","40","29","20","23","0.65","31","0.04","30","12","23","10.2","O","3","2024"
"MIA","3.04","31","3.30","29","67","18","32","32","1.26","15","0.39","25","11","20","9.4","O","3","2024"
"CHI","2.86","32","2.32","32","50","24","25","29","0.59","32","0.17","28","13","26","11.0","O","3","2024"
