"TEAM","Week","TOT DAVE","Total Rank","OFF DAVE","Off Rank","DEF DAVE","Def Rank","ST DAVE","ST Rank"
"BUF","3","21.5","1","16.0","2","-5.3","7","0.3","10"
"BAL","3","21.0","2","13.5","3","-5.8","4","1.8","3"
"SF","3","17.3","3","16.8","1","-2.5","12","-2.0","30"
"SEA","3","14.1","4","3.9","12","-9.4","1","0.8","7"
"NO","3","13.5","5","7.4","7","-4.5","9","1.6","5"
"KC","3","13.4","6","9.6","6","-3.9","10","-0.1","18"
"DET","3","12.5","7","5.9","8","-5.5","6","1.1","6"
"HOU","3","11.8","8","3.8","13","-6.4","3","1.6","4"
"GB","3","10.2","9","13.1","4","1.4","18","-1.5","29"
"CIN","3","7.4","10","11.6","5","3.0","22","-1.2","27"
"MIN","3","7.1","11","-2.0","19","-8.5","2","0.7","9"
"DAL","3","4.5","12","-0.2","17","-1.3","14","3.4","1"
"NYJ","3","4.3","13","0.4","14","-4.7","8","-0.8","26"
"PIT","3","-0.3","14","-3.9","22","-3.6","11","0.0","16"
"MIA","3","-0.9","15","4.2","11","5.8","30","0.7","8"
"PHI","3","-1.2","16","4.2","10","5.0","27","-0.4","22"
"LAR","3","-1.7","17","5.4","9","5.7","29","-1.4","28"
"TB","3","-3.3","18","-0.9","18","2.1","19","-0.3","21"
"CLE","3","-3.5","19","-8.6","25","-5.6","5","-0.5","23"
"ATL","3","-4.4","20","0.0","15","4.1","25","-0.3","20"
"ARI","3","-6.0","21","-2.0","20","4.1","24","0.1","15"
"JAX","3","-6.3","22","-0.1","16","5.7","28","-0.5","24"
"LAC","3","-6.7","23","-8.6","26","-2.0","13","-0.1","19"
"IND","3","-7.6","24","-3.6","21","4.2","26","0.2","13"
"TEN","3","-11.1","25","-6.6","23","0.5","16","-4.0","32"
"NE","3","-11.8","26","-11.0","30","1.0","17","0.3","12"
"DEN","3","-12.5","27","-9.3","27","6.0","31","2.8","2"
"CHI","3","-13.0","28","-12.9","31","0.3","15","0.3","11"
"LV","3","-13.8","29","-10.5","28","3.5","23","0.2","14"
"NYG","3","-15.5","30","-10.9","29","2.4","20","-2.2","31"
"CAR","3","-17.0","31","-14.0","32","2.9","21","-0.1","17"
"WAS","3","-19.1","32","-8.0","24","10.7","32","-0.5","25"
