Team,OffPassRate,DefPassRate
ARI,55.9,50.85
ATL,52.2,54.22
BAL,50.08,62.49
BUF,53.53,59.47
CAR,59.4,50.00
CHI,51.32,62.51
CIN,63.45,56.78
CLE,57.2,57.82
DAL,59.29,53.93
DEN,55.61,56.69
DET,56.55,61.17
GB,57.02,55.35
HOU,59.11,56.41
IND,56.22,54.44
JAC,59.34,60.95
KC,60.34,59.08
LA,57.01,59.58
LAC,61.03,58.04
LV,59.11,56.01
MIA,57.37,58.75
MIN,63.31,59.27
NE,59.31,56
NO,57.18,56.17
NYG,57.05,56.46
NYJ,63.15,52.44
PHI,54.94,62.61
PIT,53.3,57.19
SEA,61.61,55.1
SF,52.08,63.55
TB,58.93,61.58
TEN,55.69,56.2
WAS,66.13,57.03
