player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Aaron Rodgers,2241,QB,NYJ,3,76.8,82,86,6.7,2.48,1,4,4.4,67.4,58,0,23,7.9,95,5,35,22,85.0,84.5,82.8,69.0,1,1,99,2,21.7,103.1,5.3,5,4,0,2,5,0,0.0,624,7.3
Jared Goff,10635,QB,DET,2,66.7,78,83,7.2,2.5,1,1,1.2,62.7,52,0,29,0.0,90,0,24,11,84.3,44.4,43.2,64.3,1,3,92,0,6.9,69.6,2.2,2,3,1,2,1,4,4.3,524,6.3
Deshaun Watson,11767,QB,CLV,2,75.0,72,79,6.9,3.14,0,2,2.4,58.2,46,0,42,14.8,94,8,17,8,56.1,66.4,68.6,51.4,4,2,102,0,19.0,63.0,8.5,8,7,0,3,1,1,1.0,355,4.5
Bo Nix,97790,QB,DEN,2,71.8,71,77,7.6,2.91,2,2,2.4,59.7,46,0,39,9.8,90,5,18,10,84.8,44.0,42.8,64.8,2,4,95,1,10.3,51.0,4.4,4,7,0,2,0,4,4.2,384,5.0
Matthew Stafford,4924,QB,LA,2,77.0,74,76,6.4,2.72,1,0,0.0,69.7,53,0,29,7.0,83,4,24,26,49.5,52.8,52.5,,0,1,85,0,24.1,88.3,8.4,7,0,0,1,1,4,4.7,533,7.0
Lamar Jackson,46416,QB,BLT,2,73.4,64,75,8.9,3.01,4,1,1.2,62.7,47,0,20,0.0,88,0,30,3,57.5,70.7,67.7,71.2,2,1,96,1,15.0,86.5,3.4,3,10,2,3,2,2,2.1,520,6.9
Dak Prescott,10769,QB,DAL,2,70.6,68,71,8.9,2.58,2,1,1.3,64.8,46,0,21,4.2,79,2,21,9,49.8,54.6,52.4,70.4,0,2,84,1,28.6,81.4,7.6,6,1,1,0,2,4,4.8,472,6.6
Gardner Minshew II,41401,QB,LV,2,83.6,67,71,5.6,2.7,1,2,2.7,77.5,55,0,26,1.8,83,1,26,23,43.3,68.8,70.5,45.1,0,2,87,0,34.6,95.6,10.8,9,3,0,3,2,2,2.3,533,7.5
Daniel Jones,39395,QB,NYG,2,71.0,62,70,7.2,2.81,1,1,1.3,54.3,38,0,29,13.6,80,6,20,21,84.8,64.4,61.1,73.1,1,2,85,2,20.7,66.6,7.5,6,3,0,6,2,1,1.2,364,5.2
Geno Smith,7820,QB,SEA,2,84.8,66,69,7.8,2.46,0,2,2.5,73.9,51,0,27,8.9,76,5,24,29,84.7,83.9,78.3,84.6,1,1,87,1,18.5,97.4,6.6,5,2,1,1,2,0,0.0,498,7.2
Jacoby Brissett,10725,QB,NE,3,71.7,60,69,7.3,3.05,0,0,0.0,60.9,42,0,39,2.3,84,1,22,19,84.4,63.8,62.2,62.3,3,0,89,1,23.1,79.9,10.7,9,6,0,6,1,1,1.1,368,5.3
C.J. Stroud,129759,QB,HST,2,76.6,64,68,8.1,2.82,1,4,5.7,69.1,47,0,24,4.1,77,2,24,13,83.8,73.8,71.5,67.0,0,0,80,0,29.2,104.7,9.1,7,2,0,3,3,4,5.0,494,7.3
Caleb Williams,144622,QB,CHI,2,70.2,57,66,7.0,2.81,3,0,0.0,56.1,37,1,29,7.5,80,3,14,6,52.3,44.3,44.1,61.2,2,2,86,4,31.0,53.0,11.3,9,5,0,4,0,5,5.8,267,4.0
Joe Burrow,28022,QB,CIN,2,77.0,61,65,6.8,2.7,0,3,4.4,67.7,44,0,21,6.4,76,3,19,7,23.4,66.2,73.3,37.8,1,0,82,1,28.6,95.8,7.9,6,5,0,3,2,2,2.4,422,6.5
Brock Purdy,77672,QB,SF,2,75.0,64,65,9.3,2.9,0,2,3.0,72.3,47,0,27,2.1,78,1,31,28,40.1,77.2,74.3,70.5,0,1,80,0,29.6,96.3,10.3,8,3,0,1,1,3,3.8,550,8.5
Jalen Hurts,40291,QB,PHI,2,78.6,56,64,7.6,3.28,2,2,2.9,67.2,43,0,31,2.3,74,1,29,24,56.4,53.4,48.4,67.8,0,3,79,1,9.7,84.2,4.1,3,7,1,5,3,6,7.6,462,7.2
Tua Tagovailoa,60326,QB,MIA,2,74.6,59,62,6.7,2.31,1,5,7.7,64.5,40,0,13,9.1,73,4,22,17,83.2,66.3,59.9,87.3,0,3,77,0,30.8,78.9,5.5,4,3,0,2,2,2,2.6,483,7.8
Will Levis,83542,QB,TEN,2,72.7,55,60,9.4,2.88,0,2,3.1,63.3,38,0,32,5.0,73,2,16,31,39.5,46.9,42.1,70.1,1,3,77,0,21.9,67.3,9.6,7,6,0,4,2,2,2.6,319,5.3
Bryce Young,123943,QB,CAR,2,60.8,51,56,7.6,2.83,2,0,0.0,55.4,31,0,19,0.0,67,0,11,5,82.7,30.1,31.8,55.1,0,3,72,1,31.6,44.1,9.0,6,5,0,3,0,3,4.2,245,4.4
Kirk Cousins,7102,QB,ATL,2,77.1,48,55,7.6,2.64,2,0,0.0,65.5,36,0,25,2.7,59,1,19,2,44.2,58.2,58.6,53.0,0,2,67,0,12.0,89.7,5.1,3,1,1,4,3,4,6.0,397,7.2
Jayden Daniels,97993,QB,WAS,2,78.4,51,53,5.2,2.88,1,0,0.0,75.5,40,0,25,0.0,72,0,25,32,28.7,57.3,47.7,74.8,0,0,78,0,28.0,97.2,9.7,7,11,0,1,0,1,1.3,410,7.7
Patrick Mahomes,11765,QB,KC,2,82.0,50,53,5.1,2.61,0,2,3.3,71.7,38,0,18,7.3,63,3,24,16,82.8,75.1,68.4,84.2,0,3,71,0,22.2,91.9,6.3,4,5,0,3,3,4,5.6,442,8.3
Anthony Richardson,124393,QB,IND,2,58.0,50,53,14.0,3.1,0,3,5.4,49.1,26,0,17,10.3,61,3,19,14,25.8,55.5,52.5,70.8,2,4,64,1,17.6,63.1,4.9,3,5,1,0,3,5,7.8,416,7.8
Kyler Murray,38334,QB,ARZ,2,78.4,51,52,8.2,3.25,1,7,13.2,73.1,38,0,22,5.0,64,2,22,1,43.7,93.2,90.9,85.7,0,0,65,0,22.7,122.9,7.8,5,7,0,0,4,1,1.5,428,8.2
Trevor Lawrence,77632,QB,JAX,2,66.0,47,51,11.9,2.72,0,4,7.0,51.0,26,0,24,16.1,62,5,20,15,43.6,73.0,69.4,80.4,0,0,69,1,29.2,82.3,11.3,7,3,1,3,1,2,2.9,382,7.5
Sam Darnold,29048,QB,MIN,2,79.2,48,50,8.8,2.91,0,4,7.7,72.0,36,0,20,5.3,57,2,19,18,25.7,82.3,83.7,54.8,0,2,59,1,20.0,111.8,7.0,4,3,1,1,4,1,1.7,476,9.5
Baker Mayfield,46518,QB,TB,2,80.9,47,49,6.7,2.79,1,2,3.8,73.5,36,0,20,5.3,62,2,27,30,25.3,72.3,69.0,70.0,0,1,65,0,30.0,129.1,9.7,6,6,0,1,5,4,6.2,474,9.7
Justin Herbert,28237,QB,LAC,2,75.0,44,46,7.3,2.79,0,1,2.1,67.4,31,0,14,6.1,51,2,14,27,25.1,55.4,51.7,67.0,0,1,54,0,14.3,95.7,3.9,2,2,0,2,3,3,5.6,274,6.0
Justin Fields,82118,QB,PIT,2,79.5,39,43,6.4,3.17,0,4,7.7,69.8,30,0,21,3.2,55,1,15,25,83.6,75.6,79.0,58.5,1,0,64,0,19.0,94.4,7.3,4,8,0,3,1,0,0.0,273,6.3
Josh Allen,46601,QB,BUF,2,79.5,39,42,7.7,3.03,2,2,4.7,73.8,31,0,18,0.0,50,0,18,4,24.5,79.1,68.2,88.4,0,0,52,0,11.1,124.2,4.0,2,6,0,1,3,2,3.8,371,8.8
Derek Carr,8671,QB,NO,2,86.5,37,39,9.2,2.72,0,2,4.7,76.9,30,0,8,6.3,43,2,15,20,80.4,92.3,92.0,68.1,0,1,47,1,25.0,142.4,4.7,2,1,0,2,5,1,2.1,443,11.4
Jordan Love,40306,QB,GB,1,69.0,29,34,9.8,2.61,0,2,5.1,50.0,17,0,12,15.0,36,3,9,12,79.2,64.6,63.7,,2,1,41,0,8.3,83.0,2.8,1,0,0,3,2,2,4.9,260,7.6
Malik Willis,60341,QB,GB,2,85.7,14,15,5.6,2.58,0,0,0.0,80.0,12,0,7,0.0,20,0,7,12,76.6,66.8,68.7,56.9,0,0,22,1,14.3,122.8,5.0,1,3,0,1,1,0,0.0,122,8.1
Skylar Thompson,60417,QB,MIA,1,57.1,14,14,9.6,2.68,0,0,0.0,57.1,8,0,5,0.0,16,0,4,17,73.9,43.9,47.3,55.3,0,0,16,0,20.0,73.5,6.3,1,1,0,0,0,1,6.3,80,5.7
Tyrod Taylor,6332,QB,NYJ,1,75.0,8,8,4.6,2.6,0,0,0.0,75.0,6,0,3,0.0,9,0,3,22,71.4,66.1,59.8,65.6,0,0,10,0,0.0,122.9,0.0,0,1,0,0,1,0,0.0,36,4.5
Drake Maye,143969,QB,NE,1,57.1,7,8,2.7,2.59,0,0,0.0,50.0,4,0,5,0.0,12,0,3,19,72.4,63.0,64.6,57.7,1,0,12,0,40.0,56.3,16.7,2,2,0,0,0,0,0.0,22,2.8
Cooper Rush,12324,QB,DAL,1,100.0,2,3,7.0,2.7,0,0,0.0,33.3,1,0,0,50.0,3,1,0,9,67.4,70.6,69.6,60.0,0,0,3,0,,42.4,0.0,0,0,0,1,0,0,0.0,6,2.0
Jack Fox,34735,P,DET,1,100.0,1,1,15.0,2.0,0,0,0.0,100.0,1,0,0,0.0,1,0,1,11,60.4,73.1,68.8,,0,0,1,0,,118.8,0.0,0,0,0,0,0,0,0.0,17,17.0
Jake Haener,60596,QB,NO,1,0.0,1,1,8.0,3.2,0,0,0.0,0.0,0,0,1,,1,0,0,20,68.2,57.3,55.4,60.5,0,0,1,0,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Andy Dalton,6187,QB,CAR,1,0.0,1,1,7.0,1.9,0,0,0.0,0.0,0,0,0,,1,0,0,5,60.4,53.3,53.6,,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
