"Player","Tm","Pos",".5 PPR Pts","Pa Com","Pa Att","Pa Yds","Pa TDs","INT","Sk","PaFD","Pa300","Pa40 TD","Ru Att","Ru Yds","Ru TDs","RuFD","Ru100","Ru40 TD","Tar","Rec","Re Yds","Re TDs","ReFD","Re100","Re40 TD","Fum","Auct $"
"Josh Allen","BUF","QB","351.6","345.8","530.0","3,892.5","26.5","14.4","27.5","183.4","3.4","3.6","109.2","534.7","8.4","24.3","1.3","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.6","21"
"Jayden Daniels","WAS","QB","277.5","314.7","512.1","3,439.8","17.7","14.0","26.6","162.1","3.0","2.6","103.9","550.6","4.6","25.0","1.4","0.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.3","4"
"Dak Prescott","DAL","QB","308.2","380.8","562.5","4,217.4","29.5","13.5","29.2","198.7","3.7","4.0","52.3","228.3","1.9","10.5","0.4","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.6","12"
"Patrick Mahomes","KC","QB","330.5","384.0","574.1","4,269.4","32.2","13.3","29.7","201.1","3.8","4.3","66.6","350.1","1.4","16.0","0.7","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.9","19"
"Caleb Williams","CHI","QB","274.6","334.3","523.0","3,692.5","22.8","13.2","27.2","174.0","3.2","3.2","62.4","285.2","3.3","13.1","0.6","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.2","3"
"Trevor Lawrence","JAC","QB","273.7","354.0","540.1","3,722.9","22.2","13.2","28.0","175.4","3.2","3.1","63.9","306.7","3.0","14.1","0.6","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.4","3"
"Will Levis","TEN","QB","254.8","348.7","574.1","3,981.8","20.7","13.2","29.8","187.6","3.5","3.0","42.9","141.0","1.9","6.6","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.7","0"
"Matthew Stafford","LA","QB","259.6","343.2","528.3","3,999.0","25.2","13.1","27.4","188.4","3.5","3.5","19.2","63.1","0.9","3.1","0.0","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.9","0"
"Kirk Cousins","ATL","QB","268.3","362.1","541.2","4,025.3","25.9","12.5","28.1","189.7","3.5","3.6","27.9","83.9","1.3","4.0","0.0","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.2","1"
"Tua Tagovailoa","MIA","QB","273.0","349.8","521.2","4,152.9","26.2","12.4","27.1","195.6","3.6","3.7","30.9","82.2","0.9","3.9","0.0","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.9","2"
"Deshaun Watson","CLE","QB","259.0","294.7","471.2","3,337.3","20.1","12.4","24.6","157.3","2.9","2.8","76.8","373.7","3.2","17.1","0.8","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.6","0"
"Derek Carr","NO","QB","239.9","349.7","527.2","3,758.0","22.5","12.3","27.4","177.1","3.3","3.2","23.7","61.3","0.8","3.0","0.0","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.9","0"
"Joe Burrow","CIN","QB","294.8","372.2","554.2","4,032.7","28.0","12.2","28.6","190.0","3.5","3.8","59.2","191.5","2.3","8.9","0.3","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.6","8"
"Bryce Young","CAR","QB","225.7","309.5","498.0","3,306.2","18.6","12.2","25.9","155.8","2.9","2.6","40.2","228.4","1.3","10.5","0.4","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.7","0"
"Baker Mayfield","TB","QB","257.3","325.7","510.3","3,647.2","24.5","12.1","26.5","171.9","3.2","3.3","53.3","168.8","1.4","7.8","0.2","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.9","0"
"Bo Nix","DEN","QB","222.0","293.7","462.7","3,079.4","17.2","11.8","24.3","145.2","2.6","2.4","57.6","258.4","2.7","11.9","0.4","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.4","0"
"Jalen Hurts","PHI","QB","341.9","320.4","489.5","3,643.4","21.3","11.7","25.5","171.7","3.2","3.0","134.9","575.3","10.8","26.2","1.4","0.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.3","20"
"Kyler Murray","ARI","QB","289.9","335.5","512.0","3,571.0","19.6","11.7","26.7","168.3","3.1","2.8","89.5","507.2","4.8","23.1","1.2","0.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.2","7"
"Geno Smith","SEA","QB","242.4","335.0","505.3","3,641.7","21.1","11.7","26.3","171.6","3.2","3.0","40.6","175.2","1.0","8.1","0.2","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.8","0"
"Jordan Love","GB","QB","284.6","331.2","517.8","3,711.3","26.5","11.6","26.9","174.9","3.2","3.6","45.1","223.0","3.2","10.3","0.4","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.0","6"
"Brock Purdy","SF","QB","283.7","312.9","460.8","3,982.5","27.7","11.6","24.1","187.6","3.5","3.8","39.6","152.8","1.6","7.1","0.2","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.2","5"
"Jared Goff","DET","QB","272.6","360.3","540.0","4,020.4","26.9","11.4","28.0","189.4","3.5","3.7","22.1","48.9","1.7","2.4","0.0","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.1","1"
"Daniel Jones","NYG","QB","247.1","339.8","517.4","3,423.5","15.7","11.3","27.0","161.4","2.9","2.3","81.1","414.9","2.8","18.9","0.9","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.2","0"
"Aaron Rodgers","NYJ","QB","257.4","337.9","521.7","3,776.4","25.3","11.2","27.1","177.9","3.3","3.5","28.5","89.6","1.3","4.3","0.0","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.9","0"
"Sam Darnold","MIN","QB","236.1","298.8","480.8","3,457.0","19.6","11.0","24.9","162.9","3.0","2.8","48.4","158.5","2.4","7.3","0.2","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.5","0"
"C.J. Stroud","HOU","QB","309.9","350.2","540.4","4,257.5","28.7","10.7","28.0","200.6","3.7","3.9","43.0","181.6","2.7","8.4","0.2","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.3","14"
"Justin Herbert","LAC","QB","273.5","343.4","519.8","3,657.2","23.6","10.6","27.0","172.3","3.2","3.3","59.0","248.3","3.0","11.4","0.4","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.1","2"
"Anthony Richardson","IND","QB","307.1","298.4","483.7","3,348.9","18.5","10.5","25.2","157.8","2.9","2.6","124.8","607.0","8.1","27.6","1.5","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.1","11"
"Lamar Jackson","BAL","QB","327.0","295.5","449.4","3,410.1","23.6","10.3","23.6","160.7","2.9","3.2","134.7","768.3","4.8","34.8","2.0","0.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.8","16"
"Russell Wilson","PIT","QB","208.1","248.6","388.3","2,729.4","15.6","9.6","20.5","128.7","2.3","2.2","66.1","293.0","2.7","13.4","0.6","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.5","0"
"Drake Maye","NE","QB","145.8","183.9","308.0","1,985.5","10.9","8.4","16.2","93.6","1.7","1.5","42.2","195.6","1.8","9.0","0.4","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.3","0"
"Gardner Minshew","LV","QB","146.0","197.1","311.5","2,156.4","11.4","7.7","16.8","101.8","1.7","1.6","26.7","91.4","2.0","4.4","0.0","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.2","0"
