rank,id,player,team,pos,gp,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_yds_per_att,pass_td,pass_int,pass_rating,rush_att,rush_yds,rush_yds_per_att,rush_td,fpts_half_ppr_per_gp,fpts_half_ppr
1,21831,Jalen Hurts,PHI,QB,17,337.6,513.1,65.8,3877.2,7.6,24.0,12.1,94.3,142.3,615.3,4.3,11.0,20.4,346.2
2,19801,Josh Allen,BUF,QB,17,352.6,543.2,64.9,3981.2,7.3,27.6,14.1,93.2,115.5,573.3,5.0,9.0,20.3,344.8
3,18890,Patrick Mahomes,KC,QB,17,398.1,593.3,67.1,4440.0,7.5,33.2,12.0,99.3,68.5,361.2,5.3,1.6,19.2,326.3
4,19781,Lamar Jackson,BAL,QB,17,300.2,454.0,66.1,3501.1,7.7,24.5,9.9,97.7,138.9,803.6,5.8,4.7,18.7,317.8
5,23239,C.J. Stroud,HOU,QB,17,362.9,555.0,65.4,4416.7,8.0,29.9,9.4,101.0,41.8,176.6,4.2,2.7,17.9,304.7
6,18055,Dak Prescott,DAL,QB,17,387.3,573.6,67.5,4296.6,7.5,31.6,12.4,99.3,51.4,221.7,4.3,1.9,17.6,300.0
7,24117,Anthony Richardson,IND,QB,17,304.8,494.1,61.7,3417.5,6.9,19.2,9.9,86.8,135.1,663.5,4.9,8.1,17.6,298.4
8,21693,Joe Burrow,CIN,QB,17,388.8,575.6,67.5,4229.9,7.3,30.1,12.0,97.6,59.6,196.9,3.3,2.4,17.3,293.7
9,21841,Jordan Love,GB,QB,17,355.1,543.8,65.3,4019.4,7.4,30.3,11.4,97.2,45.7,218.1,4.8,2.6,17.0,289.6
10,20889,Kyler Murray,ARI,QB,17,343.0,517.4,66.3,3684.7,7.1,21.9,11.4,92.4,91.2,517.3,5.7,5.3,17.0,289.3
11,23235,Jayden Daniels,WAS,QB,17,329.8,537.8,61.3,3634.5,6.8,20.9,13.7,83.5,117.4,619.8,5.3,5.0,16.7,284.4
12,23241,Brock Purdy,SF,QB,17,324.1,474.8,68.3,4117.7,8.7,29.7,11.3,106.5,40.6,141.5,3.5,1.7,16.6,282.5
13,17922,Jared Goff,DET,QB,17,382.3,568.7,67.2,4318.9,7.6,28.8,10.0,99.3,27.3,53.2,1.9,1.1,16.1,273.9
14,24927,Caleb Williams,CHI,QB,17,342.0,534.3,64.0,3872.3,7.2,24.2,12.7,90.5,66.6,317.2,4.8,3.6,15.9,270.6
