rank,id,player,team,pos,gp,rush_att,rush_yds,rush_yds_per_att,rush_td,rec_tgt,rec,rec_yds,rec_td,fum,fum_lost,fpts_half_ppr_per_gp,fpts_half_ppr
1,18877,Christian McCaffrey,SF,RB,17,252.9,1231.7,4.9,10.8,83.6,66.3,540.1,5.0,1.5,1.5,17.8,302.1
2,22526,Breece Hall,NYJ,RB,17,237.8,1077.6,4.5,8.5,78.2,64.6,524.3,3.8,1.4,1.4,15.5,263.5
3,23189,Bijan Robinson,ATL,RB,17,237.2,1083.5,4.6,7.4,84.6,61.9,511.3,4.1,2.2,2.2,15.0,255.0
4,21682,Jonathan Taylor,IND,RB,17,281.6,1250.8,4.4,10.1,42.7,34.7,265.8,1.7,1.6,1.6,13.9,236.6
5,19766,Saquon Barkley,PHI,RB,17,268.5,1159.8,4.3,8.9,60.9,44.1,317.0,2.7,2.0,2.0,13.8,235.3
6,17959,Derrick Henry,BAL,RB,17,261.9,1178.5,4.5,11.9,28.1,23.3,186.4,1.0,1.5,1.5,13.1,222.5
7,23212,Kyren Williams,LAR,RB,17,237.2,1089.3,4.6,10.2,48.9,35.1,250.0,2.2,2.4,2.4,13.0,221.1
8,23200,Jahmyr Gibbs,DET,RB,17,193.7,927.1,4.8,8.4,74.4,54.0,388.7,1.9,1.6,1.6,12.8,217.2
9,21696,Travis Etienne Jr.,JAX,RB,17,238.8,973.3,4.1,8.2,61.5,47.5,372.3,1.3,1.5,1.5,12.5,212.3
10,23371,Isiah Pacheco,KC,RB,17,225.4,1005.0,4.5,8.3,51.5,43.2,282.6,2.1,1.6,1.6,12.3,209.6
11,24179,De'Von Achane,MIA,RB,17,160.7,881.4,5.5,7.2,58.7,43.8,343.8,2.9,1.1,1.1,11.9,202.8
12,23247,James Cook,BUF,RB,17,228.5,1032.8,4.5,4.5,55.5,43.2,372.5,2.7,1.7,1.7,11.9,201.9
13,23217,Rachaad White,TB,RB,17,220.2,853.8,3.9,6.5,60.8,50.9,398.1,2.3,1.8,1.8,11.8,199.8
14,20824,Josh Jacobs,GB,RB,17,242.5,1014.4,4.2,7.9,48.1,37.3,284.0,1.1,1.4,1.4,11.7,199.7
15,18858,Joe Mixon,HOU,RB,17,238.8,953.3,4.0,7.3,50.9,39.3,295.9,1.8,1.4,1.4,11.6,196.4
16,23214,Kenneth Walker III,SEA,RB,17,232.9,976.0,4.2,8.8,38.9,30.6,235.5,1.3,1.3,1.3,11.4,194.4
17,18878,Alvin Kamara,NO,RB,17,182.3,716.0,3.9,5.1,79.9,65.8,459.1,1.8,1.3,1.3,11.1,189.2
18,18983,James Conner,ARI,RB,17,197.7,898.2,4.5,6.8,43.6,33.8,233.1,1.8,1.2,1.2,10.5,179.2
19,20882,David Montgomery,DET,RB,17,208.5,917.8,4.4,9.6,29.1,21.4,157.0,0.8,1.2,1.2,10.5,178.2
20,22546,Rhamondre Stevenson,NE,RB,17,215.8,885.4,4.1,6.1,50.7,39.4,277.2,0.9,1.5,1.5,10.3,175.0
21,19045,Aaron Jones,MIN,RB,17,183.4,818.4,4.5,5.4,54.5,41.4,314.9,1.7,1.4,1.4,10.2,173.8
22,21768,Najee Harris,PIT,RB,17,238.2,967.6,4.1,7.2,32.9,25.7,168.5,1.1,1.5,1.5,10.2,173.3
23,22539,Zamir White,LV,RB,17,228.1,963.2,4.2,6.2,37.6,29.5,205.8,0.8,1.7,1.7,10.0,170.2
24,21684,D'Andre Swift,CHI,RB,17,186.0,824.7,4.4,5.4,51.4,39.3,280.7,1.6,1.3,1.3,10.0,169.6
25,17217,Raheem Mostert,MIA,RB,17,171.5,791.6,4.6,8.9,28.6,22.9,160.9,1.6,1.2,1.2,9.8,167.3
26,20912,Tony Pollard,TEN,RB,17,197.2,834.9,4.2,5.9,43.4,34.8,242.6,0.9,1.4,1.4,9.6,163.2
27,22558,Javonte Williams,DEN,RB,17,200.7,803.5,4.0,5.3,46.3,39.5,241.1,1.4,1.4,1.4,9.5,161.6
28,23190,Brian Robinson Jr.,WAS,RB,17,187.0,776.7,4.2,5.7,33.0,28.8,234.1,1.8,1.6,1.6,9.3,157.3
29,20941,Devin Singletary,NYG,RB,17,201.6,851.7,4.2,5.1,42.1,33.4,208.3,0.8,1.4,1.4,9.1,155.3
30,23479,Jaylen Warren,PIT,RB,17,141.3,678.2,4.8,3.7,57.9,47.7,331.4,1.4,1.6,1.6,9.0,152.2
31,21784,Zack Moss,CIN,RB,17,166.5,714.8,4.3,5.9,39.8,31.1,215.6,1.4,1.0,1.0,8.8,150.4
32,24123,Tyjae Spears,TEN,RB,17,142.3,626.5,4.4,4.1,52.3,42.5,324.5,1.3,1.3,1.3,8.6,146.2
33,19562,Austin Ekeler,WAS,RB,17,125.9,510.2,4.1,4.2,57.7,47.5,378.6,1.7,1.6,1.6,8.5,144.8
34,24374,Chase Brown,CIN,RB,17,141.5,614.1,4.3,3.9,44.6,37.1,307.9,1.6,1.0,1.0,8.3,141.8
35,24944,Jonathon Brooks,CAR,RB,17,167.7,708.1,4.2,5.0,35.3,30.3,221.6,1.1,1.7,1.7,8.3,141.3
36,17923,Ezekiel Elliott,DAL,RB,17,169.5,645.0,3.8,5.4,36.3,30.3,208.4,1.4,0.9,0.9,8.2,139.5
37,19798,Nick Chubb,CLE,RB,17,168.5,782.6,4.6,5.5,25.3,18.1,140.5,1.0,0.8,0.8,8.2,138.8
38,20239,Gus Edwards,LAC,RB,17,180.6,750.1,4.2,7.0,16.9,13.8,119.8,0.6,1.6,1.6,8.0,136.3
39,23205,Jerome Ford,CLE,RB,17,140.9,552.2,3.9,3.7,47.5,33.4,238.5,2.3,1.0,1.0,7.6,129.8
