rank,id,player,team,pos,gp,rec_tgt,rec,catch_rate,rec_yds,rec_td,rec_yds_per_tgt,rec_yds_per_rec,rush_att,rush_yds,rush_yds_per_att,rush_td,fum,fum_lost,fpts_half_ppr_per_gp,fpts_half_ppr
1,15048,Travis Kelce,KC,TE,17,122.0,88.5,72.5,956.7,6.3,7.8,10.8,0.8,1.9,2.4,0.0,0.4,0.4,10.4,177.1
2,23141,Sam LaPorta,DET,TE,17,111.2,82.1,73.8,853.4,7.6,7.7,10.4,0.0,0.0,,0.0,0.2,0.2,10.1,171.6
3,19803,Mark Andrews,BAL,TE,17,99.9,70.1,70.2,836.9,8.0,8.4,11.9,0.0,0.0,,0.0,0.2,0.2,9.8,166.3
4,23251,Trey McBride,ARI,TE,17,108.3,80.2,74.1,846.5,5.1,7.8,10.6,0.0,0.0,,0.0,0.2,0.2,9.1,154.9
5,19063,George Kittle,SF,TE,17,84.7,61.3,72.4,846.1,5.8,10.0,13.8,0.2,1.3,6.5,0.0,0.2,0.2,8.8,149.8
6,24102,Dalton Kincaid,BUF,TE,17,104.7,77.6,74.1,787.5,5.4,7.5,10.1,0.0,0.0,,0.0,0.4,0.4,8.8,149.1
7,22508,Kyle Pitts,ATL,TE,17,103.9,65.1,62.7,825.3,4.8,7.9,12.7,0.0,0.0,,0.0,0.2,0.2,8.4,143.5
8,18912,Evan Engram,JAX,TE,17,112.3,84.9,75.6,769.1,4.1,6.8,9.1,0.0,0.0,,0.0,0.5,0.5,8.4,143.0
9,23138,Jake Ferguson,DAL,TE,17,96.8,67.6,69.8,710.2,6.0,7.3,10.5,0.0,0.0,,0.0,0.2,0.2,8.3,140.4
10,18876,David Njoku,CLE,TE,17,103.1,68.0,66.0,747.6,5.4,7.3,11.0,0.0,0.0,,0.0,0.7,0.7,8.2,139.8
11,24943,Brock Bowers,LV,TE,17,87.1,60.6,69.6,689.7,4.6,7.9,11.4,2.0,10.0,5.0,0.1,0.6,0.6,7.5,127.3
12,19863,Dallas Goedert,PHI,TE,17,87.1,63.7,73.1,698.7,4.0,8.0,11.0,0.0,0.0,,0.0,0.2,0.2,7.4,125.3
13,19920,Dalton Schultz,HOU,TE,17,81.2,55.3,68.1,589.1,4.9,7.3,10.7,0.0,0.0,,0.0,0.4,0.4,6.8,115.2
14,22507,Pat Freiermuth,PIT,TE,17,77.6,53.3,68.7,551.9,4.3,7.1,10.4,0.0,0.0,,0.0,0.2,0.2,6.3,107.2
15,19988,Tyler Conklin,NYJ,TE,17,76.4,52.8,69.1,528.9,3.4,6.9,10.0,0.0,0.0,,0.0,0.1,0.1,5.9,99.5
16,20805,T.J. Hockenson,MIN,TE,17,76.4,54.4,71.2,538.4,3.1,7.0,9.9,0.0,0.0,,0.0,0.4,0.4,5.8,98.8
17,17975,Hunter Henry,NE,TE,17,69.2,46.2,66.8,487.9,4.5,7.1,10.6,0.0,0.0,,0.0,0.1,0.1,5.8,98.7
18,21772,Cole Kmet,CHI,TE,17,67.5,48.6,72.0,485.7,3.6,7.2,10.0,0.3,0.1,0.3,0.0,0.1,0.1,5.5,94.3
19,24150,Luke Musgrave,GB,TE,17,69.2,46.8,67.6,504.7,3.4,7.3,10.8,0.0,0.0,,0.0,0.1,0.1,5.5,94.1
20,20753,Noah Fant,SEA,TE,17,65.7,45.5,69.3,492.2,3.0,7.5,10.8,0.0,0.0,,0.0,0.1,0.1,5.3,89.8
21,21738,Juwan Johnson,NO,TE,17,64.4,41.2,64.0,436.5,4.1,6.8,10.6,0.1,0.2,2.0,0.0,0.1,0.1,5.2,88.7
22,23134,Cade Otton,TB,TE,17,62.9,43.4,69.0,435.9,3.4,6.9,10.0,0.0,0.0,,0.0,0.3,0.3,5.0,85.1
23,23489,Chigoziem Okonkwo,TEN,TE,17,63.4,45.3,71.5,479.9,2.4,7.6,10.6,0.4,1.0,2.5,0.0,0.2,0.2,5.0,84.7
24,18990,Jonnu Smith,MIA,TE,17,57.5,38.8,67.5,442.0,2.7,7.7,11.4,0.3,0.3,1.0,0.0,0.3,0.3,4.7,79.2
25,23256,Isaiah Likely,BAL,TE,17,44.8,31.4,70.1,373.8,3.8,8.3,11.9,0.0,0.0,,0.0,0.1,0.1,4.5,75.7
26,19853,Mike Gesicki,CIN,TE,17,53.1,35.4,66.7,368.9,3.0,6.9,10.4,0.0,0.0,,0.0,0.1,0.1,4.3,72.4
27,24985,Ben Sinnott,WAS,TE,17,55.6,35.6,64.0,378.9,2.7,6.8,10.6,0.2,0.8,4.0,0.0,0.3,0.3,4.2,71.4
28,14856,Zach Ertz,WAS,TE,17,57.4,36.9,64.3,333.3,2.6,5.8,9.0,0.0,0.0,,0.0,0.1,0.1,4.0,67.2
29,23140,Michael Mayer,LV,TE,17,47.8,32.5,68.0,363.6,2.4,7.6,11.2,0.0,0.0,,0.0,0.1,0.1,3.9,66.8
30,23310,Greg Dulcich,DEN,TE,17,49.5,32.8,66.3,371.3,2.1,7.5,11.3,0.0,0.0,,0.0,0.1,0.1,3.9,65.9
31,20850,Dawson Knox,BUF,TE,17,45.2,29.2,64.6,305.0,3.4,6.7,10.4,0.0,0.0,,0.0,0.1,0.1,3.8,65.3
32,24118,Tucker Kraft,GB,TE,17,42.7,32.2,75.4,338.5,2.4,7.9,10.5,0.0,0.0,,0.0,0.1,0.1,3.8,64.2
33,23142,Theo Johnson,NYG,TE,17,46.7,32.2,69.0,341.8,2.0,7.3,10.6,0.0,0.0,,0.0,0.3,0.3,3.6,61.7
34,24947,Ja'Tavion Sanders,CAR,TE,17,50.6,31.2,61.7,328.7,2.3,6.5,10.5,0.0,0.0,,0.0,0.3,0.3,3.6,61.7
35,19843,Hayden Hurst,LAC,TE,17,40.1,33.0,82.3,310.2,2.3,7.7,9.4,0.0,0.0,,0.0,0.1,0.1,3.6,61.1
36,21807,Colby Parkinson,LAR,TE,17,48.1,30.2,62.8,313.2,2.4,6.5,10.4,0.0,0.0,,0.0,0.0,0.0,3.6,60.8
37,18935,Gerald Everett,CHI,TE,17,41.9,30.2,72.1,285.9,2.0,6.8,9.5,0.3,0.3,1.0,0.0,0.1,0.1,3.3,55.5
38,18032,Tyler Higbee,LAR,TE,17,37.4,28.5,76.2,284.0,1.8,7.6,10.0,0.0,0.0,,0.0,0.1,0.1,3.1,53.2
39,22823,Kylen Granson,IND,TE,17,38.3,25.4,66.3,292.7,1.6,7.6,11.5,0.0,0.0,,0.0,0.1,0.1,3.0,51.4
40,23485,Daniel Bellinger,NYG,TE,17,35.4,26.9,76.0,265.1,1.5,7.5,9.9,0.0,0.0,,0.0,0.1,0.1,2.9,48.8
41,21785,Noah Gray,KC,TE,17,30.9,23.0,74.4,248.9,1.7,8.1,10.8,0.0,0.0,,0.0,0.1,0.1,2.7,46.4
42,19950,Will Dissly,LAC,TE,17,27.4,21.8,79.6,220.3,1.7,8.0,10.1,0.0,0.0,,0.0,0.0,0.0,2.5,43.1
43,22662,Tommy Tremble,CAR,TE,17,30.4,20.6,67.8,193.0,2.1,6.3,9.4,0.0,0.0,,0.0,0.0,0.0,2.5,42.2
44,20905,Donald Parham Jr.,LAC,TE,17,27.0,16.7,61.9,177.9,2.4,6.6,10.7,0.0,0.0,,0.0,0.0,0.0,2.4,40.5
45,20506,Tanner Hudson,CIN,TE,17,26.8,20.6,76.9,200.2,1.6,7.5,9.7,0.0,0.0,,0.0,0.0,0.0,2.3,39.9
46,18900,Mo Alie-Cox,IND,TE,17,24.2,14.5,59.9,173.7,2.4,7.2,12.0,0.0,0.0,,0.0,0.0,0.0,2.3,39.0
47,22506,Brevin Jordan,HOU,TE,17,22.3,15.3,68.6,187.0,1.7,8.4,12.2,0.0,0.0,,0.0,0.0,0.0,2.1,36.5
48,21786,Adam Trautman,DEN,TE,17,28.0,17.8,63.6,171.2,1.6,6.1,9.6,0.0,0.0,,0.0,0.0,0.0,2.1,35.6
49,17963,Austin Hooper,NE,TE,17,28.2,19.5,69.1,185.2,1.1,6.6,9.5,0.0,0.0,,0.0,0.0,0.0,2.1,34.9
50,20899,Josh Oliver,MIN,TE,17,21.6,18.2,84.3,167.3,1.4,7.7,9.2,0.0,0.0,,0.0,0.3,0.3,2.0,33.6
51,19943,Durham Smythe,MIA,TE,17,24.4,17.7,72.5,177.5,1.1,7.3,10.0,0.0,0.0,,0.0,0.0,0.0,2.0,33.2
52,23490,Jelani Woods,IND,TE,17,23.9,14.9,62.3,182.9,1.2,7.7,12.3,0.0,0.0,,0.0,0.0,0.0,1.9,32.9
53,22521,Jeremy Ruckert,NYJ,TE,17,24.4,16.9,69.3,170.6,1.2,7.0,10.1,0.0,0.0,,0.0,0.0,0.0,1.9,32.7
54,19165,Johnny Mundt,MIN,TE,17,28.5,17.7,62.1,171.0,1.0,6.0,9.7,0.0,0.0,,0.0,0.0,0.0,1.9,31.9
55,24375,Josh Whyle,TEN,TE,17,22.1,15.3,69.2,164.7,1.2,7.5,10.8,0.0,0.0,,0.0,0.0,0.0,1.8,31.3
56,24449,Elijah Higgins,ARI,TE,17,21.0,15.6,74.3,165.9,1.0,7.9,10.6,0.0,0.0,,0.0,0.0,0.0,1.8,30.4
57,25106,AJ Barner,SEA,TE,17,23.0,15.2,66.1,159.2,1.1,6.9,10.5,0.0,0.0,,0.0,0.0,0.0,1.8,30.1
58,25104,Jaheim Bell,NE,TE,17,19.4,13.9,71.6,154.1,1.2,7.9,11.1,0.0,0.0,,0.0,0.0,0.0,1.7,29.6
59,23010,Brock Wright,DET,TE,17,20.4,14.7,72.1,133.2,1.4,6.5,9.1,0.0,0.0,,0.0,0.0,0.0,1.7,29.1
60,20884,Foster Moreau,NO,TE,17,19.4,14.7,75.8,148.8,1.1,7.7,10.1,0.1,0.4,4.0,0.0,0.0,0.0,1.7,28.9
61,25208,Erick All Jr.,CIN,TE,17,21.7,13.9,64.1,147.6,1.1,6.8,10.6,0.0,0.0,,0.0,0.0,0.0,1.7,28.3
62,19491,Robert Tonyan,MIN,TE,17,17.8,14.1,79.2,139.5,1.0,7.8,9.9,0.0,0.0,,0.0,0.0,0.0,1.6,27.0
63,23143,Will Mallory,IND,TE,17,20.8,13.2,63.5,146.4,0.9,7.0,11.1,0.0,0.0,,0.0,0.0,0.0,1.6,26.6
64,23608,Drew Ogletree,IND,TE,17,19.0,10.1,53.2,136.7,1.2,7.2,13.5,0.0,0.0,,0.0,0.0,0.0,1.5,25.9
65,23650,Lucas Krull,DEN,TE,17,22.9,12.9,56.3,140.6,0.9,6.1,10.9,0.0,0.0,,0.0,0.0,0.0,1.5,25.9
66,23136,Darnell Washington,PIT,TE,17,21.3,13.2,62.0,132.2,1.0,6.2,10.0,0.0,0.0,,0.0,0.0,0.0,1.5,25.8
67,24986,Cade Stover,HOU,TE,17,21.7,12.0,55.3,133.1,0.9,6.1,11.1,0.0,0.0,,0.0,0.0,0.0,1.5,24.7
68,25112,Jared Wiley,KC,TE,17,18.0,12.1,67.2,124.4,1.0,6.9,10.3,0.0,0.0,,0.0,0.0,0.0,1.4,24.5
69,25141,Tip Reiman,ARI,TE,17,17.8,12.3,69.1,121.6,0.9,6.8,9.9,0.0,0.0,,0.0,0.0,0.0,1.4,23.7
70,24148,Davis Allen,LAR,TE,17,18.8,12.0,63.8,122.4,0.9,6.5,10.2,0.0,0.0,,0.0,0.0,0.0,1.4,23.6
71,23487,Connor Heyward,PIT,TE,17,19.3,13.4,69.4,120.3,0.7,6.2,9.0,0.0,0.1,5.0,0.0,0.0,0.0,1.3,22.9
72,20949,Irv Smith,KC,TE,17,17.5,11.9,68.0,114.2,0.9,6.5,9.6,0.0,0.0,,0.0,0.0,0.0,1.3,22.8
73,24288,Luke Schoonmaker,DAL,TE,17,15.2,10.2,67.1,103.8,1.2,6.8,10.2,0.0,0.0,,0.0,0.0,0.0,1.3,22.7
74,19903,Jordan Akins,CLE,TE,17,17.6,11.2,63.6,109.5,1.0,6.2,9.8,0.0,0.0,,0.0,0.0,0.0,1.3,22.5
75,20931,Drew Sample,CIN,TE,17,14.8,11.8,79.7,104.3,1.0,7.0,8.8,0.0,0.0,,0.0,0.0,0.0,1.3,22.3
76,19304,Pharaoh Brown,SEA,TE,17,11.9,10.3,86.6,116.8,0.9,9.8,11.3,0.0,0.0,,0.0,0.0,0.0,1.3,22.2
77,23355,Teagan Quitoriano,HOU,TE,17,16.0,7.0,43.8,110.6,1.2,6.9,15.8,0.0,0.0,,0.0,0.0,0.0,1.3,21.8
78,24444,Travis Vokolek,ARI,TE,17,15.0,10.7,71.3,99.5,1.0,6.6,9.3,0.0,0.0,,0.0,0.0,0.0,1.3,21.3
79,23644,Stone Smartt,LAC,TE,17,16.7,9.7,58.1,111.1,0.8,6.7,11.5,0.0,0.0,,0.0,0.0,0.0,1.2,20.8
80,24533,Ben Sims,GB,TE,17,11.0,8.6,78.2,73.7,1.5,6.7,8.6,0.0,0.0,,0.0,0.0,0.0,1.2,20.7
81,21795,Luke Farrell,JAX,TE,17,14.0,10.6,75.7,102.7,0.8,7.3,9.7,0.0,0.0,,0.0,0.0,0.0,1.2,20.4
82,22515,Cole Turner,WAS,TE,17,15.8,9.5,60.1,106.3,0.8,6.7,11.2,0.0,0.0,,0.0,0.0,0.0,1.2,20.2
83,24149,Brayden Willis,SF,TE,17,13.0,8.8,67.7,108.3,0.8,8.3,12.3,0.0,0.0,,0.0,0.0,0.0,1.2,20.0
84,24151,Payne Durham,TB,TE,17,17.5,9.6,54.9,102.4,0.8,5.9,10.7,0.0,0.0,,0.0,0.0,0.0,1.2,19.8
85,25014,Tanner McLachlan,CIN,TE,17,15.1,9.6,63.6,101.3,0.8,6.7,10.6,0.0,0.0,,0.0,0.0,0.0,1.2,19.7
86,24421,Cameron Latu,SF,TE,17,15.6,10.1,64.7,90.7,0.9,5.8,9.0,0.0,0.0,,0.0,0.0,0.0,1.1,19.5
87,24223,Brenton Strange,JAX,TE,17,14.9,9.9,66.4,90.2,0.9,6.1,9.1,0.0,0.0,,0.0,0.0,0.0,1.1,19.4
88,21728,Lawrence Cager,NYG,TE,17,22.1,9.9,44.8,102.1,0.7,4.6,10.3,0.0,0.0,,0.0,0.0,0.0,1.1,19.4
89,25144,Devin Culp,TB,TE,17,13.9,10.2,73.4,100.4,0.7,7.2,9.8,0.0,0.0,,0.0,0.0,0.0,1.1,19.3
90,23867,Armani Rogers,PHI,TE,17,14.0,8.4,60.0,100.1,0.8,7.1,11.9,0.0,0.0,,0.0,0.0,0.0,1.1,19.0
91,22517,Peyton Hendershot,DAL,TE,17,16.1,9.6,59.6,93.3,0.8,5.8,9.7,0.0,0.0,,0.0,0.0,0.0,1.1,18.9
92,19910,Ian Thomas,CAR,TE,17,16.7,10.4,62.3,103.6,0.5,6.2,10.0,0.0,0.0,,0.0,0.0,0.0,1.1,18.6
93,23486,Grant Calcaterra,PHI,TE,17,16.2,8.9,54.9,95.0,0.7,5.9,10.7,0.0,0.0,,0.0,0.0,0.0,1.1,18.1
94,22661,Jack Stoll,NYG,TE,17,13.0,8.9,68.5,87.6,0.8,6.7,9.8,0.0,0.0,,0.0,0.0,0.0,1.1,18.0
95,23614,John FitzPatrick,ATL,TE,17,14.0,7.9,56.4,91.9,0.8,6.6,11.6,0.0,0.0,,0.0,0.0,0.0,1.1,17.9
96,25099,Dallin Holker,NO,TE,17,13.9,8.7,62.6,98.9,0.6,7.1,11.4,0.1,0.2,2.0,0.0,0.0,0.0,1.1,17.9
97,16903,MyCole Pruitt,PIT,TE,17,12.0,6.2,51.7,68.5,1.2,5.7,11.0,0.0,0.0,,0.0,0.0,0.0,1.0,17.1
98,22511,Quintin Morris,BUF,TE,17,13.9,6.5,46.8,68.9,1.1,5.0,10.6,0.0,0.0,,0.0,0.0,0.0,1.0,16.7
99,21158,Matt Sokol,PIT,TE,17,0.0,12.0,,107.0,0.0,,8.9,0.0,0.0,,0.0,0.0,0.0,1.0,16.7
100,22119,Charlie Woerner,ATL,TE,17,17.0,10.5,61.8,82.4,0.5,4.8,7.8,0.0,0.0,,0.0,0.1,0.1,1.0,16.3
101,20361,Ross Dwelley,ATL,TE,17,12.0,6.2,51.7,88.7,0.7,7.4,14.3,0.0,0.0,,0.0,0.0,0.0,1.0,16.2
102,22657,John Bates,WAS,TE,17,13.4,9.6,71.6,89.7,0.4,6.7,9.3,0.0,0.0,,0.0,0.0,0.0,1.0,16.2
103,21783,Harrison Bryant,LV,TE,17,12.8,7.7,60.2,78.7,0.5,6.1,10.2,0.0,0.0,,0.0,0.0,0.0,0.9,14.7
104,16656,Logan Thomas,SF,TE,17,8.3,7.3,88.0,73.8,0.5,8.9,10.1,0.0,0.0,,0.0,0.0,0.0,0.8,14.0
105,22524,James Mitchell,DET,TE,17,16.0,6.9,43.1,73.2,0.5,4.6,10.6,0.0,0.0,,0.0,0.0,0.0,0.8,13.8
106,19035,Eric Saubert,SF,TE,17,11.9,7.6,63.9,65.0,0.5,5.5,8.6,0.0,0.0,,0.0,0.0,0.0,0.8,13.3
107,23135,Charlie Kolar,BAL,TE,17,6.9,5.2,75.4,60.8,0.5,8.8,11.7,0.0,0.0,,0.0,0.0,0.0,0.7,11.7
108,23335,Cole Fotheringham,LV,TE,17,13.0,5.4,41.5,52.9,0.6,4.1,9.8,0.0,0.0,,0.0,0.0,0.0,0.7,11.6
109,22509,Hunter Long,LAR,TE,17,9.1,5.3,58.2,57.3,0.5,6.3,10.8,0.0,0.0,,0.0,0.0,0.0,0.7,11.4
110,22514,Kenny Yeboah,NYJ,TE,17,0.0,5.0,,53.2,0.4,,10.6,0.0,0.0,,0.0,0.0,0.0,0.6,10.2
111,21383,Jody Fortson Jr.,MIA,TE,17,13.0,4.5,34.6,45.7,0.5,3.5,10.2,0.0,0.0,,0.0,0.0,0.0,0.6,9.8
112,18019,Nick Vannett,TEN,TE,17,0.0,4.6,,49.7,0.4,,10.8,0.0,0.0,,0.0,0.0,0.0,0.6,9.7
113,21794,Albert Okwuegbunam Jr.,PHI,TE,17,9.0,4.3,47.8,45.1,0.4,5.0,10.5,0.0,0.0,,0.0,0.0,0.0,0.5,9.1
114,21798,Josiah Deguara,JAX,TE,17,7.0,5.2,74.3,47.7,0.2,6.8,9.2,0.0,0.0,,0.0,0.0,0.0,0.5,8.6
115,23618,Ko Kieft,TB,TE,17,0.0,4.2,,41.9,0.3,,10.0,0.0,0.0,,0.0,0.1,0.1,0.5,7.9
116,24021,Tucker Fisk,LAC,TE,17,0.0,4.6,,34.6,0.2,,7.5,0.0,0.0,,0.0,0.0,0.0,0.4,7.0
117,20812,Jesper Horsted,CAR,TE,17,0.0,5.0,,32.0,0.0,,6.4,0.0,0.0,,0.0,0.0,0.0,0.3,5.7
118,24463,Julian Hill,MIA,TE,17,5.1,2.9,56.9,29.1,0.2,5.7,10.0,0.0,0.0,,0.0,0.0,0.0,0.3,5.6
119,23084,Shane Zylstra,DET,TE,17,0.0,2.5,,21.7,0.3,,8.7,0.0,0.0,,0.0,0.0,0.0,0.3,5.2
120,17762,Chris Manhertz,NYG,TE,17,0.0,2.8,,26.0,0.1,,9.3,0.0,0.0,,0.0,0.0,0.0,0.3,4.6
