rank,id,player,team,pos,game.week,opp,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_yds_per_att,pass_td,pass_int,pass_rating,rush_att,rush_yds,rush_yds_per_att,rush_td,fpts_ppr
1,19801,Josh Allen,BUF,QB,1,ARI,22.4,34.4,65.1,259.7,7.5,1.8,0.9,95.2,7.0,35.5,5.1,0.6,22.1
2,21831,Jalen Hurts,PHI,QB,1,GB,21.3,32.6,65.3,238.9,7.3,1.5,0.7,92.9,8.4,38.6,4.6,0.7,21.4
3,19781,Lamar Jackson,BAL,QB,1,KC,19.4,29.8,65.1,220.9,7.4,1.4,0.6,82.8,8.9,50.8,5.7,0.3,19.5
4,18890,Patrick Mahomes,KC,QB,1,BAL,24.2,36.1,67.0,265.3,7.3,1.9,0.7,95.2,4.5,22.9,5.1,0.1,19.3
5,23239,C.J. Stroud,HOU,QB,1,IND,23.1,34.7,66.6,278.8,8.0,1.9,0.6,97.2,2.7,11.4,4.2,0.1,18.9
6,24117,Anthony Richardson,IND,QB,1,HOU,19.5,31.1,62.7,222.5,7.2,1.2,0.7,83.0,7.6,41.1,5.4,0.5,18.8
7,20889,Kyler Murray,ARI,QB,1,BUF,21.4,32.7,65.4,225.7,6.9,1.3,0.7,81.1,6.3,34.7,5.5,0.3,17.7
8,22490,Trevor Lawrence,JAC,QB,1,MIA,23.3,35.5,65.6,254.9,7.2,1.6,0.8,91.8,4.0,18.7,4.7,0.2,17.5
9,17922,Jared Goff,DET,QB,1,LA,23.6,35.3,66.9,267.5,7.6,1.9,0.7,98.3,1.3,3.5,2.7,0.1,17.4
10,21693,Joe Burrow,CIN,QB,1,NE,22.9,34.7,66.0,249.2,7.2,1.8,0.7,93.6,3.7,13.3,3.6,0.1,17.3
11,23235,Jayden Daniels,WAS,QB,1,TB,20.3,33.2,61.1,224.7,6.8,1.2,0.8,78.5,7.1,38.9,5.5,0.3,17.3
12,21841,Jordan Love,GB,QB,1,PHI,22.7,34.2,66.4,255.2,7.5,1.8,0.7,97.1,2.6,12.2,4.7,0.1,17.2
13,24927,Caleb Williams,CHI,QB,1,TEN,21.0,33.3,63.1,238.5,7.2,1.6,0.7,92.7,4.7,20.6,4.4,0.2,17.2
14,21677,Tua Tagovailoa,MIA,QB,1,JAC,23.0,34.2,67.3,273.8,8.0,1.8,0.8,99.4,1.7,5.1,3.0,0.0,16.9
15,9038,Matthew Stafford,LA,QB,1,DET,22.5,34.8,64.7,269.0,7.7,1.7,0.8,93.6,1.4,4.0,2.9,0.1,16.8
16,19790,Baker Mayfield,TB,QB,1,WAS,21.5,33.4,64.4,241.3,7.2,1.7,0.7,95.6,3.1,10.6,3.4,0.1,16.3
17,21681,Justin Herbert,LAC,QB,1,LV,21.2,32.2,65.8,232.3,7.2,1.4,0.6,84.4,4.2,16.7,4.0,0.2,16.2
18,14895,Geno Smith,SEA,QB,1,DEN,22.0,33.3,66.1,242.7,7.3,1.6,0.8,95.9,3.0,12.7,4.2,0.1,16.0
