"Player","Tm","Pos","Opp","PaCom","PaAtt","PaYds","PaTDs","INT","RuAtt","RuYds","RuTDs","Tar","Rec","ReYds","ReTDs","Fum","FGM","39M","49M","50M","XPM","Sks","FR","DINT","DTD","PPG","Yds","0.5","PPR","Non"
"Breece Hall","NYJ","RB","TEN","0.0","0.0","0.0","0.0","0.0","18.4","75.9","0.4","6.0","4.5","34.7","0.2","0.2","","","","","","","","","","","","16.7","18.9","14.5"
"Bijan Robinson","ATL","RB","PHI","0.0","0.0","0.0","0.0","0.0","15.6","67.3","0.5","5.5","4.3","34.7","0.2","0.1","","","","","","","","","","","","16.2","18.4","14.1"
"Tyreek Hill","MIA","WR","BUF","0.0","0.0","0.0","0.0","0.0","0.3","1.5","0.0","9.2","6.8","100.5","0.6","0.1","","","","","","","","","","","","16.9","20.3","13.6"
"Saquon Barkley","PHI","RB","ATL","0.0","0.0","0.0","0.0","0.0","17.4","77.2","0.6","3.2","2.6","20.8","0.1","0.1","","","","","","","","","","","","15.3","16.6","14.1"
"Jordan Mason","SF","RB","MIN","0.0","0.0","0.0","0.0","0.0","18.1","78.2","0.7","2.8","2.1","14.9","0.1","0.1","","","","","","","","","","","","14.7","15.7","13.6"
"Jonathan Taylor","IND","RB","GB","0.0","0.0","0.0","0.0","0.0","19.3","79.2","0.6","2.9","2.3","17.8","0.1","0.2","","","","","","","","","","","","14.6","15.7","13.4"
"CeeDee Lamb","DAL","WR","NO","0.0","0.0","0.0","0.0","0.0","0.5","2.8","0.0","10.7","7.0","91.1","0.5","0.1","","","","","","","","","","","","16.1","19.6","12.6"
"Isiah Pacheco","KC","RB","CIN","0.0","0.0","0.0","0.0","0.0","16.0","69.3","0.5","3.4","2.7","20.8","0.1","0.1","","","","","","","","","","","","14.3","15.6","12.9"
"Kyren Williams","LA","RB","ARI","0.0","0.0","0.0","0.0","0.0","16.9","72.7","0.4","3.7","2.9","20.9","0.1","0.1","","","","","","","","","","","","14.1","15.6","12.6"
"Cooper Kupp","LA","WR","ARI","0.0","0.0","0.0","0.0","0.0","0.3","1.7","0.0","10.7","7.4","87.3","0.5","0.1","","","","","","","","","","","","15.6","19.3","11.9"
