rank,id,player,team,pos,game.week,opp,rush_att,rush_yds,rush_yds_per_att,rush_td,rec_tgt,rec,rec_yds,rec_td,fum,fum_lost,fpts_ppr
1,22526,Breece Hall,NYJ,RB,2,TEN,17.7,79.0,4.5,0.6,4.9,4.0,31.1,0.2,0.1,0.1,19.6
2,23189,Bijan Robinson,ATL,RB,2,PHI,16.9,74.3,4.4,0.5,5.2,4.2,32.2,0.2,0.1,0.1,18.9
3,23212,Kyren Williams,LA,RB,2,ARI,16.7,77.0,4.6,0.7,3.4,2.6,18.6,0.1,0.1,0.1,16.8
4,21682,Jonathan Taylor,IND,RB,2,GB,19.2,86.2,4.5,0.7,2.6,1.8,14.5,0.1,0.1,0.1,16.5
5,19766,Saquon Barkley,PHI,RB,2,ATL,18.2,81.5,4.5,0.5,3.3,2.8,19.6,0.1,0.1,0.1,16.3
6,23200,Jahmyr Gibbs,DET,RB,2,TB,11.9,58.1,4.9,0.5,4.4,3.7,27.1,0.2,0.1,0.1,16.2
7,18858,Joe Mixon,HOU,RB,2,CHI,17.2,72.3,4.2,0.6,3.4,2.6,19.2,0.1,0.1,0.1,15.8
8,23371,Isiah Pacheco,KC,RB,2,CIN,15.3,70.7,4.6,0.6,3.4,2.6,18.6,0.1,0.1,0.1,15.5
9,24179,De'Von Achane,MIA,RB,2,BUF,9.0,48.2,5.4,0.4,4.6,3.8,30.7,0.2,0.1,0.1,15.1
10,21696,Travis Etienne Jr.,JAC,RB,2,CLE,14.0,59.1,4.2,0.5,3.8,3.0,21.9,0.1,0.1,0.1,14.5
11,23247,James Cook,BUF,RB,2,MIA,14.3,65.2,4.6,0.3,3.6,2.8,23.3,0.2,0.1,0.1,14.4
12,20824,Josh Jacobs,GB,RB,2,IND,16.5,72.4,4.4,0.5,2.9,2.2,15.9,0.1,0.1,0.1,14.4
13,17959,Derrick Henry,BAL,RB,2,LV,16.7,76.2,4.6,0.7,1.6,1.2,9.3,0.1,0.1,0.1,14.3
14,18983,James Conner,ARI,RB,2,LA,15.0,66.4,4.4,0.5,3.1,2.5,17.8,0.1,0.1,0.1,14.3
15,18878,Alvin Kamara,NO,RB,2,DAL,13.6,51.7,3.8,0.3,5.1,4.1,27.7,0.1,0.1,0.1,14.2
