Player,Position,Team,Pass Cmp.,Pass Att.,Pass Yd.,Pass TD,Int.,Rush Att.,Rush Yd.,Rush TD,FPTS
Josh Allen,QB,BUF,21.1,30.8,233.3,1.5,0.5,6.9,31.6,0.56,20.3
Jalen Hurts,QB,PHI,21.3,32.1,233.4,1.3,0.7,10.5,44.6,0.5,20.0
Kyler Murray,QB,ARI,22.5,32.6,240.2,1.5,0.6,6.3,36.1,0.38,19.7
Lamar Jackson,QB,BAL,19.6,29.8,212.4,1.3,0.6,9.2,54.8,0.34,19.4
Joe Burrow,QB,CIN,23.9,34.9,268.4,1.8,0.5,4.1,12.8,0.24,19.1
Patrick Mahomes,QB,KC,23.9,35.8,264.6,1.8,0.8,3.9,19.3,0.18,18.8
C.J. Stroud,QB,HOU,23.1,34.4,266,1.7,0.5,2.6,7.2,0.14,17.6
Jayden Daniels,QB,WAS,18.8,29.4,200.3,1,0.7,9.9,50.4,0.41,17.5
Anthony Richardson,QB,IND,19,31.3,214.5,0.8,0.8,8.4,45,0.51,17.1
Dak Prescott,QB,DAL,24,36.4,255.6,1.6,0.8,3.1,10.5,0.16,16.6
Geno Smith,QB,SEA,21.6,33.1,239.2,1.6,0.6,3,10,0.18,16.4
Jared Goff,QB,DET,23.6,34.8,261.7,1.7,0.6,1.7,2,0.09,16.4
Baker Mayfield,QB,TB,20.8,30.8,232.3,1.6,0.6,3.2,10.8,0.16,16.1
Brock Purdy,QB,SF,19.8,29.8,233.9,1.5,0.6,2.8,10.2,0.2,16.0
Deshaun Watson,QB,CLE,20.3,31.6,207.6,1.2,0.6,4.8,23,0.29,15.5
Justin Fields,QB,PIT,16.4,26,179.4,0.7,0.5,9.6,47.5,0.35,15.2
Sam Darnold,QB,MIN,21.4,32,237.7,1.3,0.7,3.8,12.9,0.17,15.2
Trevor Lawrence,QB,JAC,20.8,33.1,225.7,1.3,0.8,4.2,17.3,0.2,15.2
Derek Carr,QB,NO,21.6,32.1,246.7,1.6,0.8,2,2.7,0.13,15.1
Gardner Minshew II,QB,LV,21.3,31.4,220.2,1.3,0.6,1.8,5.5,0.16,13.9
Caleb Williams,QB,CHI,18.5,28.9,198.1,1,0.7,4.4,21.2,0.26,13.6
Kirk Cousins,QB,ATL,21.8,32.8,234.2,1.4,0.8,0.7,1,0.08,13.3
Aaron Rodgers,QB,NYJ,19.1,28.9,202.8,1.3,0.4,1.8,0.7,0.08,12.7
Will Levis,QB,TEN,19,30.1,207.8,0.7,0.6,3.6,14.1,0.19,11.9
Daniel Jones,QB,NYG,18.5,30.4,182,0.6,0.8,6.2,28.9,0.24,11.8
Bo Nix,QB,DEN,19.2,32.3,196.1,0.7,1.2,5,21.3,0.23,11.4
Andy Dalton,QB,CAR,20.4,32.8,212.1,1,0.8,2.1,3.6,0.09,11.4
Skylar Thompson,QB,MIA,21.5,34.6,217.7,0.8,0.9,2.6,8.4,0.16,11.3
Matthew Stafford,QB,LA,21.1,32,212.2,1.1,0.9,1.7,1.9,0.07,11.3
Malik Willis,QB,GB,13.4,21.2,135.8,0.5,0.6,5.9,30.2,0.25,10.4
Justin Herbert,QB,LAC,19,28.5,183.6,0.7,0.5,2.5,6,0.11,9.8
Jacoby Brissett,QB,NE,16.5,27.6,165.9,0.6,0.5,3,12.7,0.13,9.5
