Player,Position,Team,Rush Att.,Rush Yd.,Rush TD,Tgt,Rec.,Rec Yd.,Rec TD,FPTS
Alvin Kamara,RB,NO,16.4,72.5,0.46,5.7,4.5,33.2,0.21,16.4
Jordan Mason,RB,SF,21.6,99.7,0.6,2.6,2.1,13.5,0.08,16.1
Bijan Robinson,RB,ATL,15.6,73.6,0.39,5.7,4.3,30,0.16,15.6
Breece Hall,RB,NYJ,15.6,63.2,0.41,5.8,4.5,32.9,0.21,15.4
Saquon Barkley,RB,PHI,18.4,75.3,0.47,4.1,3.3,22.8,0.14,14.9
Zach Charbonnet,RB,SEA,18.8,73,0.44,4.2,3.3,24.7,0.15,14.6
Jahmyr Gibbs,RB,DET,12.5,58.9,0.44,4.4,3.7,26.2,0.19,13.9
Jonathan Taylor,RB,IND,18.7,78.1,0.53,2.5,1.9,13.4,0.09,13.6
De'Von Achane,RB,MIA,14.4,64.6,0.29,4.3,3.3,25.6,0.11,12.9
Kyren Williams,RB,LA,15.2,62.6,0.37,4.6,3.3,21.9,0.13,12.9
Josh Jacobs,RB,GB,19.5,76,0.49,2.4,1.7,10.3,0.07,12.6
James Cook,RB,BUF,15.3,65.6,0.38,3.2,2.6,19.3,0.11,12.5
Rhamondre Stevenson,RB,NE,17.1,66.9,0.38,4,2.7,16.7,0.1,12.4
Tony Pollard,RB,TEN,15.2,65.1,0.4,3.6,2.5,16.2,0.1,12.2
James Conner,RB,ARI,15.9,61.6,0.47,2.7,2.2,14.1,0.11,12.0
Derrick Henry,RB,BAL,17.1,71.5,0.53,1.6,1.3,7.6,0.06,11.9
Aaron Jones,RB,MIN,12.3,50.7,0.37,3.7,2.8,22.7,0.16,11.7
Zack Moss,RB,CIN,14.2,54.6,0.48,2.8,2.4,14.7,0.13,11.6
Rachaad White,RB,TB,13.6,49.1,0.35,4,3.3,20.7,0.15,11.4
Travis Etienne Jr.,RB,JAC,12.7,49.9,0.37,4,3,21.8,0.11,11.4
David Montgomery,RB,DET,14.7,62,0.51,1.8,1.5,9.4,0.08,11.2
D'Andre Swift,RB,CHI,13.5,55.8,0.35,3.4,2.5,16.7,0.11,11.1
Zamir White,RB,LV,15.7,62.7,0.43,2.3,1.7,10.8,0.07,11.0
Brian Robinson Jr.,RB,WAS,13.8,56.5,0.39,3.1,2.2,12.8,0.08,10.7
Jerome Ford,RB,CLE,12.5,49.6,0.32,3.5,2.7,18.5,0.12,10.6
Chuba Hubbard,RB,CAR,14.6,56.9,0.3,3.5,2.6,15.1,0.08,10.6
Cam Akers,RB,HOU,14.6,55.5,0.41,2.7,2,11.2,0.08,10.4
Devin Singletary,RB,NYG,13.8,55.7,0.31,3.6,2.4,13.9,0.08,10.3
J.K. Dobbins,RB,LAC,13,55.5,0.34,3,2.1,12.5,0.08,10.2
Javonte Williams,RB,DEN,12.6,44.8,0.29,3.9,2.7,15.6,0.1,9.5
Najee Harris,RB,PIT,14.9,55.2,0.37,2.1,1.4,8.2,0.05,9.4
Samaje Perine,RB,KC,6,24.1,0.18,4.5,3.7,25.8,0.19,8.9
Austin Ekeler,RB,WAS,6.9,29.5,0.13,4.2,3.1,25.3,0.11,8.3
Carson Steele,RB,KC,10.7,40.9,0.34,1.7,1.4,8.4,0.07,7.9
D'Onta Foreman,RB,CLE,10.5,41.6,0.32,1.7,1.2,8.4,0.06,7.7
Ezekiel Elliott,RB,DAL,8.2,31,0.31,2.2,1.7,9.4,0.09,7.1
Rico Dowdle,RB,DAL,7.9,30.9,0.21,2.4,1.9,12.1,0.08,6.8
Tyjae Spears,RB,TEN,6.4,27.9,0.2,2.6,1.9,13.3,0.1,6.7
Jaylen Warren,RB,PIT,6.5,27,0.15,3.1,2.3,15.7,0.09,6.7
Bucky Irving,RB,TB,8,33.7,0.23,1.7,1.4,8.5,0.06,6.5
Ty Chandler,RB,MIN,8.3,33,0.22,2,1.5,8.4,0.06,6.4
Alexander Mattison,RB,LV,7.1,25.8,0.21,1.9,1.5,10.6,0.09,6.0
Chase Brown,RB,CIN,6,25.9,0.22,1.8,1.5,10.4,0.09,6.0
