Player,Position,Team,Rush Att.,Rush Yd.,Rush TD,Tgt,Rec.,Rec Yd.,Rec TD,FPTS
Travis Kelce,TE,KC,,,,6.5,4.9,51.8,0.44,10.3
Trey McBride,TE,ARI,,,,7.3,5.3,52.1,0.34,9.9
Brock Bowers,TE,LV,,,,6.6,4.7,48.7,0.31,9.1
Sam LaPorta,TE,DET,,,,5.7,4.4,45.2,0.4,9.1
Dallas Goedert,TE,PHI,,,,5.8,4.3,40.8,0.28,7.9
Mark Andrews,TE,BAL,,,,5.3,3.6,41.1,0.32,7.8
Kyle Pitts,TE,ATL,,,,5.6,3.5,39.8,0.34,7.8
Dalton Kincaid,TE,BUF,,,,4.9,3.7,39.7,0.33,7.8
Jake Ferguson,TE,DAL,,,,5.3,3.8,38.9,0.29,7.5
Hunter Henry,TE,NE,,,,5.8,3.7,36.5,0.21,6.8
Isaiah Likely,TE,BAL,,,,4.5,3.1,31.8,0.27,6.4
Dalton Schultz,TE,HOU,,,,4.1,3,31.4,0.28,6.3
Colby Parkinson,TE,LA,,,,5.2,3.2,29.9,0.2,5.8
Zach Ertz,TE,WAS,,,,4.8,3.1,27.6,0.23,5.7
Mike Gesicki,TE,CIN,,,,3.7,2.6,27.6,0.26,5.6
Pat Freiermuth,TE,PIT,,,,4.7,2.9,28.3,0.21,5.5
Cole Kmet,TE,CHI,,,,4.1,2.9,24.6,0.21,5.2
Johnny Mundt,TE,MIN,,,,4.1,2.9,26.5,0.19,5.2
Brenton Strange,TE,JAC,,,,3.6,2.5,26.5,0.21,5.2
Greg Dulcich,TE,DEN,,,,4.4,2.9,25.2,0.18,5.0
Noah Fant,TE,SEA,,,,3.5,2.6,24.9,0.2,5.0
Tyler Conklin,TE,NYJ,,,,3.8,2.7,23.4,0.21,4.9
Hayden Hurst,TE,LAC,,,,4.6,2.8,23.3,0.15,4.6
Cade Otton,TE,TB,,,,3.2,2.2,21.5,0.23,4.6
Chig Okonkwo,TE,TEN,,,,3.6,2.3,20.4,0.2,4.4
Eric Saubert,TE,SF,,,,3.1,2,20.3,0.23,4.4
Jonnu Smith,TE,MIA,,,,3.1,2.1,20.6,0.15,4.0
Jordan Akins,TE,CLE,,,,3,2,18,0.19,3.9
Foster Moreau,TE,NO,,,,2.5,1.7,16.8,0.2,3.7
Juwan Johnson,TE,NO,,,,2.6,1.8,18.6,0.16,3.7
Gerald Everett,TE,CHI,,,,2.6,1.8,16.2,0.14,3.4
Kylen Granson,TE,IND,,,,2.4,1.7,14.8,0.15,3.2
Tucker Kraft,TE,GB,,,,2.5,1.7,15.6,0.12,3.1
Ja'Tavion Sanders,TE,CAR,,,,2.9,1.6,14.4,0.14,3.1
Noah Gray,TE,KC,,,,2.3,1.6,14.6,0.14,3.1
Theo Johnson,TE,NYG,,,,2.8,1.7,14.5,0.12,3.0
Michael Mayer,TE,LV,,,,2.3,1.6,13.3,0.15,3.0
Tommy Tremble,TE,CAR,,,,2.4,1.5,13.5,0.12,2.8
Austin Hooper,TE,NE,,,,2.7,1.6,12.8,0.1,2.7
Will Dissly,TE,LAC,,,,2.1,1.3,14.5,0.1,2.7
Elijah Higgins,TE,ARI,,,,1.8,1.4,12.5,0.13,2.7
Dawson Knox,TE,BUF,,,,1.6,1.1,12,0.16,2.7
Josh Whyle,TE,TEN,,,,2,1.3,14,0.08,2.5
Luke Musgrave,TE,GB,,,,2,1.2,13.5,0.09,2.5
Erick All Jr.,TE,CIN,,,,,1,8.8,0.17,2.4
Josh Oliver,TE,MIN,,,,1.6,1.1,10.6,0.11,2.3
Jeremy Ruckert,TE,NYJ,,,,1.7,1.2,7.3,0.14,2.2
Cade Stover,TE,HOU,,,,1.6,1.1,9.7,0.12,2.2
Luke Farrell,TE,JAC,,,,1.4,1,9,0.12,2.1
Drew Sample,TE,CIN,,,,1.3,1,8.5,0.13,2.1
Mo Alie-Cox,TE,IND,,,,1.2,0.8,9,0.1,1.9
Grant Calcaterra,TE,PHI,,,,1.2,0.8,8.4,0.08,1.7
Durham Smythe,TE,MIA,,,,1.3,0.9,7.7,0.08,1.7
Adam Trautman,TE,DEN,,,,1.1,0.7,6.3,0.08,1.5
Darnell Washington,TE,PIT,,,,1,0.7,5.5,0.09,1.4
Brock Wright,TE,DET,,,,0.8,0.6,5.1,0.09,1.4
Luke Schoonmaker,TE,DAL,,,,0.7,0.5,4,0.13,1.4
Jared Wiley,TE,KC,,,,,0.7,6.6,0.06,1.4
Drew Ogletree,TE,IND,,,,0.8,0.6,7.1,0.05,1.3
AJ Barner,TE,SEA,,,,0.7,0.5,4.8,0.09,1.3
Jake Tonges,TE,SF,,,,0.9,0.6,5.7,0.07,1.3
Charlie Woerner,TE,ATL,,,,0.9,0.6,4.9,0.09,1.3
John Bates,TE,WAS,,,,0.9,0.6,6,0.07,1.3
Dallin Holker,TE,NO,,,,0.6,0.4,4.5,0.09,1.2
Julian Hill,TE,MIA,,,,0.6,0.4,4.4,0.1,1.2
Daniel Bellinger,TE,NYG,,,,0.9,0.5,5.2,0.06,1.1
Tip Reiman,TE,ARI,,,,,0.4,4.3,0.07,1.1
Brevyn Spann-Ford,TE,DAL,,,,,0.3,3.4,0.08,1.0
Payne Durham,TE,TB,,,,0.5,0.4,3.9,0.05,0.9
Hunter Long,TE,LA,,,,0.5,0.4,3.8,0.06,0.9
Ben Sinnott,TE,WAS,,,,0.6,0.4,3.8,0.05,0.9
Nick Vannett,TE,TEN,,,,,0.4,3,0.05,0.8
Harrison Bryant,TE,LV,,,,,0.2,2.4,0.07,0.8
Chris Manhertz,TE,NYG,,,,0.3,0.2,2,0.05,0.6
Connor Heyward,TE,PIT,,,,0.3,0.2,2,0.05,0.6
Stone Smartt,TE,LAC,,,,,0.2,2.4,0.05,0.6
Nate Adkins,TE,DEN,,,,0.5,0.3,1.9,0.05,0.6
