Player,Position,Team,Rush Att.,Rush Yd.,Rush TD,Tgt,Rec.,Rec Yd.,Rec TD,FPTS
CeeDee Lamb,WR,DAL,0.5,2.7,0.02,9.5,6.7,85.9,0.51,15.2
Justin Jefferson,WR,MIN,0.1,0.4,,9.5,6.1,83.8,0.5,14.3
Rashee Rice,WR,KC,0.2,1,0.01,8.9,6.6,78.2,0.45,13.8
Ja'Marr Chase,WR,CIN,0.2,0.9,,8.8,6.4,80.2,0.45,13.8
Amon-Ra St. Brown,WR,DET,0.2,1.1,0.01,8.6,6.6,76.9,0.46,13.7
Nico Collins,WR,HOU,0.1,0.5,,8.6,5.6,78.3,0.45,13.2
DeVonta Smith,WR,PHI,,,,8.2,5.9,75.7,0.42,12.8
Davante Adams,WR,LV,,,,9.4,5.9,68.5,0.48,12.7
Brandon Aiyuk,WR,SF,,,,7.3,5.2,71.7,0.44,12.4
Chris Godwin,WR,TB,0.1,0.5,,8.8,6.1,66.9,0.41,12.1
Chris Olave,WR,NO,,,,8.2,5.3,67.3,0.42,11.9
Mike Evans,WR,TB,,,,7.8,4.6,65.7,0.48,11.8
Malik Nabers,WR,NYG,0.1,0.6,,10.3,6,68.1,0.33,11.7
Garrett Wilson,WR,NYJ,0.2,0.9,0.01,8.5,5.5,66,0.39,11.6
Tyreek Hill,WR,MIA,0.4,2.3,0.01,8.6,5.6,65.8,0.36,11.6
DK Metcalf,WR,SEA,,,,8.3,4.9,65.2,0.43,11.6
Marvin Harrison Jr.,WR,ARI,0.2,1.1,0.01,8,5.2,62.7,0.4,11.4
Zay Flowers,WR,BAL,0.5,2.9,0.02,7.5,5.4,57.7,0.36,11.0
Drake London,WR,ATL,,,,8.3,5.4,60.9,0.36,10.8
DJ Moore,WR,CHI,0.5,2.3,0.01,7.4,4.8,59.9,0.33,10.7
Stefon Diggs,WR,HOU,0.2,0.9,0.01,7.1,4.8,52.9,0.38,10.1
Tank Dell,WR,HOU,1.4,7.3,0.04,5.3,3.7,51.7,0.31,9.8
Rashid Shaheed,WR,NO,0.6,3,0.02,5.6,3.6,52.2,0.37,9.7
Michael Pittman Jr.,WR,IND,,,,7.1,4.9,53.6,0.3,9.6
Jaxon Smith-Njigba,WR,SEA,,,,6.9,4.7,51.8,0.35,9.6
Amari Cooper,WR,CLE,,,,7.2,4.3,51.1,0.35,9.4
Jameson Williams,WR,DET,0.5,3.4,0.02,5,3.4,47.4,0.32,8.8
Jaylen Waddle,WR,MIA,0.3,1.6,0.01,6.6,4,48,0.28,8.7
Xavier Worthy,WR,KC,1.1,6.8,0.05,5.1,3.4,41,0.32,8.7
Tee Higgins,WR,CIN,,,,5.3,3.6,46.7,0.37,8.7
Terry McLaurin,WR,WAS,,,,6.4,3.8,50.7,0.28,8.7
Tyler Lockett,WR,SEA,,,,5.9,4,46.5,0.32,8.6
Christian Kirk,WR,JAX,0.1,0.5,,6.3,4,47.1,0.3,8.6
Brian Thomas Jr.,WR,JAX,,,,6.8,3.9,45.2,0.36,8.6
Demarcus Robinson,WR,LA,,,,6.4,3.9,45,0.33,8.4
Calvin Ridley,WR,TEN,0.2,0.7,,6.1,3.5,47.2,0.28,8.2
Gabe Davis,WR,JAX,,,,6.1,3.6,42.9,0.35,8.2
Jerry Jeudy,WR,CLE,0.1,0.5,,5.9,3.7,44.8,0.29,8.1
George Pickens,WR,PIT,0.2,0.9,0.01,5.5,3.1,46.4,0.27,8.0
Diontae Johnson,WR,CAR,,,,6.4,3.7,46.1,0.25,8.0
Courtland Sutton,WR,DEN,,,,6.7,3.7,44.7,0.26,7.9
Khalil Shakir,WR,BUF,0.3,1.4,0.01,4.9,3.3,42.2,0.29,7.8
Jauan Jennings,WR,SF,,,,4.9,3.3,43,0.29,7.7
Brandin Cooks,WR,DAL,0.1,0.5,,5.6,3.6,40.9,0.3,7.7
Ladd McConkey,WR,LAC,,,,7.3,4,41.2,0.24,7.6
Adam Thielen,WR,CAR,,,,6.1,3.7,39.3,0.23,7.2
Keon Coleman,WR,BUF,0.1,0.5,,4.3,2.9,38.1,0.3,7.1
Rome Odunze,WR,CHI,,,,5.5,3.3,38.2,0.26,7.0
