rank,id,player,team,pos,game.week,opp,rec_tgt,rec,catch_rate,rec_yds,rec_td,rec_yds_per_tgt,rec_yds_per_rec,rush_att,rush_yds,rush_yds_per_att,rush_td,fum,fum_lost,fpts_ppr
1,23251,Trey McBride,ARI,TE,3,DET,7.1,5.4,76.1,56.6,0.4,8.0,10.5,0.0,0.0,,0.0,0.0,0.0,13.5
2,19063,George Kittle,SF,TE,3,LA,6.1,4.8,78.7,60.2,0.4,9.9,12.5,0.0,0.0,,0.0,0.0,0.0,13.2
3,24943,Brock Bowers,LV,TE,3,CAR,6.2,5.1,82.3,55.4,0.4,8.9,10.9,0.0,0.1,5.0,0.0,0.0,0.0,13.1
4,15048,Travis Kelce,KC,TE,3,ATL,6.3,4.8,76.2,51.5,0.4,8.2,10.7,0.0,0.1,5.0,0.0,0.0,0.0,12.4
5,23141,Sam LaPorta,DET,TE,3,ARI,6.4,4.5,70.3,47.9,0.5,7.5,10.6,0.0,0.0,,0.0,0.0,0.0,12.3
6,24102,Dalton Kincaid,BUF,TE,3,JAC,6.2,4.2,67.7,41.7,0.3,6.7,9.9,0.0,0.0,,0.0,0.0,0.0,10.2
7,19863,Dallas Goedert,PHI,TE,3,NO,5.3,4.0,75.5,42.6,0.3,8.0,10.7,0.0,0.0,,0.0,0.0,0.0,10.1
8,19803,Mark Andrews,BAL,TE,3,DAL,5.9,3.6,61.0,41.5,0.3,7.0,11.5,0.0,0.0,,0.0,0.0,0.0,9.6
9,17975,Hunter Henry,NE,TE,3,NYJ,4.9,3.7,75.5,39.6,0.3,8.1,10.7,0.0,0.0,,0.0,0.0,0.0,9.5
10,23256,Isaiah Likely,BAL,TE,3,DAL,4.4,3.3,75.0,40.8,0.3,9.3,12.4,0.0,0.0,,0.0,0.0,0.0,9.2
11,22508,Kyle Pitts,ATL,TE,3,KC,6.2,3.7,59.7,42.0,0.2,6.8,11.4,0.0,0.0,,0.0,0.0,0.0,9.1
12,19853,Mike Gesicki,CIN,TE,3,WAS,3.9,3.3,84.6,33.9,0.3,8.7,10.3,0.0,0.0,,0.0,0.0,0.0,8.5
13,19920,Dalton Schultz,HOU,TE,3,MIN,3.9,3.1,79.5,32.3,0.3,8.3,10.4,0.0,0.0,,0.0,0.0,0.0,8.1
14,21807,Colby Parkinson,LA,TE,3,SF,4.2,3.0,71.4,34.0,0.2,8.1,11.3,0.0,0.0,,0.0,0.0,0.0,7.6
15,22507,Pat Freiermuth,PIT,TE,3,LAC,4.9,3.1,63.3,32.7,0.2,6.7,10.5,0.0,0.0,,0.0,0.0,0.0,7.6
16,23138,Jake Ferguson,DAL,TE,3,BAL,5.6,3.1,55.4,31.3,0.2,5.6,10.1,0.0,0.0,,0.0,0.0,0.0,7.4
17,14856,Zach Ertz,WAS,TE,3,CIN,4.2,3.1,73.8,31.0,0.2,7.4,10.0,0.0,0.0,,0.0,0.0,0.0,7.4
18,21772,Cole Kmet,CHI,TE,3,IND,3.5,2.7,77.1,25.7,0.2,7.3,9.5,0.0,0.0,,0.0,0.0,0.0,6.5
19,20753,Noah Fant,SEA,TE,3,MIA,4.0,2.5,62.5,26.7,0.2,6.7,10.7,0.0,0.0,,0.0,0.0,0.0,6.4
20,19988,Tyler Conklin,NYJ,TE,3,NE,3.2,2.4,75.0,24.8,0.2,7.8,10.3,0.0,0.0,,0.0,0.0,0.0,6.1
21,24223,Brenton Strange,JAC,TE,3,BUF,3.4,2.4,70.6,23.4,0.2,6.9,9.8,0.0,0.0,,0.0,0.0,0.0,5.9
22,23310,Greg Dulcich,DEN,TE,3,TB,4.3,2.5,58.1,27.1,0.1,6.3,10.8,0.0,0.0,,0.0,0.0,0.0,5.8
23,23134,Cade Otton,TB,TE,3,DEN,3.2,2.3,71.9,22.5,0.2,7.0,9.8,0.1,0.6,6.0,0.0,0.0,0.0,5.8
24,18990,Jonnu Smith,MIA,TE,3,SEA,3.7,2.6,70.3,23.4,0.1,6.3,9.0,0.0,0.0,,0.0,0.0,0.0,5.5
25,23489,Chigoziem Okonkwo,TEN,TE,3,GB,3.1,2.4,77.4,24.9,0.1,8.0,10.4,0.0,0.0,,0.0,0.0,0.0,5.5
26,19165,Johnny Mundt,MIN,TE,3,HOU,3.6,2.2,61.1,19.7,0.2,5.5,9.0,0.0,0.0,,0.0,0.0,0.0,5.4
27,20884,Foster Moreau,NO,TE,3,PHI,2.3,2.0,87.0,18.9,0.2,8.2,9.4,0.0,0.0,,0.0,0.0,0.0,5.1
28,19843,Hayden Hurst,LAC,TE,3,PIT,3.1,2.2,71.0,22.6,0.1,7.3,10.3,0.0,0.0,,0.0,0.0,0.0,5.1
29,21738,Juwan Johnson,NO,TE,3,PHI,2.6,1.8,69.2,19.3,0.2,7.4,10.7,0.0,0.0,,0.0,0.0,0.0,4.9
30,24118,Tucker Kraft,GB,TE,3,TEN,2.5,2.0,80.0,21.1,0.1,8.4,10.6,0.0,0.0,,0.0,0.0,0.0,4.7
31,19903,Jordan Akins,CLE,TE,3,NYG,2.4,2.0,83.3,19.4,0.1,8.1,9.7,0.0,0.0,,0.0,0.0,0.0,4.5
32,23142,Theo Johnson,NYG,TE,3,CLE,2.8,1.7,60.7,19.0,0.1,6.8,11.2,0.0,0.0,,0.0,0.0,0.0,4.2
33,22823,Kylen Granson,IND,TE,3,CHI,1.9,1.7,89.5,18.8,0.1,9.9,11.1,0.0,0.0,,0.0,0.0,0.0,4.2
34,21785,Noah Gray,KC,TE,3,ATL,2.1,1.7,81.0,18.5,0.1,8.8,10.9,0.0,0.0,,0.0,0.0,0.0,4.2
35,18935,Gerald Everett,CHI,TE,3,IND,2.4,1.7,70.8,15.4,0.1,6.4,9.1,0.0,0.0,,0.0,0.0,0.0,3.8
36,19950,Will Dissly,LAC,TE,3,PIT,1.6,1.5,93.8,15.2,0.1,9.5,10.1,0.0,0.0,,0.0,0.0,0.0,3.6
37,22662,Tommy Tremble,CAR,TE,3,LV,2.1,1.5,71.4,15.2,0.1,7.2,10.1,0.0,0.0,,0.0,0.0,0.0,3.6
38,24947,Ja'Tavion Sanders,CAR,TE,3,LV,2.0,1.6,80.0,13.5,0.1,6.8,8.4,0.0,0.0,,0.0,0.0,0.0,3.5
39,17963,Austin Hooper,NE,TE,3,NYJ,1.8,1.4,77.8,14.2,0.1,7.9,10.1,0.0,0.0,,0.0,0.0,0.0,3.4
40,24288,Luke Schoonmaker,DAL,TE,3,BAL,1.7,1.1,64.7,14.9,0.1,8.8,13.5,0.0,0.0,,0.0,0.0,0.0,3.2
41,20850,Dawson Knox,BUF,TE,3,JAC,1.9,1.3,68.4,12.9,0.1,6.8,9.9,0.0,0.0,,0.0,0.0,0.0,3.2
42,24150,Luke Musgrave,GB,TE,3,TEN,1.7,1.3,76.5,12.6,0.1,7.4,9.7,0.0,0.0,,0.0,0.0,0.0,3.2
43,23140,Michael Mayer,LV,TE,3,CAR,2.0,1.3,65.0,12.0,0.1,6.0,9.2,0.0,0.0,,0.0,0.0,0.0,3.1
44,20899,Josh Oliver,MIN,TE,3,HOU,1.3,1.2,92.3,12.2,0.1,9.4,10.2,0.0,0.0,,0.0,0.0,0.0,3.0
45,25208,Erick All Jr.,CIN,TE,3,WAS,2.4,1.1,45.8,11.3,0.1,4.7,10.3,0.0,0.0,,0.0,0.0,0.0,2.8
46,24375,Josh Whyle,TEN,TE,3,GB,1.5,1.1,73.3,10.9,0.1,7.3,9.9,0.0,0.0,,0.0,0.0,0.0,2.8
47,24449,Elijah Higgins,ARI,TE,3,DET,1.2,1.0,83.3,10.9,0.1,9.1,10.9,0.0,0.0,,0.0,0.0,0.0,2.7
48,18900,Mo Alie-Cox,IND,TE,3,CHI,1.3,0.9,69.2,9.8,0.1,7.5,10.9,0.0,0.0,,0.0,0.0,0.0,2.5
49,20905,Donald Parham Jr.,LAC,TE,3,PIT,1.3,0.9,69.2,9.3,0.1,7.2,10.3,0.0,0.0,,0.0,0.0,0.0,2.4
50,23486,Grant Calcaterra,PHI,TE,3,NO,1.6,1.2,75.0,12.1,0.0,7.6,10.1,0.0,0.0,,0.0,0.0,0.0,2.4
51,23485,Daniel Bellinger,NYG,TE,3,CLE,0.9,0.9,100.0,9.0,0.1,10.0,10.0,0.0,0.0,,0.0,0.0,0.0,2.4
52,18876,David Njoku,CLE,TE,3,NYG,5.0,0.8,16.0,8.4,0.1,1.7,10.5,0.0,0.0,,0.0,0.0,0.0,2.2
53,22521,Jeremy Ruckert,NYJ,TE,3,NE,1.3,0.8,61.5,8.2,0.1,6.3,10.2,0.0,0.0,,0.0,0.0,0.0,2.2
54,20949,Irv Smith,KC,TE,3,ATL,0.9,0.8,88.9,7.9,0.1,8.8,9.9,0.0,0.0,,0.0,0.0,0.0,2.2
55,20506,Tanner Hudson,CIN,TE,3,WAS,2.0,0.8,40.0,7.3,0.1,3.6,9.1,0.0,0.0,,0.0,0.0,0.0,2.1
56,22661,Jack Stoll,NYG,TE,3,CLE,0.8,0.8,100.0,6.9,0.1,8.6,8.6,0.0,0.0,,0.0,0.0,0.0,2.1
57,22517,Peyton Hendershot,DAL,TE,3,BAL,1.1,0.8,72.7,6.6,0.1,6.0,8.2,0.0,0.0,,0.0,0.0,0.0,2.1
58,20931,Drew Sample,CIN,TE,3,WAS,1.3,0.7,53.8,7.3,0.1,5.6,10.4,0.0,0.0,,0.0,0.0,0.0,2.0
59,23136,Darnell Washington,PIT,TE,3,LAC,1.3,0.7,53.8,6.9,0.1,5.3,9.9,0.0,0.0,,0.0,0.0,0.0,2.0
60,21795,Luke Farrell,JAC,TE,3,BUF,1.2,1.0,83.3,9.2,0.0,7.7,9.2,0.0,0.0,,0.0,0.0,0.0,1.9
61,19943,Durham Smythe,MIA,TE,3,SEA,1.2,0.7,58.3,6.2,0.1,5.2,8.9,0.0,0.0,,0.0,0.0,0.0,1.9
62,21786,Adam Trautman,DEN,TE,3,TB,1.6,0.6,37.5,6.1,0.1,3.8,10.2,0.0,0.0,,0.0,0.0,0.0,1.8
63,24985,Ben Sinnott,WAS,TE,3,CIN,0.8,0.6,75.0,5.9,0.1,7.4,9.8,0.0,0.0,,0.0,0.0,0.0,1.8
64,23608,Drew Ogletree,IND,TE,3,CHI,0.8,0.5,62.5,6.5,0.1,8.1,13.0,0.0,0.0,,0.0,0.0,0.0,1.8
65,23010,Brock Wright,DET,TE,3,ARI,0.8,0.6,75.0,4.6,0.1,5.7,7.7,0.0,0.0,,0.0,0.0,0.0,1.7
66,18912,Evan Engram,JAC,TE,3,BUF,5.6,0.9,16.1,7.6,0.0,1.4,8.4,0.0,0.0,,0.0,0.1,0.1,1.5
67,22657,John Bates,WAS,TE,3,CIN,0.8,0.7,87.5,6.4,0.0,8.0,9.1,0.0,0.0,,0.0,0.0,0.0,1.3
68,24148,Davis Allen,LA,TE,3,SF,1.1,0.6,54.5,6.2,0.0,5.6,10.3,0.0,0.0,,0.0,0.0,0.0,1.2
69,25134,Brevyn Spann-Ford,DAL,TE,3,BAL,0.7,0.0,0.0,6.0,0.1,8.6,,0.0,0.0,,0.0,0.0,0.0,1.2
70,24151,Payne Durham,TB,TE,3,DEN,0.6,0.3,50.0,2.9,0.1,4.8,9.7,0.0,0.0,,0.0,0.0,0.0,1.2
71,22119,Charlie Woerner,ATL,TE,3,KC,0.7,0.5,71.4,6.3,0.0,9.0,12.6,0.0,0.0,,0.0,0.0,0.0,1.1
72,25106,AJ Barner,SEA,TE,3,MIA,0.7,0.6,85.7,4.7,0.0,6.7,7.8,0.0,0.0,,0.0,0.0,0.0,1.1
73,19035,Eric Saubert,SF,TE,3,LA,0.7,0.2,28.6,8.4,0.0,12.0,42.0,0.0,0.0,,0.0,0.0,0.0,1.0
74,16917,C.J. Uzomah,PHI,TE,3,NO,0.6,0.4,65.6,4.0,0.0,6.3,9.6,0.0,0.0,,0.0,0.0,0.0,1.0
75,25099,Dallin Holker,NO,TE,3,PHI,0.4,0.4,100.0,4.6,0.0,11.5,11.5,0.2,0.6,3.0,0.0,0.0,0.0,0.9
76,22509,Hunter Long,LA,TE,3,SF,0.5,0.4,80.0,4.1,0.0,8.2,10.2,0.0,0.0,,0.0,0.0,0.0,0.8
77,25141,Tip Reiman,ARI,TE,3,DET,0.6,0.4,66.7,3.4,0.0,5.7,8.5,0.0,0.0,,0.0,0.0,0.0,0.7
78,24463,Julian Hill,MIA,TE,3,SEA,1.0,0.4,40.0,3.3,0.0,3.3,8.2,0.0,0.0,,0.0,0.0,0.0,0.7
79,25112,Jared Wiley,KC,TE,3,ATL,0.9,0.3,33.3,3.7,0.0,4.1,12.3,0.0,0.0,,0.0,0.0,0.0,0.7
80,21383,Jody Fortson Jr.,MIA,TE,3,SEA,0.8,0.3,34.2,2.7,0.0,3.5,10.3,0.0,0.0,,0.0,0.0,0.0,0.7
81,24986,Cade Stover,HOU,TE,3,MIN,0.9,0.3,33.3,3.0,0.0,3.3,10.0,0.0,0.0,,0.0,0.0,0.0,0.6
82,21732,Giovanni Ricci,CLE,TE,3,NYG,0.0,0.3,,2.4,0.0,,8.8,0.1,0.4,4.5,0.0,0.0,0.0,0.6
83,24421,Cameron Latu,SF,TE,3,LA,0.6,0.3,50.0,2.7,0.0,4.5,9.0,0.0,0.0,,0.0,0.0,0.0,0.6
84,23135,Charlie Kolar,BAL,TE,3,DAL,0.4,0.3,75.0,2.5,0.0,6.2,8.3,0.0,0.0,,0.0,0.0,0.0,0.6
85,23650,Lucas Krull,DEN,TE,3,TB,0.7,0.2,28.6,2.5,0.0,3.6,12.5,0.0,0.0,,0.0,0.0,0.0,0.5
86,25144,Devin Culp,TB,TE,3,DEN,0.5,0.2,40.0,2.5,0.0,5.0,12.5,0.0,0.0,,0.0,0.0,0.0,0.5
87,23143,Will Mallory,IND,TE,3,CHI,0.6,0.2,33.3,2.5,0.0,4.2,12.5,0.0,0.0,,0.0,0.0,0.0,0.5
88,21783,Harrison Bryant,LV,TE,3,CAR,0.6,0.2,33.3,2.4,0.0,4.0,12.0,0.0,0.0,,0.0,0.0,0.0,0.4
89,16903,MyCole Pruitt,PIT,TE,3,LAC,0.4,0.0,0.0,4.4,0.0,11.0,,0.0,0.0,,0.0,0.0,0.0,0.4
90,19304,Pharaoh Brown,SEA,TE,3,MIA,0.6,0.2,33.3,2.1,0.0,3.5,10.5,0.0,0.0,,0.0,0.0,0.0,0.4
91,23487,Connor Heyward,PIT,TE,3,LAC,0.5,0.2,40.0,2.1,0.0,4.2,10.5,0.0,0.0,,0.0,0.0,0.0,0.4
92,23644,Stone Smartt,LAC,TE,3,PIT,0.4,0.1,25.0,1.2,0.0,3.0,12.0,0.0,0.0,,0.0,0.0,0.0,0.2
93,25014,Tanner McLachlan,CIN,TE,3,WAS,0.2,0.1,50.0,1.1,0.0,5.5,11.0,0.0,0.0,,0.0,0.0,0.0,0.2
94,25104,Jaheim Bell,NE,TE,3,NYJ,0.4,0.1,25.0,1.1,0.0,2.8,11.0,0.0,0.0,,0.0,0.0,0.0,0.2
95,18019,Nick Vannett,TEN,TE,3,GB,0.2,0.0,0.0,2.1,0.0,10.5,,0.0,0.0,,0.0,0.0,0.0,0.2
96,23355,Teagan Quitoriano,HOU,TE,3,MIN,0.1,0.0,0.0,2.0,0.0,20.0,,0.0,0.0,,0.0,0.0,0.0,0.2
97,17223,Eric Tomlinson,LAC,TE,3,PIT,0.2,0.0,0.0,1.8,0.0,9.0,,0.0,0.0,,0.0,0.0,0.0,0.2
98,24686,Nate Adkins,DEN,TE,3,TB,0.2,0.0,0.0,1.5,0.0,7.5,,0.0,0.0,,0.0,0.0,0.0,0.1
99,22511,Quintin Morris,BUF,TE,3,JAC,0.7,0.1,14.3,0.5,0.0,0.7,5.0,0.0,0.0,,0.0,0.0,0.0,0.1
100,17762,Chris Manhertz,NYG,TE,3,CLE,0.1,0.0,0.0,1.3,0.0,13.0,,0.0,0.0,,0.0,0.0,0.0,0.1
101,20361,Ross Dwelley,ATL,TE,3,KC,0.1,0.0,0.0,1.0,0.0,10.0,,0.0,0.0,,0.0,0.0,0.0,0.1
102,15974,Jordan Matthews,CAR,TE,3,LV,0.1,0.0,0.0,1.0,0.0,10.0,,0.0,0.0,,0.0,0.0,0.0,0.1
103,3061,Marcedes Lewis,CHI,TE,3,IND,0.1,0.0,0.0,0.9,0.0,9.0,,0.0,0.0,,0.0,0.0,0.0,0.1
104,23101,Parker Hesse,DET,TE,3,ARI,0.1,0.0,0.0,0.8,0.0,8.0,,0.0,0.0,,0.0,0.0,0.0,0.1
