Player,Position,Team,Opp.,Pass Cmp.,Pass Att.,Pass Yd.,Pass TD,Int.,Rush Att.,Rush Yd.,Rush TD,Fum.,Tgt,Rec.,Rec Yd.,Rec TD,FPTS
Breece Hall,RB,NYJ,DEN,,,,,,16.4,70.8,0.44,0.2,5.6,4.5,29.6,0.19,15.7
Alvin Kamara,RB,NO,ATL,,,,,,17.4,70.8,0.38,0.1,5.1,4,29.8,0.16,15.1
Saquon Barkley,RB,PHI,TB,,,,,,18.4,80.9,0.45,0.2,4.2,3.2,23.3,0.13,15.1
CeeDee Lamb,WR,DAL,NYG,,,,,,0.3,1.6,0.01,0.1,9.2,6.6,82.2,0.56,14.9
Bijan Robinson,RB,ATL,NO,,,,,,15.5,69.1,0.39,0.1,5.1,3.9,26.7,0.15,14.6
Jordan Mason,RB,SF,NE,,,,,,20,87.6,0.58,0.1,2.3,1.9,10.8,0.07,14.5
Kyren Williams,RB,LA,CHI,,,,,,18.9,77.8,0.48,0.1,3.7,2.7,16.7,0.1,14.1
Rashee Rice,WR,KC,LAC,,,,,,0.2,1,0.01,0.1,9.1,6.8,81,0.44,14.1
Justin Jefferson,WR,MIN,GB,,,,,,0.1,0.4,,0.1,9.3,5.8,82.2,0.5,14
Nico Collins,WR,HOU,JAX,,,,,,0.1,0.5,,,8.4,5.6,80.2,0.51,13.9
Malik Nabers,WR,NYG,DAL,,,,,,0.3,1.5,0.01,0.1,11.4,6.7,76.4,0.47,13.8
Ja'Marr Chase,WR,CIN,CAR,,,,,,0.2,0.9,0.01,0.1,9.2,6.4,75.4,0.49,13.6
Jonathan Taylor,RB,IND,PIT,,,,,,19.5,80,0.48,0.1,2.7,2,13.2,0.08,13.5
Amon-Ra St. Brown,WR,DET,SEA,,,,,,0.2,1,0.01,0.1,9.6,7.1,74.5,0.4,13.4
James Conner,RB,ARI,WAS,,,,,,17.1,73.4,0.5,0.1,2.5,2.2,14.3,0.1,13.3
Aaron Jones,RB,MIN,GB,,,,,,13.6,59,0.31,0.1,5.1,3.7,28.5,0.15,13.2
Marvin Harrison Jr.,WR,ARI,WAS,,,,,,0.2,1.1,0.01,,8.4,5.4,69.6,0.5,12.8
De'Von Achane,RB,MIA,TEN,,,,,,15.6,63.3,0.37,0.1,3.5,2.7,22.5,0.13,12.7
Brian Robinson Jr.,RB,WAS,ARI,,,,,,14.6,61.3,0.49,0.1,3,2.3,19.1,0.11,12.6
James Cook,RB,BUF,BAL,,,,,,15.3,60.3,0.34,0.1,3.9,2.9,22.8,0.13,12.4
Jahmyr Gibbs,RB,DET,SEA,,,,,,12.7,54.8,0.37,0.1,3.9,3.1,22.3,0.15,12.2
Najee Harris,RB,PIT,IND,,,,,,17,68,0.41,0.1,3.6,2.6,12.9,0.08,12.1
Derrick Henry,RB,BAL,BUF,,,,,,16.9,72.6,0.56,0.1,1.4,1.1,7.4,0.06,12.1
David Montgomery,RB,DET,SEA,,,,,,15.6,65.6,0.46,0.1,2.3,1.9,13.8,0.1,12.1
Josh Jacobs,RB,GB,MIN,,,,,,17,64.9,0.48,0.1,2.3,1.8,12.5,0.09,11.9
Zack Moss,RB,CIN,CAR,,,,,,14,58.7,0.43,0.1,3.3,2.8,15.4,0.11,11.9
Travis Etienne Jr.,RB,JAX,HOU,,,,,,13.4,54.5,0.31,0.1,4.3,3.2,22.8,0.13,11.8
Stefon Diggs,WR,HOU,JAX,,,,,,0.2,0.9,0.01,0.1,7.9,5.5,62.6,0.45,11.7
Chris Godwin,WR,TB,PHI,,,,,,0.1,0.5,,0.1,9.3,6.3,65.1,0.36,11.7
Chuba Hubbard,RB,CAR,CIN,,,,,,14.3,59.4,0.38,0.1,3.9,2.7,17,0.11,11.7
Diontae Johnson,WR,CAR,CIN,,,,,,,,,0.1,8.4,5.6,66.7,0.38,11.6
Tony Pollard,RB,TEN,MIA,,,,,,13.9,57.9,0.32,0.1,5,3.5,17.5,0.1,11.6
Kenneth Walker III,RB,SEA,DET,,,,,,12.7,55.5,0.42,0.1,3.5,2.7,19.4,0.08,11.6
Garrett Wilson,WR,NYJ,DEN,,,,,,0.2,1,0.01,,7.6,5.1,61.3,0.44,11.5
