PLAYER INFO,PLAYER INFO,PLAYER INFO,PLAYER INFO,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS
Player,Position,Team,Opp.,Pass Cmp.,Pass Att.,Pass Yd.,Pass TD,Int.,Rush Att.,Rush Yd.,Rush TD,Fum.,FPTS
Jayden Daniels,QB,WAS,CLE,20.4,29.8,203.7,1.5,0.7,9.9,48.1,0.47,0.3,19.8
Lamar Jackson,QB,BAL,CIN,19,28.5,210,1.5,0.6,8.4,48,0.36,0.3,19.6
C.J. Stroud,QB,HOU,BUF,24.7,35.7,276.3,1.8,0.7,3.6,12.6,0.17,0.2,18.7
Josh Allen,QB,BUF,HOU,20.1,30.2,215.4,1.5,0.8,5.8,27.8,0.55,0.3,18.5
Brock Purdy,QB,SF,AZ,20.9,30.1,244.9,1.7,0.6,3.7,13.3,0.22,0.2,17.6
Joe Burrow,QB,CIN,BAL,23.9,36,253.9,1.8,0.7,3,10.2,0.13,0.2,17.4
Jordan Love,QB,GB,LAR,21.8,33,260,2,0.8,1.6,6,0.07,0.2,17.4
Geno Smith,QB,SEA,NYG,22.5,34,245,1.8,0.8,3.4,14,0.16,0.2,17.4
Kyler Murray,QB,AZ,SF,20.3,29.2,227.9,1.3,0.6,4.7,26.7,0.34,0.3,17.2
Justin Fields,QB,PIT,DAL,17.6,26.7,183.4,1.2,0.6,8.3,39.3,0.48,0.3,17.1
Patrick Mahomes,QB,KC,NO,24,34.9,227.4,1.7,0.7,4.4,19.2,0.19,0.3,17.0
Baker Mayfield,QB,TB,ATL,23.5,35.2,254.5,1.6,0.8,3.5,12.6,0.14,0.2,16.7
Trevor Lawrence,QB,JAX,IND,20.6,32.7,231.3,1.7,0.8,3.3,16.1,0.17,0.2,16.7
Dak Prescott,QB,DAL,PIT,23.9,36.3,252.9,1.6,0.7,2.3,8.2,0.09,0.2,16.1
Caleb Williams,QB,CHI,CAR,20.5,33,210,1.5,0.8,4,18,0.29,0.2,15.9
Anthony Richardson,QB,IND,JAX,12.7,22,182.2,1.1,0.7,5.9,33.1,0.43,0.2,15.8
Daniel Jones,QB,NYG,SEA,19,30.3,212.3,1.1,0.7,6.5,28.4,0.24,0.2,15.4
Sam Darnold,QB,MIN,NYJ,20.5,31.5,228,1.5,0.8,3.4,13,0.18,0.3,15.3
Deshaun Watson,QB,CLE,WAS,19.3,31.9,223.1,1.1,0.8,5,23.3,0.27,0.2,15.3
Aaron Rodgers,QB,NYJ,MIN,20.5,30.5,235,1.3,0.6,2.6,7,0.1,0.3,14.1
Kirk Cousins,QB,ATL,TB,21.7,33.2,233.8,1.4,0.7,1,1,0.09,0.2,13.8
Andy Dalton,QB,CAR,CHI,21.5,33.5,230,1.3,0.8,2.4,6,0.11,0.2,13.7
Tyler Huntley,QB,MIA,NE,16.3,26.5,160,1,0.6,7,35,0.18,0.2,13.4
Matthew Stafford,QB,LAR,GB,19.7,31.4,227,1.5,0.8,1,1,0.03,0.2,13.4
Derek Carr,QB,NO,KC,19.6,30.2,228.7,1.2,0.8,2.2,5.9,0.07,0.2,13.0
Bo Nix,QB,DEN,LV,19.9,33.8,191.9,0.7,1,5.5,25.3,0.39,0.3,12.7
Gardner Minshew II,QB,LV,DEN,19.5,30.5,210,0.7,0.6,2.7,7,0.1,0.2,10.9
Jacoby Brissett,QB,NE,MIA,16.5,25.5,165,1,0.6,3,12,0.13,0.3,10.8
