PLAYER INFO,PLAYER INFO,PLAYER INFO,PLAYER INFO,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS
Player,Position,Team,Opp.,Rush Att.,Rush Yd.,Rush TD,Fum.,Tgt,Rec.,Rec Yd.,Rec TD,FPTS
Jordan Mason,RB,SF,AZ,19.8,87.2,0.86,0.1,2.4,1.9,12.2,0.08,16.3
Kyren Williams,RB,LAR,GB,18.6,73,0.73,0.2,4.5,3.3,23,0.17,16.3
Alvin Kamara,RB,NO,KC,15.8,66.1,0.39,0.1,6.5,5,38.5,0.17,16.1
Derrick Henry,RB,BAL,CIN,18,79,0.92,0.1,1.9,1.5,12,0.06,15.5
Bijan Robinson,RB,ATL,TB,16,67.4,0.39,0.1,4.4,3.4,27.5,0.16,14.3
Aaron Jones,RB,MIN,NYJ,15.5,70,0.36,0.1,4.8,3.5,26,0.14,14.2
Kenneth Walker III,RB,SEA,NYG,14.5,64,0.59,0.1,3.4,2.6,18,0.1,13.4
Breece Hall,RB,NYJ,MIN,12,48,0.28,0.1,5.8,4.6,35,0.2,13.3
Brian Robinson Jr.,RB,WAS,CLE,14.5,62,0.55,0.1,2.7,2.1,17,0.1,12.7
Travis Etienne Jr.,RB,JAX,IND,13.3,59,0.5,0.1,3.6,2.6,19,0.11,12.6
De'Von Achane,RB,MIA,NE,14.3,58.1,0.42,0.1,3.6,2.8,22.4,0.12,12.5
Chuba Hubbard,RB,CAR,CHI,14,61.8,0.39,0.1,4,2.7,18.6,0.12,12.3
James Cook,RB,BUF,HOU,12,53,0.34,0.1,3.6,2.7,24,0.16,11.9
Josh Jacobs,RB,GB,LAR,13.7,59.3,0.53,0.1,2.5,2,15.4,0.07,11.9
Kareem Hunt,RB,KC,NO,13.6,55.4,0.44,0.1,3.3,2.4,17.8,0.1,11.6
Rhamondre Stevenson,RB,NE,MIA,13.9,58.4,0.39,0.1,3.4,2.3,15.3,0.07,11.1
Joe Mixon,RB,HOU,BUF,12.7,51.9,0.43,0.1,2.6,2.2,15.5,0.09,10.8
D'Andre Swift,RB,CHI,CAR,12.6,48.3,0.33,0.1,3.4,2.6,20.1,0.14,10.8
James Conner,RB,AZ,SF,13.5,58,0.44,0.1,1.8,1.6,12,0.09,10.8
Jerome Ford,RB,CLE,WAS,11.5,46.8,0.3,0.1,3.8,3,20.9,0.14,10.7
Zack Moss,RB,CIN,BAL,10.3,40.9,0.44,0.1,3.5,2.9,21,0.1,10.7
Najee Harris,RB,PIT,DAL,13.5,52,0.43,0.1,3.3,2.3,15,0.08,10.7
Devin Singletary,RB,NYG,SEA,14,57,0.38,0.1,2.6,1.9,14,0.05,10.4
Javonte Williams,RB,DEN,LV,12,44,0.31,0.1,3.9,2.6,17,0.12,9.8
Rachaad White,RB,TB,ATL,8.9,34,0.22,0.1,4.2,3.2,21.7,0.14,9.1
Zamir White,RB,LV,DEN,14.5,55,0.33,0.1,1.5,1,7,0.04,8.7
Bucky Irving,RB,TB,ATL,10.1,45.4,0.33,0.1,2.3,1.8,9.7,0.07,8.6
Rico Dowdle,RB,DAL,PIT,10.7,40.3,0.27,0.1,2.7,2.1,14.8,0.08,8.5
Chase Brown,RB,CIN,BAL,8.5,37.2,0.23,0.1,2.6,2.1,14.9,0.08,7.9
Braelon Allen,RB,NYJ,MIN,9.3,39.4,0.23,0.1,1.9,1.5,12,0.07,7.5
Trey Sermon,RB,IND,JAX,10.4,41.6,0.29,0.1,1.3,0.9,5.6,0.03,6.9
Emanuel Wilson,RB,GB,LAR,8,33.9,0.21,0.1,2.3,1.7,12,0.06,6.9
Justice Hill,RB,BAL,CIN,3.7,17,0.13,0.1,3.8,3,22,0.12,6.7
Antonio Gibson,RB,NE,MIA,7.5,32,0.21,0.1,2.4,1.6,10.7,0.05,6.4
