PLAYER INFO,PLAYER INFO,PLAYER INFO,PLAYER INFO,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS
Player,Position,Team,Opp.,Rush Att.,Rush Yd.,Rush TD,Fum.,Tgt,Rec.,Rec Yd.,Rec TD,FPTS
Travis Kelce,TE,KC,NO,,,,0.1,6.9,5.1,54,0.46,10.5
George Kittle,TE,SF,AZ,,,,,5.5,4,44.1,0.4,8.8
Jake Ferguson,TE,DAL,PIT,,,,,5.9,4.3,47,0.32,8.8
Trey McBride,TE,AZ,SF,,,,,,4.7,46.8,0.26,8.6
Dalton Kincaid,TE,BUF,HOU,,,,,5.4,3.8,40,0.3,7.7
Colby Parkinson,TE,LAR,GB,,,,,5.7,3.7,36.8,0.29,7.3
Brock Bowers,TE,LV,DEN,,,,,4.9,3.3,35.4,0.31,7.1
Tucker Kraft,TE,GB,LAR,,,,,4.7,3.4,33.6,0.33,7.0
Tyler Conklin,TE,NYJ,MIN,,,,,5,3.5,37.1,0.2,6.7
David Njoku,TE,CLE,WAS,,,,,,3.4,36,0.23,6.7
Pat Freiermuth,TE,PIT,DAL,,,,,5.5,3.5,32.4,0.27,6.6
Kyle Pitts,TE,ATL,TB,,,,,4.8,3.1,32.3,0.27,6.4
Evan Engram,TE,JAX,IND,,,,,,3.3,30.4,0.28,6.4
Zach Ertz,TE,WAS,CLE,,,,,4.4,3,31.4,0.27,6.3
Cole Kmet,TE,CHI,CAR,,,,,4.7,3.2,30.1,0.28,6.3
Cade Otton,TE,TB,ATL,,,,,5,3.4,30.1,0.24,6.2
Hunter Henry,TE,NE,MIA,,,,,4.6,2.9,32.2,0.22,6.0
Isaiah Likely,TE,BAL,CIN,,,,,3.7,2.6,30,0.24,5.7
Mike Gesicki,TE,CIN,BAL,,,,,4.1,2.8,29,0.21,5.6
Dalton Schultz,TE,HOU,BUF,,,,,3.9,2.9,27.7,0.23,5.6
Mark Andrews,TE,BAL,CIN,,,,,3.5,2.4,27.3,0.24,5.4
Noah Fant,TE,SEA,NYG,,,,,3.4,2.5,24,0.19,4.8
Tommy Tremble,TE,CAR,CHI,,,,,3.5,2.4,22,0.17,4.4
Johnny Mundt,TE,MIN,NYJ,,,,,3.3,2.3,20.6,0.16,4.2
Greg Dulcich,TE,DEN,LV,,,,,3.4,2.1,20.1,0.16,4.0
Noah Gray,TE,KC,NO,,,,,2.4,1.7,19,0.14,3.6
Taysom Hill,TE,NO,KC,2.9,15.6,0.16,,0.8,0.5,4.9,0.03,3.4
Luke Musgrave,TE,GB,LAR,,,,,2.3,1.6,16.7,0.14,3.3
Juwan Johnson,TE,NO,KC,,,,,2.5,1.6,17.3,0.13,3.3
Theo Johnson,TE,NYG,SEA,,,,,2.5,1.6,18,0.09,3.1
Austin Hooper,TE,NE,MIA,,,,,2.7,1.6,16,0.1,3.0
Jonnu Smith,TE,MIA,NE,,,,,2.2,1.7,15.5,0.1,3.0
Erick All Jr.,TE,CIN,BAL,,,,,1.7,1.5,14,0.11,2.8
Ja'Tavion Sanders,TE,CAR,CHI,,,,,1.8,1.2,9.9,0.18,2.7
