PLAYER INFO,PLAYER INFO,PLAYER INFO,PLAYER INFO,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS
Player,Position,Team,Opp.,Rush Att.,Rush Yd.,Rush TD,Fum.,Tgt,Rec.,Rec Yd.,Rec TD,FPTS
CeeDee Lamb,WR,DAL,PIT,0.9,5.2,0.03,0.1,8.3,6,79.7,0.51,14.5
Justin Jefferson,WR,MIN,NYJ,0.1,0.4,,0.1,9.2,5.8,81.7,0.49,13.8
Malik Nabers,WR,NYG,SEA,0.5,2.2,0.02,0.1,11,6.4,77.5,0.44,13.7
Nico Collins,WR,HOU,BUF,,,,0.1,8.2,5.5,80,0.45,13.3
Ja'Marr Chase,WR,CIN,BAL,0.2,0.9,0.01,0.1,7.6,5.3,72,0.47,12.6
Deebo Samuel Sr.,WR,SF,AZ,2.2,10.5,0.15,0.1,6.8,4.6,59.9,0.4,12.4
DK Metcalf,WR,SEA,NYG,,,,0.1,8.7,5.2,70,0.5,12.4
Jayden Reed,WR,GB,LAR,0.9,5.8,0.05,0.1,6.7,4.6,63.9,0.48,12.3
Chris Godwin,WR,TB,ATL,0.1,0.5,,0.1,9.5,6.4,68.7,0.38,12.2
Diontae Johnson,WR,CAR,CHI,,,,0.1,8.8,5.8,70.9,0.37,12.0
Drake London,WR,ATL,TB,,,,0.1,8.6,5.5,65.3,0.38,11.4
Chris Olave,WR,NO,KC,0.2,1.2,,,8,5.1,67.2,0.32,11.3
Mike Evans,WR,TB,ATL,,,,0.1,8.2,4.6,63.1,0.44,11.1
Tee Higgins,WR,CIN,BAL,,,,,6.9,4.6,61.2,0.44,11.1
George Pickens,WR,PIT,DAL,0.2,1,0.01,,7.2,4.2,60.6,0.41,10.8
Zay Flowers,WR,BAL,CIN,0.6,3.3,0.02,,6.8,4.8,53.8,0.41,10.7
Stefon Diggs,WR,HOU,BUF,0.2,0.9,0.01,,7.2,5,54.4,0.44,10.7
Brandon Aiyuk,WR,SF,AZ,,,,,6.3,4.4,57.2,0.46,10.7
Garrett Wilson,WR,NYJ,MIN,0.2,0.9,0.01,0.1,7.4,4.9,60,0.35,10.5
Dontayvion Wicks,WR,GB,LAR,,,,,6.8,4.4,55.6,0.45,10.5
Tyreek Hill,WR,MIA,NE,1,5.6,0.04,0.1,7,4.3,56.4,0.32,10.3
Marvin Harrison Jr.,WR,AZ,SF,0.2,1.1,0.01,,6.2,3.8,59.6,0.37,10.3
Jaxon Smith-Njigba,WR,SEA,NYG,,,,,7.4,5,54.5,0.37,10.2
Terry McLaurin,WR,WAS,CLE,,,,,6.4,4.1,55.1,0.4,10.0
Michael Pittman Jr.,WR,IND,JAX,,,,0.1,8.2,5.1,58.7,0.29,10.0
Rashid Shaheed,WR,NO,KC,0.6,3,0.02,,6.3,3.9,57.2,0.32,10.0
Amari Cooper,WR,CLE,WAS,,,,,8,4.5,56.1,0.34,9.9
DJ Moore,WR,CHI,CAR,0.5,2.5,0.02,0.1,7.1,4.5,52.2,0.37,9.9
Brian Thomas Jr.,WR,JAX,IND,,,,,6.6,3.7,51.9,0.44,9.7
Tutu Atwell,WR,LAR,GB,0.2,1.1,0.01,,7.1,4,53.8,0.36,9.7
Xavier Worthy,WR,KC,NO,1.3,8.1,0.07,,5.4,3.4,46.2,0.36,9.7
Josh Downs,WR,IND,JAX,,,,0.1,8,5,55,0.28,9.5
