rank,id,player,team,pos,game.week,opp,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_yds_per_att,pass_td,pass_int,pass_rating,rush_att,rush_yds,rush_yds_per_att,rush_td,fpts_ppr
1,19781,Lamar Jackson,BAL,QB,5,CIN,18.6,27.4,67.9,214.6,7.8,1.5,0.7,103.2,11.6,55.8,4.8,0.3,20.2
2,19801,Josh Allen,BUF,QB,5,HOU,18.6,28.2,66.0,230.8,8.2,1.6,0.8,101.9,6.5,32.4,5.0,0.5,19.9
3,23235,Jayden Daniels,WAS,QB,5,CLE,17.4,27.2,64.0,186.0,6.8,1.1,0.8,80.2,10.0,50.6,5.1,0.5,17.9
4,20889,Kyler Murray,ARI,QB,5,SF,19.8,29.9,66.2,213.0,7.1,1.3,0.7,84.4,7.6,36.6,4.8,0.3,17.4
5,23239,C.J. Stroud,HOU,QB,5,BUF,23.6,36.2,65.2,260.2,7.2,1.7,0.7,94.7,2.9,11.6,4.0,0.1,17.2
6,21841,Jordan Love,GB,QB,5,LA,20.3,31.5,64.4,239.1,7.6,1.7,0.7,93.1,2.6,12.6,4.8,0.2,17.0
7,21693,Joe Burrow,CIN,QB,5,BAL,23.9,35.3,67.7,261.7,7.4,1.7,0.7,97.6,3.4,11.4,3.4,0.1,17.0
8,18055,Dak Prescott,DAL,QB,5,PIT,23.0,36.1,63.7,240.5,6.7,1.7,0.7,90.0,2.6,12.5,4.8,0.1,16.5
9,23241,Brock Purdy,SF,QB,5,ARI,20.5,29.6,69.3,239.7,8.1,1.7,0.7,99.3,3.6,11.7,3.2,0.1,16.4
10,14895,Geno Smith,SEA,QB,5,NYG,24.7,35.9,68.8,253.8,7.1,1.6,0.8,96.3,3.3,10.9,3.3,0.1,16.2
11,24117,Anthony Richardson,IND,QB,5,JAC,16.7,28.0,59.6,192.9,6.9,1.1,1.2,78.4,6.6,33.6,5.1,0.5,15.7
12,22492,Justin Fields,PIT,QB,5,DAL,17.3,26.8,64.6,182.9,6.8,1.0,0.7,79.7,8.7,42.7,4.9,0.4,15.6
13,18857,Deshaun Watson,CLE,QB,5,WAS,21.1,34.8,60.6,203.5,5.8,1.2,0.7,74.0,5.7,24.6,4.3,0.2,14.8
14,19812,Sam Darnold,MIN,QB,5,NYJ,18.4,28.7,64.1,223.5,7.8,1.6,0.8,94.6,3.7,10.5,2.8,0.1,14.8
15,18890,Patrick Mahomes,KC,QB,5,NO,21.4,31.9,67.1,223.8,7.0,1.3,0.8,83.3,4.1,21.1,5.1,0.1,14.7
16,2593,Aaron Rodgers,NYJ,QB,5,MIN,22.3,34.8,64.1,234.5,6.7,1.4,0.6,79.9,2.3,6.1,2.7,0.1,14.6
17,14252,Kirk Cousins,ATL,QB,5,TB,21.0,32.2,65.2,234.1,7.3,1.5,0.7,95.0,1.4,4.3,3.1,0.1,14.6
18,19790,Baker Mayfield,TB,QB,5,ATL,21.1,31.6,66.8,225.1,7.1,1.4,0.7,83.5,3.2,11.1,3.5,0.1,14.5
19,22490,Trevor Lawrence,JAC,QB,5,IND,19.9,31.0,64.2,220.4,7.1,1.3,1.0,82.7,3.2,18.1,5.7,0.2,14.4
20,20841,Daniel Jones,NYG,QB,5,SEA,20.9,33.5,62.4,196.3,5.9,1.0,0.7,75.1,6.0,23.0,3.8,0.2,13.6
21,24927,Caleb Williams,CHI,QB,5,CAR,20.1,31.9,63.0,197.1,6.2,1.2,0.9,77.2,4.5,18.5,4.1,0.2,13.5
22,21810,Tyler Huntley,MIA,QB,5,NE,18.9,31.0,61.0,201.8,6.5,0.9,0.6,77.6,4.6,19.4,4.2,0.2,13.0
23,12841,Andy Dalton,CAR,QB,5,CHI,20.6,32.0,64.4,189.2,5.9,1.2,0.8,78.8,2.3,8.5,3.7,0.2,12.8
24,9038,Matthew Stafford,LA,QB,5,GB,20.3,31.7,64.0,226.3,7.1,1.2,0.9,81.0,0.8,3.5,4.4,0.1,12.6
25,16311,Derek Carr,NO,QB,5,KC,19.3,28.7,67.2,201.3,7.0,1.2,0.6,82.7,2.3,3.9,1.7,0.1,12.2
26,20880,Gardner Minshew II,LV,QB,5,DEN,20.9,32.6,64.1,205.2,6.3,1.0,0.7,78.5,2.2,6.7,3.0,0.1,11.9
27,25069,Bo Nix,DEN,QB,5,LV,20.4,32.8,62.2,190.0,5.8,0.9,0.8,74.0,5.4,19.6,3.6,0.1,11.8
28,23477,Skylar Thompson,MIA,QB,5,NE,13.5,24.4,55.3,202.5,8.3,1.0,1.0,82.3,2.4,12.5,5.2,0.0,11.3
29,18018,Jacoby Brissett,NE,QB,5,MIA,16.8,27.7,60.6,181.6,6.6,0.9,0.6,76.8,2.5,9.3,3.7,0.1,10.8
30,19238,Taysom Hill,NO,QB,5,KC,0.0,0.0,,0.0,,0.0,0.0,0.0,4.0,19.4,4.8,0.2,5.0
31,611,Joe Flacco,IND,QB,5,JAC,4.3,4.7,91.5,57.3,12.2,0.4,0.2,114.2,0.5,1.2,2.4,0.0,3.6
32,24350,Aidan O'Connell,LV,QB,5,DEN,1.1,1.9,58.8,9.6,5.1,0.1,0.0,64.6,0.0,0.0,,0.0,0.8
33,24958,Drake Maye,NE,QB,5,MIA,0.0,0.0,,10.2,,0.0,0.0,0.0,0.2,0.9,4.1,0.0,0.5
34,21046,Jake Browning,CIN,QB,5,BAL,0.0,0.0,,7.7,,0.0,0.0,0.0,0.2,1.0,5.0,0.0,0.4
35,23185,Sam Howell,SEA,QB,5,NYG,0.0,0.0,,8.0,,0.0,0.0,0.0,0.1,0.6,6.0,0.0,0.4
36,23132,Bryce Young,CAR,QB,5,CHI,0.0,0.0,,6.9,,0.0,0.0,0.0,0.1,0.6,6.0,0.0,0.3
37,14536,Russell Wilson,PIT,QB,5,DAL,0.0,0.0,,6.7,,0.0,0.0,0.0,0.2,0.7,3.5,0.0,0.3
38,12831,Tyrod Taylor,NYJ,QB,5,MIN,0.0,0.0,,5.4,,0.0,0.0,0.0,0.2,0.9,4.5,0.0,0.3
39,24168,Tyson Bagent,CHI,QB,5,CAR,0.0,0.0,,6.1,,0.0,0.0,0.0,0.1,0.6,6.0,0.0,0.3
40,22505,Davis Mills,HOU,QB,5,BUF,0.0,0.0,,6.1,,0.0,0.0,0.0,0.1,0.3,3.0,0.0,0.3
41,22496,Mac Jones,JAC,QB,5,IND,0.0,0.0,,5.9,,0.0,0.0,0.0,0.1,0.1,1.0,0.0,0.2
42,19330,Nick Mullens,MIN,QB,5,NYJ,0.0,0.0,,4.3,,0.0,0.0,0.0,0.1,0.3,3.0,0.0,0.2
43,18811,Mitchell Trubisky,BUF,QB,5,HOU,0.0,0.0,,3.7,,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1
44,23118,Malik Willis,GB,QB,5,LA,0.0,0.0,,1.9,,0.0,0.0,0.0,0.1,0.3,3.0,0.0,0.1
45,19025,Joshua Dobbs,SF,QB,5,ARI,0.0,0.0,,2.3,,0.0,0.0,0.0,0.1,0.1,1.0,0.0,0.1
46,24170,Clayton Tune,ARI,QB,5,SF,0.0,0.0,,1.4,,0.0,0.0,0.0,0.2,0.4,2.0,0.0,0.1
47,20859,Drew Lock,NYG,QB,5,SEA,0.0,0.0,,1.4,,0.0,0.0,0.0,0.1,0.3,3.0,0.0,0.1
48,23242,Michael Penix Jr.,ATL,QB,5,TB,0.0,0.0,,1.6,,0.0,0.0,0.0,0.1,0.3,3.0,0.0,0.1
49,20954,Jarrett Stidham,DEN,QB,5,LV,0.0,0.0,,2.0,,0.0,0.0,0.0,0.0,0.1,5.0,0.0,0.1
50,16762,Jameis Winston,CLE,QB,5,WAS,0.0,0.0,,0.0,,0.0,0.0,0.0,0.2,0.8,4.0,0.0,0.1
51,19461,Cooper Rush,DAL,QB,5,PIT,0.0,0.0,,1.4,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
52,6489,Josh Johnson,BAL,QB,5,CIN,0.0,0.0,,0.7,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
53,18118,Brandon Allen,SF,QB,5,ARI,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
54,21818,Shane Buechele,BUF,QB,5,HOU,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
55,19972,Mike White,BUF,QB,5,HOU,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
56,22502,Desmond Ridder,ARI,QB,5,SF,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
57,15694,Case Keenum,HOU,QB,5,BUF,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
58,25114,Austin Reed,CHI,QB,5,CAR,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
59,20703,John Wolford,CAR,QB,5,CHI,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
60,25353,Jack Plummer,CAR,QB,5,CHI,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
61,22495,Zach Wilson,DEN,QB,5,LV,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
62,25044,Carter Bradley,LV,QB,5,DEN,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
63,25116,Jordan Travis,NYJ,QB,5,MIN,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
64,22493,Trey Lance,DAL,QB,5,PIT,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
65,24956,J.J. McCarthy,MIN,QB,5,NYJ,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
66,24507,Adrian Martinez,NYJ,QB,5,MIN,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
67,20053,Kyle Allen,PIT,QB,5,DAL,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
68,20929,Brett Rypien,MIN,QB,5,NYJ,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
69,24171,Jaren Hall,SEA,QB,5,NYG,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
70,24625,Tommy Devito,NYG,QB,5,SEA,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
71,23186,Spencer Rattler,NO,QB,5,KC,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
72,23249,Jake Haener,NO,QB,5,KC,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
73,23267,Bailey Zappe,KC,QB,5,NO,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
74,17920,Carson Wentz,KC,QB,5,NO,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
75,25043,Jason Bean,IND,QB,5,JAC,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
