Kyler Murray,ARI,186,141,0.158,0.09,124,834,11,5,132,120,-67,2020
Ryan Tannehill,TEN,127,134,0.493,0.524,35,254,7,1,82,63,-18,2020
Russell Wilson,SEA,99,92,0.213,0.189,66,515,2,4,18,141,-61,2020
Josh Allen,BUF,74,69,0.03,0.02,80,441,8,4,18,79,-23,2020
Sam Darnold,NYJ,72,76,0.353,0.378,30,224,2,0,16,57,0,2020
Lamar Jackson,BAL,69,85,-0.036,-0.016,151,1003,7,5,63,45,-39,2020
Daniel Jones,NYG,67,43,0.162,0.061,51,433,1,3,48,46,-27,2020
Carson Wentz,PHI,62,47,0.092,0.042,50,261,5,3,34,57,-30,2020
Kirk Cousins,MIN,57,51,0.263,0.225,24,163,1,1,20,53,-17,2020
Marcus Mariota,LV,48,50,0.762,0.803,9,88,1,0,32,17,0,2020
Dak Prescott,DAL,46,32,0.333,0.196,17,94,3,0,21,24,0,2020
Patrick Mahomes,KC,44,57,0.06,0.112,47,314,2,2,11,62,-29,2020
Cam Newton,NE,44,30,-0.064,-0.081,125,572,12,5,56,48,-60,2020
Teddy Bridgewater,CAR,43,26,0.066,-0.009,45,279,5,4,-24,94,-26,2020
Matthew Stafford,DET,42,32,0.23,0.142,21,122,0,0,-8,50,0,2020
Ryan Fitzpatrick,MIA,39,41,0.146,0.163,24,156,2,0,11,27,0,2020
Jacoby Brissett,IND,27,30,0.18,0.221,11,23,3,0,24,2,0,2020
Andy Dalton,DAL,24,6,0.052,-0.081,24,116,0,1,20,18,-13,2020
Aaron Rodgers,GB,24,22,0.029,0.02,29,144,3,3,7,64,-47,2020
Ryan Finley,CIN,20,11,0.23,0.068,10,68,1,0,11,9,0,2020
Tua Tagovailoa,MIA,18,42,-0.009,0.144,27,120,3,0,8,9,0,2020
Robert Griffin,BAL,16,9,0.271,0.103,8,73,0,1,30,0,-13,2020
Jeff Driskel,DEN,14,8,0.248,0.092,6,28,0,0,10,4,0,2020
John Wolford,LA,14,15,0.256,0.297,6,56,0,0,4,10,0,2020
Baker Mayfield,CLE,13,1,-0.068,-0.119,39,174,1,3,4,25,-15,2020
Garrett Gilbert,DAL,12,10,0.881,0.692,3,28,0,0,-2,14,0,2020
Jake Luton,JAC,12,13,1.835,2.045,1,13,1,0,0,12,0,2020
Gardner Minshew,JAC,11,15,-0.042,-0.012,27,156,1,1,-13,36,-12,2020
Mitch Trubisky,CHI,9,22,-0.07,0.001,33,195,1,1,-36,57,-11,2020
David Blough,DET,8,7,2.217,1.82,1,18,0,0,0,8,0,2020
Taylor Heinicke,WAS,8,12,0.425,0.664,3,22,0,0,0,8,0,2020
Chris Streveler,ARI,8,5,0.373,0.175,3,16,0,0,8,0,0,2020
Nathan Peterman,LV,7,5,1.437,0.982,1,9,0,0,0,7,0,2020
Drew Brees,NO,7,9,0.024,0.051,6,10,2,0,13,-6,0,2020
Kyle Allen,WAS,7,8,0.097,0.128,5,28,1,0,-10,17,0,2020
