Davante Adams,GB,395,433,0.197,0.229,149,1374,18,0.77,115,5.2,1,2,24,2020
Stefon Diggs,BUF,377,379,0.158,0.16,166,1535,8,0.77,127,3.7,0,4,84,2020
Justin Jefferson,MIN,373,374,0.255,0.256,125,1400,7,0.7,88,5.1,1,4,74,2020
Mike Evans,TB,354,358,0.256,0.261,109,1006,13,0.64,70,3.8,0,9,171,2020
DK Metcalf,SEA,334,337,0.195,0.199,129,1303,10,0.64,83,4.4,1,3,88,2020
A.J. Brown,TEN,332,318,0.25,0.234,106,1075,11,0.66,70,6.2,2,5,101,2020
William Fuller,HOU,326,330,0.412,0.419,75,879,8,0.71,53,5.5,0,3,76,2020
Tyreek Hill,KC,322,295,0.173,0.148,135,1276,15,0.64,87,5,0,0,0,2020
Adam Thielen,MIN,287,296,0.192,0.202,108,925,14,0.69,74,3.3,0,4,53,2020
Nelson Agholor,LV,277,277,0.28,0.28,82,896,8,0.59,48,4.8,0,5,155,2020
Chris Godwin,TB,267,265,0.28,0.276,84,840,7,0.77,65,4.3,1,1,13,2020
Cole Beasley,BUF,267,243,0.199,0.17,107,967,4,0.77,82,4.3,0,0,0,2020
Corey Davis,TEN,261,267,0.225,0.233,92,984,5,0.71,65,4.5,1,1,13,2020
Tyler Lockett,SEA,238,261,0.098,0.119,132,1054,10,0.76,100,3.3,1,3,67,2020
Marvin Jones,DET,235,228,0.123,0.116,115,978,9,0.66,76,2.6,0,5,95,2020
Julio Jones,ATL,231,231,0.298,0.297,68,771,3,0.75,51,4.5,0,2,27,2020
Calvin Ridley,ATL,230,232,0.067,0.069,143,1374,9,0.63,90,3.1,1,4,46,2020
Brandin Cooks,HOU,207,212,0.089,0.094,119,1143,6,0.68,81,4.2,0,1,11,2020
DeAndre Hopkins,ARI,207,223,0.034,0.047,160,1407,6,0.72,115,4.5,3,6,93,2020
DJ Moore,CAR,191,180,0.079,0.067,118,1193,4,0.56,66,5.8,0,1,33,2020
Amari Cooper,DAL,184,164,0.047,0.028,130,1114,5,0.71,92,4.5,0,2,32,2020
Tim Patrick,DEN,183,189,0.161,0.17,79,742,6,0.65,51,4.7,0,4,52,2020
Rashard Higgins,CLE,176,177,0.294,0.296,52,599,4,0.71,37,2.1,2,2,25,2020
Allen Robinson,CHI,175,197,0.014,0.031,151,1250,6,0.68,102,3.1,0,3,58,2020
Allen Lazard,GB,153,149,0.283,0.275,46,451,3,0.72,33,5.9,0,1,14,2020
Emmanuel Sanders,NO,150,154,0.096,0.102,82,726,5,0.74,61,2.8,1,3,53,2020
Tee Higgins,CIN,142,147,0.039,0.045,108,908,6,0.62,67,4.6,1,1,22,2020
-,LAC,139,142,0.615,0.627,26,398,3,0.77,20,3,0,0,0,2020
T.Y. Hilton,IND,138,152,0.057,0.076,93,762,5,0.6,56,3.5,0,7,98,2020
Jarvis Landry,CLE,130,127,0.04,0.036,101,840,3,0.71,72,4.8,1,0,0,2020
Cooper Kupp,LA,118,101,-0.008,-0.025,124,974,3,0.74,92,5.7,0,2,37,2020
Mike Williams,LAC,117,103,0.045,0.025,85,756,5,0.56,48,3.4,0,2,31,2020
Brandon Aiyuk,SF,117,129,0.017,0.031,96,748,5,0.63,60,4.8,0,4,72,2020
Gabe Davis,BUF,115,107,0.107,0.091,62,599,7,0.56,35,3.7,1,1,10,2020
Scott Miller,TB,113,113,0.132,0.133,53,501,3,0.62,33,3.3,0,4,116,2020
Marquez Valdes-Scantling,GB,112,130,0.085,0.12,63,690,6,0.52,33,7.3,1,4,73,2020
Antonio Brown,TB,110,96,0.089,0.063,62,483,4,0.73,45,5.6,0,1,10,2020
Kendrick Bourne,SF,107,112,0.061,0.069,74,667,2,0.66,49,4.5,0,1,6,2020
Randall Cobb,HOU,107,106,0.158,0.155,48,441,3,0.79,38,4.5,0,0,0,2020
Zach Pascal,IND,99,102,0.055,0.061,71,629,5,0.62,44,5.3,0,0,0,2020
Isaiah McKenzie,BUF,99,105,0.251,0.275,34,282,5,0.88,30,6.3,0,0,0,2020
John Brown,BUF,99,92,0.114,0.099,52,458,3,0.63,33,5.4,0,2,41,2020
Donovan Peoples-Jones,CLE,95,93,0.519,0.508,20,304,2,0.7,14,5.5,0,0,0,2020
Curtis Samuel,CAR,95,88,0.001,-0.008,97,851,3,0.79,77,4.2,1,1,6,2020
Travis Fulgham,PHI,93,101,0.049,0.064,67,539,4,0.57,38,2.6,0,4,90,2020
Russell Gage,ATL,93,78,-0.017,-0.035,109,786,4,0.66,72,3.9,0,1,14,2020
Mecole Hardman,KC,90,90,0.064,0.064,62,560,4,0.66,41,7,1,0,0,2020
Kenny Golladay,DET,90,93,0.22,0.23,32,338,2,0.63,20,1.9,0,2,33,2020
Keke Coutee,HOU,85,84,0.146,0.142,40,400,3,0.83,33,4.5,3,0,0,2020
Keelan Cole,JAC,82,76,-0.017,-0.026,88,642,5,0.63,55,3.2,0,5,37,2020
Willie Snead,BAL,81,87,0.101,0.117,48,432,3,0.69,33,5.7,1,0,0,2020
Demarcus Robinson,KC,81,81,0.052,0.053,59,466,3,0.76,45,3.8,1,0,0,2020
Jakobi Meyers,NE,81,78,0.004,0,81,729,0,0.73,59,3.7,1,0,0,2020
CeeDee Lamb,DAL,78,82,-0.038,-0.034,111,935,5,0.67,74,4.2,1,1,34,2020
