Christian McCaffrey,-,218,232,0.217,0.24,108,741,5,0.79,85,8.2,0,0,0,2022
Jerick McKinnon,KC,216,210,0.375,0.361,71,509,9,0.79,56,9.7,1,0,0,2022
Leonard Fournette,TB,152,160,0.181,0.197,83,523,3,0.88,73,7.7,0,0,0,2022
Tony Pollard,DAL,128,109,0.29,0.225,55,371,3,0.71,39,8.9,0,0,0,2022
Austin Ekeler,LAC,119,134,0.029,0.049,128,722,5,0.84,107,7.9,2,0,0,2022
David Montgomery,CHI,97,77,0.339,0.243,40,316,1,0.85,34,8.3,1,0,0,2022
Antonio Gibson,WAS,89,84,0.116,0.102,58,353,2,0.79,46,6.5,0,1,5,2022
Joe Mixon,CIN,88,80,0.065,0.046,75,441,2,0.8,60,7.8,0,0,0,2022
Clyde Edwards-Helaire,KC,88,92,0.437,0.459,23,151,3,0.74,17,8.5,0,0,0,2022
Kyle Juszczyk,SF,86,87,0.514,0.518,23,200,1,0.83,19,7.8,0,0,0,2022
Nyheim Hines,-,83,91,0.297,0.335,37,241,1,0.81,30,6.3,0,0,0,2022
Derrick Henry,TEN,79,86,0.197,0.224,41,398,0,0.8,33,12,2,0,0,2022
Josh Jacobs,LV,75,73,0.071,0.066,64,400,0,0.83,53,7.1,1,0,0,2022
Jaylen Warren,PIT,72,79,0.272,0.306,33,214,0,0.85,28,8,0,0,0,2022
Travis Etienne,JAC,63,55,0.12,0.085,45,314,0,0.78,35,10.1,1,0,0,2022
Ameer Abdullah,LV,61,53,0.278,0.226,32,211,1,0.78,25,7.8,0,0,0,2022
Nick Chubb,CLE,61,64,0.143,0.16,37,239,1,0.73,27,9.6,0,0,0,2022
Craig Reynolds,DET,55,55,0.878,0.87,10,116,0,0.9,9,12,0,0,0,2022
Dontrell Hilliard,TEN,55,56,0.258,0.266,26,177,4,0.81,21,7.2,0,0,0,2022
Aaron Jones,GB,55,53,-0.007,-0.01,72,395,5,0.82,59,8.1,2,0,0,2022
Isiah Pacheco,KC,52,50,0.463,0.442,14,130,0,0.93,13,12.1,0,0,0,2022
C.J. Ham,MIN,51,49,0.526,0.498,12,86,0,0.83,10,5.6,0,0,0,2022
Chase Edmonds,-,51,50,0.286,0.276,24,157,1,0.67,16,7.1,0,0,0,2022
D'Andre Swift,DET,51,48,-0.004,-0.012,71,389,3,0.69,48,9.3,1,0,0,2022
Chuba Hubbard,CAR,49,49,0.384,0.392,18,176,0,0.82,14,11.4,1,0,0,2022
Tyler Allgeier,ATL,48,52,0.412,0.448,17,139,1,0.94,16,10.5,0,0,0,2022
Samaje Perine,CIN,47,64,0.03,0.092,51,287,4,0.75,38,8.4,0,0,0,2022
