Devin Duvernay,BAL,76,71,0.585,0.513,12,84,1,0,2022
Braxton Berrios,NYJ,70,71,1.21,1.23,9,91,2,0,2022
Kadarius Toney,KC,66,65,1.338,1.315,7,82,1,0,2022
Brandon Powell,LA,57,62,0.313,0.379,16,106,0,0,2022
Christian Watson,GB,57,58,1.172,1.215,7,80,2,0,2022
Jamal Agnew,JAC,53,54,0.376,0.388,12,86,0,0,2022
Rashid Shaheed,NO,45,43,2.146,2.004,4,57,1,0,2022
Amon-Ra St. Brown,DET,45,42,0.408,0.347,9,95,0,0,2022
Velus Jones,CHI,45,45,0.428,0.427,9,103,1,1,2022
Isaiah McKenzie,BUF,42,44,0.515,0.568,9,55,1,0,2022
Anthony Schwartz,CLE,42,42,1.9,1.896,4,57,1,0,2022
Cooper Kupp,LA,40,35,0.257,0.174,9,52,1,0,2022
Curtis Samuel,WAS,37,64,-0.204,-0.067,38,187,1,1,2022
Treylon Burks,TEN,36,38,1.055,1.096,4,47,0,0,2022
Mack Hollins,LV,36,35,1.539,1.49,4,48,0,0,2022
Tyreek Hill,MIA,35,35,0.576,0.558,7,32,1,0,2022
Greg Dortch,ARI,34,29,0.268,0.164,7,44,0,0,2022
DJ Moore,CAR,33,36,0.11,0.159,10,53,0,0,2022
Ray-Ray McCloud,SF,33,30,1.124,0.993,4,78,1,0,2022
Mecole Hardman,KC,32,33,0.504,0.525,4,31,2,0,2022
Julio Jones,TB,31,31,0.539,0.52,5,45,0,0,2022
George Pickens,PIT,31,31,2.511,2.517,3,24,1,0,2022
Jerry Jeudy,DEN,31,36,1.159,1.429,4,40,0,0,2022
Kalif Raymond,DET,28,28,0.25,0.259,7,36,0,0,2022
Justin Jefferson,MIN,27,25,0.465,0.389,4,24,1,0,2022
Steven Sims,PIT,25,28,-0.031,0.019,13,70,0,0,2022
Dante Pettis,CHI,23,24,1.048,1.089,2,37,0,0,2022
Noah Gray,KC,23,21,0,0,1,1,1,0,2022
Parris Campbell,IND,22,22,0.439,0.443,5,58,0,0,2022
Laviska Shenault,CAR,22,24,0.055,0.09,9,65,1,0,2022
Jameson Williams,DET,22,23,4.277,4.456,1,40,0,0,2022
Chase Claypool,CHI,22,20,0.069,0.036,9,59,0,0,2022
Ben Skowronek,LA,21,21,3.459,3.448,1,17,1,0,2022
Jaylen Waddle,MIA,21,19,1.084,0.96,3,26,0,0,2022
Mark Andrews,BAL,21,21,0.454,0.442,3,8,0,0,2022
Gunner Olszewski,PIT,21,22,0.05,0.078,8,39,0,0,2022
Connor Heyward,PIT,18,20,0.782,0.909,2,27,0,0,2022
KJ Hamler,DEN,18,17,1.17,1.085,2,23,0,0,2022
Michael Pittman,IND,18,18,0.804,0.805,3,30,0,0,2022
Deven Thompkins,TB,16,17,1.146,1.213,2,26,0,0,2022
K.J. Osborn,MIN,15,14,0.487,0.391,3,6,0,0,2022
Skyy Moore,KC,15,17,0.377,0.461,3,24,0,0,2022
Diontae Johnson,PIT,15,12,0.14,0.035,7,25,0,0,2022
Armani Rogers,WAS,15,15,0.742,0.766,2,26,0,0,2022
Cole Kmet,CHI,15,13,0.928,0.807,2,9,0,0,2022
Jalen Reagor,MIN,15,16,0.231,0.288,4,25,0,0,2022
Tutu Atwell,LA,14,19,-0.128,-0.04,9,34,1,0,2022
Equanimeous St. Brown,CHI,14,18,0.095,0.213,6,54,0,0,2022
Brandon Aiyuk,SF,14,16,1.171,1.325,2,23,0,0,2022
CeeDee Lamb,DAL,12,18,-0.17,-0.064,10,47,0,0,2022
Montrell Washington,DEN,12,11,0.027,-0.016,5,30,0,0,2022
Tyquan Thornton,NE,12,13,0.397,0.48,3,16,1,0,2022
Tyler Conklin,NYJ,11,12,0.199,0.23,2,3,0,0,2022
Harrison Bryant,CLE,10,10,0.953,0.992,1,8,0,0,2022
Romeo Doubs,GB,9,9,1.75,1.697,1,11,0,0,2022
Keenan Allen,LAC,9,9,0.998,0.909,1,8,0,0,2022
Daniel Bellinger,NYG,9,10,0.103,0.158,1,2,1,0,2022
Scott Miller,TB,9,9,1.5,1.512,1,8,0,0,2022
Peyton Hendershot,DAL,9,10,0.099,0.158,1,2,1,0,2022
