rank,id,player,team,pos,gp,rec_tgt,rec,catch_rate,rec_yds,rec_td,rec_yds_per_tgt,rec_yds_per_rec,rush_att,rush_yds,rush_yds_per_att,rush_td,fum,fum_lost,fpts_half_ppr_per_gp,fpts_half_ppr
1,21679,CeeDee Lamb,DAL,WR,17,171.0,117.9,68.9,1515.2,8.5,8.9,12.9,11.4,81.7,7.2,0.9,0.8,0.8,16.1,273.4
2,18082,Tyreek Hill,MIA,WR,17,157.0,108.6,69.2,1534.7,8.7,9.8,14.1,5.2,28.6,5.5,0.2,0.7,0.7,15.4,262.6
3,22587,Amon-Ra St. Brown,DET,WR,17,156.9,111.2,70.9,1346.7,7.3,8.6,12.1,4.8,31.6,6.6,0.1,0.7,0.7,13.9,236.4
4,22564,Ja'Marr Chase,CIN,WR,17,153.0,102.7,67.1,1325.3,7.7,8.7,12.9,3.1,13.1,4.2,0.1,0.4,0.4,13.6,231.2
5,21685,Justin Jefferson,MIN,WR,17,157.0,102.9,65.5,1437.1,6.0,9.2,14.0,2.1,6.6,3.1,0.1,0.7,0.7,13.6,231.0
6,21042,A.J. Brown,PHI,WR,17,137.2,90.6,66.0,1306.9,8.0,9.5,14.4,0.2,1.6,8.0,0.0,1.0,1.0,13.1,222.1
7,24172,Puka Nacua,LAR,WR,17,140.8,90.6,64.3,1267.1,5.6,9.0,14.0,8.5,52.9,6.2,0.3,0.4,0.4,12.5,211.9
8,23122,Garrett Wilson,NYJ,WR,17,160.5,93.7,58.4,1205.1,6.6,7.5,12.9,3.8,16.8,4.4,0.1,1.0,1.0,12.2,207.2
9,22565,Chris Olave,NO,WR,17,140.0,88.0,62.9,1194.0,6.2,8.5,13.6,0.2,1.1,5.5,0.0,0.4,0.4,11.8,199.9
10,24974,Marvin Harrison Jr.,ARI,WR,17,136.8,85.8,62.7,1167.3,7.0,8.5,13.6,0.7,4.5,6.4,0.0,1.2,1.2,11.7,199.7
11,16597,Mike Evans,TB,WR,17,119.4,71.0,59.5,1077.9,9.2,9.0,15.2,0.2,1.3,6.5,0.0,0.3,0.3,11.6,198.0
12,16470,Davante Adams,LV,WR,17,148.3,91.0,61.4,1110.3,6.8,7.5,12.2,0.2,1.1,5.5,0.0,0.3,0.3,11.6,196.8
13,21756,Nico Collins,HOU,WR,17,117.6,76.2,64.8,1130.1,7.3,9.6,14.8,1.1,7.0,6.4,0.0,0.3,0.3,11.5,195.0
14,23151,Drake London,ATL,WR,17,133.9,85.3,63.7,1116.4,6.9,8.3,13.1,0.4,2.6,6.5,0.0,0.6,0.6,11.5,194.8
15,20875,DK Metcalf,SEA,WR,17,122.2,71.7,58.7,1064.1,8.4,8.7,14.8,0.2,1.3,6.5,0.0,0.3,0.3,11.3,192.2
16,20932,Deebo Samuel Sr.,SF,WR,17,98.0,63.7,65.0,913.4,5.0,9.3,14.3,35.7,206.4,5.8,3.1,0.7,0.7,11.2,191.0
17,18882,Cooper Kupp,LAR,WR,17,132.9,86.2,64.9,1054.3,6.3,7.9,12.2,2.4,13.8,5.8,0.1,0.3,0.3,11.0,187.7
18,21747,Brandon Aiyuk,SF,WR,17,104.6,71.9,68.7,1108.2,6.9,10.6,15.4,0.9,6.3,7.0,0.0,0.6,0.6,11.0,187.6
19,21687,DeVonta Smith,PHI,WR,17,116.9,81.3,69.5,1056.6,7.0,9.0,13.0,0.2,1.3,6.5,0.0,0.6,0.6,11.0,187.2
20,22598,Jaylen Waddle,MIA,WR,17,120.1,80.6,67.1,1112.4,4.8,9.3,13.8,3.7,19.8,5.4,0.1,0.3,0.3,10.7,182.3
21,19844,DJ Moore,CHI,WR,17,119.7,75.7,63.2,1062.6,5.9,8.9,14.0,3.4,19.3,5.7,0.3,0.6,0.6,10.7,182.0
22,24953,Malik Nabers,NYG,WR,17,122.8,80.3,65.4,1047.8,6.0,8.5,13.0,2.2,15.2,6.9,0.1,1.0,1.0,10.7,181.1
23,21744,Michael Pittman Jr.,IND,WR,17,132.9,92.7,69.8,1026.9,5.3,7.7,11.1,0.5,3.4,6.8,0.0,0.7,0.7,10.6,179.8
24,16765,Amari Cooper,CLE,WR,17,116.8,70.7,60.5,1081.8,6.2,9.3,15.3,0.2,1.1,5.5,0.0,0.6,0.6,10.6,179.6
25,21690,Tee Higgins,CIN,WR,17,114.4,70.2,61.4,1000.6,7.2,8.7,14.3,0.2,1.2,6.0,0.0,0.3,0.3,10.5,177.9
26,16906,Stefon Diggs,HOU,WR,17,126.5,84.6,66.9,1018.0,5.7,8.0,12.0,1.0,5.2,5.2,0.0,0.7,0.7,10.4,177.4
27,23153,George Pickens,PIT,WR,17,109.4,65.7,60.1,1057.6,5.6,9.7,16.1,2.3,16.3,7.1,0.1,0.6,0.6,10.2,173.2
