rank,id,player,team,pos,game.week,opp,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_yds_per_att,pass_td,pass_int,pass_rating,rush_att,rush_yds,rush_yds_per_att,rush_td,fpts_ppr
1,19801,Josh Allen,BUF,QB,1,ARI,22.0,33.2,66.3,258.2,7.8,1.8,0.8,97.8,6.7,34.4,5.1,0.6,22.0
2,21831,Jalen Hurts,PHI,QB,1,GB,20.8,31.8,65.4,235.7,7.4,1.4,0.7,84.9,8.6,39.9,4.6,0.6,20.4
3,19781,Lamar Jackson,BAL,QB,1,KC,19.1,29.5,64.7,217.4,7.4,1.4,0.6,82.2,8.9,51.0,5.7,0.3,19.4
4,18890,Patrick Mahomes,KC,QB,1,BAL,23.9,35.6,67.1,264.9,7.4,1.9,0.7,95.2,4.5,23.0,5.1,0.1,19.3
5,23239,C.J. Stroud,HOU,QB,1,IND,23.0,34.0,67.6,279.1,8.2,1.9,0.6,100.0,2.7,11.2,4.1,0.1,18.9
6,24117,Anthony Richardson,IND,QB,1,HOU,19.8,31.3,63.3,219.8,7.0,1.2,0.7,82.7,7.3,41.5,5.7,0.5,18.5
7,21693,Joe Burrow,CIN,QB,1,NE,23.7,34.2,69.3,256.1,7.5,1.9,0.7,99.6,4.0,14.0,3.5,0.1,18.0
8,20889,Kyler Murray,ARI,QB,1,BUF,21.1,32.1,65.7,222.5,6.9,1.3,0.7,83.1,6.5,35.4,5.4,0.3,17.6
9,24927,Caleb Williams,CHI,QB,1,TEN,20.8,32.3,64.4,238.0,7.4,1.6,0.7,95.6,4.6,20.1,4.4,0.2,17.3
10,21677,Tua Tagovailoa,MIA,QB,1,JAC,22.7,33.9,67.0,267.4,7.9,1.8,0.8,98.5,1.6,5.2,3.2,0.1,17.2
11,22490,Trevor Lawrence,JAC,QB,1,MIA,23.2,34.4,67.4,252.0,7.3,1.5,0.8,96.7,3.9,18.3,4.7,0.2,16.9
12,21841,Jordan Love,GB,QB,1,PHI,22.1,33.8,65.4,251.4,7.4,1.7,0.7,94.1,2.4,11.7,4.9,0.1,16.8
13,17922,Jared Goff,DET,QB,1,LA,23.1,33.9,68.1,260.9,7.7,1.8,0.7,97.8,1.4,3.7,2.6,0.1,16.8
14,21681,Justin Herbert,LAC,QB,1,LV,21.0,31.6,66.5,235.1,7.4,1.5,0.6,95.2,4.4,18.0,4.1,0.2,16.8
15,23235,Jayden Daniels,WAS,QB,1,TB,19.8,31.6,62.7,219.2,6.9,1.1,0.8,80.1,6.9,38.0,5.5,0.3,16.8
16,9038,Matthew Stafford,LA,QB,1,DET,22.3,34.2,65.2,264.1,7.7,1.7,0.8,95.7,1.3,3.9,3.0,0.1,16.6
17,18055,Dak Prescott,DAL,QB,1,CLE,23.1,34.3,67.3,246.6,7.2,1.6,0.7,96.1,2.8,12.4,4.4,0.1,16.3
18,14895,Geno Smith,SEA,QB,1,DEN,21.3,31.6,67.4,237.4,7.5,1.6,0.8,95.4,3.2,12.8,4.0,0.1,15.8
19,19790,Baker Mayfield,TB,QB,1,WAS,20.7,31.2,66.3,234.6,7.5,1.6,0.7,98.2,3.2,11.2,3.5,0.1,15.7
20,18857,Deshaun Watson,CLE,QB,1,DAL,19.5,30.2,64.6,216.6,7.2,1.3,0.8,85.0,5.4,25.1,4.6,0.2,15.6
21,23241,Brock Purdy,SF,QB,1,NYJ,19.8,30.2,65.6,236.5,7.8,1.6,0.7,98.8,2.5,8.7,3.5,0.1,15.5
22,14252,Kirk Cousins,ATL,QB,1,PIT,21.5,32.5,66.2,243.8,7.5,1.5,0.7,99.0,1.8,5.8,3.2,0.1,15.3
23,2593,Aaron Rodgers,NYJ,QB,1,SF,21.6,33.4,64.7,234.2,7.0,1.5,0.5,107.4,2.1,7.6,3.6,0.1,15.3
24,20841,Daniel Jones,NYG,QB,1,MIN,21.0,31.2,67.3,210.2,6.7,1.1,0.7,84.1,5.6,27.5,4.9,0.2,15.0
25,23270,Will Levis,TEN,QB,1,CHI,20.3,32.9,61.7,227.7,6.9,1.3,0.7,78.8,3.4,12.5,3.7,0.1,14.4
26,25069,Bo Nix,DEN,QB,1,SEA,18.8,29.9,62.9,199.8,6.7,1.1,0.7,79.9,4.5,19.1,4.2,0.2,13.7
27,19812,Sam Darnold,MIN,QB,1,NYG,18.5,27.8,66.5,212.2,7.6,1.2,0.8,84.2,3.2,11.9,3.7,0.2,13.7
28,16311,Derek Carr,NO,QB,1,CAR,21.2,31.9,66.5,227.5,7.1,1.4,0.7,83.8,1.5,4.3,2.9,0.0,13.5
29,14536,Russell Wilson,PIT,QB,1,ATL,18.1,28.1,64.4,193.6,6.9,1.2,0.6,81.5,4.2,19.0,4.5,0.1,13.4
30,20880,Gardner Minshew II,LV,QB,1,LAC,19.4,30.3,64.0,212.8,7.0,1.2,0.7,81.7,2.7,9.1,3.4,0.1,13.0
31,23132,Bryce Young,CAR,QB,1,NO,19.6,31.4,62.4,207.0,6.6,1.1,0.7,81.0,2.6,14.0,5.4,0.1,12.9
32,18018,Jacoby Brissett,NE,QB,1,CIN,13.6,15.2,89.5,135.9,8.9,0.6,0.4,126.7,1.6,8.2,5.1,0.1,8.1
33,24958,Drake Maye,NE,QB,1,CIN,8.3,16.0,51.9,120.8,7.5,0.5,0.5,75.3,2.2,11.0,5.0,0.1,7.3
34,19238,Taysom Hill,NO,QB,1,CAR,0.0,0.0,,0.0,,0.0,0.0,0.0,3.7,19.6,5.3,0.2,6.7
35,22492,Justin Fields,PIT,QB,1,ATL,1.2,1.4,85.7,19.1,13.6,0.0,0.0,118.8,0.4,1.9,4.7,0.0,0.9
36,24350,Aidan O'Connell,LV,QB,1,LAC,1.9,2.0,95.0,11.2,5.6,0.1,0.0,89.6,0.1,0.0,0.0,0.0,0.8
37,23185,Sam Howell,SEA,QB,1,DEN,1.6,1.7,94.1,9.6,5.6,0.1,0.0,87.5,0.1,0.4,4.0,0.0,0.8
38,611,Joe Flacco,IND,QB,1,HOU,0.8,1.4,57.1,9.3,6.6,0.1,0.0,104.2,0.1,0.1,1.0,0.0,0.8
39,24225,Nathan Rourke,ATL,QB,1,PIT,0.6,0.9,,7.3,,0.1,0.0,95.8,0.1,0.6,,0.0,0.6
40,21820,Jacob Eason,GB,QB,1,PHI,0.7,1.2,,8.1,,0.1,0.1,100.0,0.1,0.4,,0.0,0.5
41,20859,Drew Lock,NYG,QB,1,MIN,1.3,1.6,81.2,10.4,6.5,0.0,0.0,64.6,0.1,0.4,4.0,0.0,0.5
42,20953,Easton Stick,LAC,QB,1,LV,1.0,1.3,76.9,8.0,6.2,0.0,0.0,100.0,0.1,0.3,3.0,0.0,0.3
