rank,id,player,team,pos,game.week,opp,rush_att,rush_yds,rush_yds_per_att,rush_td,rec_tgt,rec,rec_yds,rec_td,fum,fum_lost,fpts_ppr
1,18877,Christian McCaffrey,SF,RB,1,NYJ,16.0,77.7,4.9,0.7,5.3,4.1,33.2,0.3,0.1,0.1,21.0
2,22526,Breece Hall,NYJ,RB,1,SF,15.1,69.5,4.6,0.5,4.6,3.6,28.9,0.2,0.1,0.1,17.4
3,23189,Bijan Robinson,ATL,RB,1,PIT,15.0,68.1,4.5,0.5,4.9,3.5,28.3,0.2,0.1,0.1,17.1
4,23200,Jahmyr Gibbs,DET,RB,1,LA,12.3,59.4,4.8,0.5,4.3,3.4,24.0,0.2,0.1,0.1,15.7
5,21682,Jonathan Taylor,IND,RB,1,HOU,16.7,76.5,4.6,0.6,2.8,2.0,15.3,0.1,0.1,0.1,15.2
6,19766,Saquon Barkley,PHI,RB,1,GB,16.2,71.9,4.4,0.5,3.4,2.7,18.3,0.1,0.1,0.1,15.1
7,23212,Kyren Williams,LA,RB,1,DET,15.0,68.8,4.6,0.6,3.4,2.3,17.0,0.1,0.1,0.1,14.9
8,21696,Travis Etienne Jr.,JAC,RB,1,MIA,14.5,60.9,4.2,0.5,3.8,2.8,21.9,0.1,0.1,0.1,14.5
9,23371,Isiah Pacheco,KC,RB,1,BAL,14.3,65.4,4.6,0.5,3.4,2.6,17.7,0.1,0.1,0.1,14.3
10,24179,De'Von Achane,MIA,RB,1,JAC,11.1,57.9,5.2,0.4,3.7,2.8,21.5,0.2,0.1,0.1,14.1
11,18878,Alvin Kamara,NO,RB,1,CAR,12.6,48.7,3.9,0.3,5.2,4.2,27.9,0.1,0.1,0.1,14.1
12,17959,Derrick Henry,BAL,RB,1,KC,16.1,71.9,4.5,0.7,1.6,1.2,9.9,0.1,0.1,0.1,14.0
13,23247,James Cook,BUF,RB,1,ARI,13.1,60.5,4.6,0.3,3.7,2.8,22.7,0.2,0.1,0.1,13.9
14,23217,Rachaad White,TB,RB,1,WAS,14.7,57.1,3.9,0.4,3.8,3.0,23.1,0.1,0.1,0.1,13.8
15,20824,Josh Jacobs,GB,RB,1,PHI,14.5,62.8,4.3,0.5,3.3,2.3,17.8,0.1,0.1,0.1,13.8
16,18858,Joe Mixon,HOU,RB,1,IND,14.3,60.1,4.2,0.5,3.1,2.3,17.2,0.1,0.1,0.1,13.4
17,23214,Kenneth Walker III,SEA,RB,1,DEN,14.8,65.7,4.4,0.5,2.5,1.8,13.4,0.1,0.1,0.1,13.1
18,18983,James Conner,ARI,RB,1,BUF,12.9,58.4,4.5,0.5,3.2,2.2,15.3,0.1,0.1,0.1,13.0
19,19045,Aaron Jones,MIN,RB,1,NYG,12.3,54.9,4.5,0.4,3.4,2.3,17.4,0.1,0.1,0.1,12.3
20,20882,David Montgomery,DET,RB,1,LA,12.1,57.3,4.7,0.6,1.8,1.3,9.4,0.1,0.1,0.1,12.0
21,21684,D'Andre Swift,CHI,RB,1,TEN,11.1,49.7,4.5,0.4,3.5,2.4,17.0,0.1,0.1,0.1,11.9
22,21768,Najee Harris,PIT,RB,1,ATL,14.0,59.7,4.3,0.4,2.3,1.7,10.6,0.1,0.1,0.1,11.5
23,22558,Javonte Williams,DEN,RB,1,SEA,12.8,52.3,4.1,0.4,2.8,2.1,13.3,0.1,0.1,0.1,11.5
24,22539,Zamir White,LV,RB,1,LAC,13.7,56.2,4.1,0.4,2.1,1.7,11.7,0.1,0.1,0.1,11.3
25,22546,Rhamondre Stevenson,NE,RB,1,CIN,13.3,55.3,4.2,0.3,2.7,2.0,14.2,0.1,0.1,0.1,11.2
26,17217,Raheem Mostert,MIA,RB,1,JAC,10.6,50.4,4.8,0.5,1.8,1.5,10.4,0.1,0.1,0.1,11.0
27,20941,Devin Singletary,NYG,RB,1,MIN,13.2,54.4,4.1,0.3,2.7,2.0,12.8,0.1,0.1,0.1,10.9
28,20912,Tony PolLAd,TEN,RB,1,CHI,11.7,49.7,4.2,0.3,3.0,2.1,14.7,0.1,0.1,0.1,10.7
29,21784,Zack Moss,CIN,RB,1,NE,11.0,48.0,4.4,0.4,2.0,1.7,12.0,0.1,0.0,0.0,10.7
30,23205,Jerome Ford,CLE,RB,1,DAL,12.4,47.0,3.8,0.3,3.2,2.2,15.6,0.1,0.1,0.1,10.7
31,21691,Chuba Hubbard,CAR,RB,1,NO,12.7,50.6,4.0,0.3,2.1,1.7,11.7,0.1,0.1,0.1,10.1
32,23479,Jaylen Warren,PIT,RB,1,ATL,9.0,40.0,4.4,0.2,3.1,2.6,17.9,0.1,0.1,0.1,10.0
33,24123,Tyjae Spears,TEN,RB,1,CHI,9.0,37.8,4.2,0.3,3.0,2.3,17.0,0.1,0.1,0.1,10.0
34,19562,Austin Ekeler,WAS,RB,1,TB,8.0,30.3,3.8,0.2,4.1,3.0,22.8,0.1,0.1,0.1,9.9
35,24374,Chase Brown,CIN,RB,1,NE,8.9,37.6,4.2,0.3,2.8,2.1,16.3,0.1,0.0,0.0,9.9
36,17923,Ezekiel Elliott,DAL,RB,1,CLE,10.7,40.5,3.8,0.4,2.3,1.6,11.5,0.1,0.1,0.1,9.6
37,23190,Brian Robinson Jr.,WAS,RB,1,TB,10.5,45.2,4.3,0.3,2.0,1.4,11.3,0.1,0.1,0.1,9.2
38,20239,Gus Edwards,LAC,RB,1,LV,11.0,49.6,4.5,0.4,0.9,0.8,5.6,0.0,0.1,0.1,8.5
39,23173,Zach Charbonnet,SEA,RB,1,DEN,6.6,28.3,4.3,0.2,2.3,1.8,12.1,0.1,0.1,0.1,7.4
40,21852,Ty Chandler,MIN,RB,1,NYG,7.5,31.0,4.1,0.2,1.8,1.2,8.5,0.1,0.0,0.0,7.0
41,21861,Antonio Gibson,NE,RB,1,CIN,5.9,23.3,3.9,0.1,3.0,2.0,15.0,0.1,0.1,0.1,6.8
42,21952,Rico Dowdle,DAL,RB,1,CLE,7.7,29.4,3.8,0.2,1.6,1.1,8.5,0.1,0.0,0.0,6.7
43,24116,Blake Corum,LA,RB,1,DET,7.7,30.7,4.0,0.2,1.1,1.0,7.8,0.1,0.1,0.1,6.5
44,24311,Jaleel McLaughlin,DEN,RB,1,SEA,5.7,25.5,4.5,0.1,2.2,1.5,10.1,0.1,0.0,0.0,6.3
45,23250,Tyler Allgeier,ATL,RB,1,PIT,8.0,30.0,3.8,0.2,1.1,0.9,7.5,0.1,0.1,0.1,6.2
46,21674,J.K. Dobbins,LAC,RB,1,LV,7.1,28.6,4.0,0.2,1.0,0.9,6.2,0.1,0.1,0.1,6.0
47,22563,Khalil Herbert,CHI,RB,1,TEN,7.8,32.3,4.1,0.2,0.7,0.7,5.1,0.0,0.0,0.0,5.6
48,24980,Ray Davis,BUF,RB,1,ARI,4.9,22.3,4.6,0.2,1.2,0.9,7.0,0.1,0.0,0.0,5.6
49,24292,Trey Benson,ARI,RB,1,BUF,6.7,26.8,4.0,0.2,1.0,1.0,6.4,0.0,0.0,0.0,5.5
50,20933,Miles Sanders,CAR,RB,1,NO,6.0,23.8,4.0,0.2,1.1,0.8,5.7,0.0,0.1,0.1,4.8
51,20868,Alexander Mattison,LV,RB,1,LAC,6.2,23.1,3.7,0.1,1.2,0.9,5.3,0.0,0.0,0.0,4.3
52,18957,D'Onta Foreman,CLE,RB,1,DAL,4.6,22.5,4.9,0.2,0.7,0.4,3.5,0.0,0.0,0.0,4.2
53,24967,Bucky Irving,TB,RB,1,WAS,4.9,20.8,4.2,0.1,1.2,0.8,6.7,0.0,0.1,0.1,4.0
54,20802,Justice Hill,BAL,RB,1,KC,2.6,12.1,4.7,0.1,1.7,1.2,8.4,0.0,0.0,0.0,3.9
55,23223,Dameon Pierce,HOU,RB,1,IND,5.9,22.0,3.7,0.1,0.6,0.6,3.6,0.0,0.0,0.0,3.8
56,21769,Clyde Edwards-Helaire,KC,RB,1,BAL,3.6,15.1,4.2,0.1,1.4,0.9,7.4,0.0,0.0,0.0,3.8
57,24372,Roschon Johnson,CHI,RB,1,TEN,3.5,15.2,4.3,0.1,1.4,0.9,6.8,0.0,0.0,0.0,3.7
58,18995,Jamaal Williams,NO,RB,1,CAR,5.7,19.8,3.5,0.1,0.8,0.7,4.0,0.0,0.0,0.0,3.7
59,22562,Kenneth Gainwell,PHI,RB,1,GB,2.6,12.6,4.8,0.1,1.4,0.9,6.6,0.0,0.0,0.0,3.4
60,25092,Tyrone Tracy Jr.,NYG,RB,1,MIN,3.5,14.0,4.0,0.1,1.2,0.8,5.9,0.0,0.0,0.0,3.4
61,24238,Kendre Miller,NO,RB,1,CAR,3.0,14.7,4.9,0.1,1.1,0.7,5.8,0.0,0.0,0.0,3.4
62,25079,Kimani Vidal,LAC,RB,1,LV,3.1,16.9,5.5,0.1,0.7,0.6,4.1,0.0,0.0,0.0,3.3
63,23211,MarShawn Lloyd,GB,RB,1,PHI,4.1,15.8,3.9,0.1,0.7,0.6,4.9,0.0,0.0,0.0,3.3
64,24934,Braelon Allen,NYJ,RB,1,SF,4.3,18.2,4.2,0.1,0.7,0.4,3.5,0.0,0.0,0.0,3.2
65,23193,Tank Bigsby,JAC,RB,1,MIA,4.3,17.0,4.0,0.1,0.6,0.5,3.3,0.0,0.0,0.0,3.1
66,22535,Elijah Mitchell,SF,RB,1,NYJ,4.5,17.1,3.8,0.1,0.6,0.4,3.0,0.0,0.0,0.0,3.0
67,21802,AJ Dillon,GB,RB,1,PHI,3.8,16.1,4.2,0.1,0.7,0.4,3.5,0.0,0.0,0.0,3.0
68,25102,Will Shipley,PHI,RB,1,GB,2.9,12.5,4.3,0.1,1.0,0.6,4.9,0.0,0.0,0.0,2.9
69,23195,Eric Gray,NYG,RB,1,MIN,3.4,12.9,3.8,0.1,0.8,0.6,4.3,0.0,0.0,0.0,2.9
70,20837,Ty Johnson,BUF,RB,1,ARI,2.3,10.3,4.5,0.1,1.2,0.7,5.8,0.0,0.0,0.0,2.9
71,24923,Jaylen Wright,MIA,RB,1,JAC,2.8,13.9,5.0,0.1,0.7,0.5,4.0,0.0,0.0,0.0,2.9
72,18993,Samaje Perine,DEN,RB,1,SEA,1.5,7.1,4.8,0.0,1.7,1.1,9.0,0.0,0.0,0.0,2.7
73,24971,Audric Estime,DEN,RB,1,SEA,2.9,13.6,4.7,0.1,0.7,0.4,3.2,0.0,0.0,0.0,2.7
74,15150,Cordarrelle Patterson,PIT,RB,1,ATL,1.8,8.5,4.8,0.1,1.3,0.7,4.8,0.0,0.0,0.0,2.6
75,25045,Rasheen Ali,BAL,RB,1,KC,2.2,10.8,4.9,0.1,0.8,0.5,3.7,0.0,0.0,0.0,2.5
76,25054,Dylan Laube,LV,RB,1,LAC,1.9,7.8,4.1,0.1,1.3,0.6,4.6,0.0,0.0,0.0,2.4
77,25063,Isaac Guerendo,SF,RB,1,NYJ,2.5,10.2,4.1,0.1,0.5,0.4,3.4,0.0,0.0,0.0,2.4
78,21801,Trey Sermon,IND,RB,1,HOU,2.1,10.3,4.9,0.1,0.7,0.4,3.0,0.0,0.0,0.0,2.3
79,22553,Michael Carter,ARI,RB,1,BUF,1.1,6.0,5.5,0.1,0.9,0.5,3.6,0.0,0.0,0.0,2.1
80,24609,Emari Demercado,ARI,RB,1,BUF,1.7,7.0,4.1,0.0,0.8,0.8,5.0,0.0,0.0,0.0,2.0
81,24204,Evan Hull,IND,RB,1,HOU,2.5,8.8,3.5,0.0,0.9,0.6,4.9,0.0,0.0,0.0,2.0
82,24365,Deneric Prince,KC,RB,1,BAL,2.2,8.1,3.7,0.0,0.5,0.3,2.2,0.1,0.0,0.0,1.9
83,23218,Pierre Strong Jr.,CLE,RB,1,DAL,1.6,7.9,4.8,0.1,0.6,0.3,2.3,0.0,0.0,0.0,1.9
