rank,id,player,team,pos,game.week,opp,rec_tgt,rec,catch_rate,rec_yds,rec_td,rec_yds_per_tgt,rec_yds_per_rec,rush_att,rush_yds,rush_yds_per_att,rush_td,fum,fum_lost,fpts
1,15048,Travis Kelce,KC,TE,1,BAL,7.3,5.7,78.1,60.7,0.5,8.3,10.6,0.1,0.3,3.0,0.0,0.1,0.1,8.9
2,23141,Sam LaPorta,DET,TE,1,LA,7.2,5.6,77.8,58.6,0.5,8.1,10.5,0.0,0.0,,0.0,0.0,0.0,8.9
3,24102,Dalton Kincaid,BUF,TE,1,ARI,6.4,5.3,82.8,52.3,0.4,8.2,9.9,0.0,0.0,,0.0,0.0,0.0,7.6
4,19803,Mark Andrews,BAL,TE,1,KC,6.0,4.4,73.3,51.5,0.4,8.6,11.7,0.0,0.0,,0.0,0.1,0.1,7.3
5,22508,Kyle Pitts,ATL,TE,1,PIT,6.5,4.5,69.2,54.1,0.3,8.3,12.0,0.0,0.0,,0.0,0.0,0.0,7.2
6,23251,Trey McBride,ARI,TE,1,BUF,7.2,5.3,73.6,53.9,0.3,7.5,10.2,0.0,0.0,,0.0,0.1,0.1,7.0
7,19063,George Kittle,SF,TE,1,NYJ,5.3,3.9,73.6,50.9,0.3,9.6,13.1,0.0,0.1,5.0,0.0,0.0,0.0,6.9
8,18912,Evan Engram,JAC,TE,1,MIA,6.4,5.2,81.2,48.2,0.3,7.5,9.3,0.0,0.0,,0.0,0.1,0.1,6.4
9,23138,Jake Ferguson,DAL,TE,1,CLE,6.2,4.1,66.1,42.2,0.3,6.8,10.3,0.0,0.0,,0.0,0.0,0.0,6.0
10,19863,Dallas Goedert,PHI,TE,1,GB,5.3,4.0,75.5,41.3,0.3,7.8,10.3,0.0,0.0,,0.0,0.0,0.0,5.9
11,18876,David Njoku,CLE,TE,1,DAL,5.9,4.0,67.8,42.9,0.3,7.3,10.7,0.0,0.0,,0.0,0.1,0.1,5.9
12,19920,Dalton Schultz,HOU,TE,1,IND,4.9,3.7,75.5,37.3,0.3,7.6,10.1,0.0,0.0,,0.0,0.0,0.0,5.5
