rank,id,player,team,pos,game.week,opp,rec_tgt,rec,catch_rate,rec_yds,rec_td,rec_yds_per_tgt,rec_yds_per_rec,rush_att,rush_yds,rush_yds_per_att,rush_td,fum,fum_lost,fpts_ppr
1,18030,Chris Moore,ARI,WR,1,BUF,1.7,0.6,35.3,8.8,0.1,5.2,14.7,0.1,0.4,4.0,0.0,0.0,0.0,2.1
2,21078,Jeff Smith,ARI,WR,1,BUF,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,0.0
3,24297,Daniel Arias,ARI,WR,1,BUF,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
4,25338,Tejhaun Palmer,ARI,WR,1,BUF,1.1,0.5,45.5,5.4,0.0,4.9,10.8,0.0,0.0,,0.0,0.0,0.0,1.0
5,23838,Daylen Baldwin,ARI,WR,1,BUF,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
6,21071,Greg Dortch,ARI,WR,1,BUF,5.0,2.6,52.0,26.6,0.1,5.3,10.2,0.2,1.1,5.5,0.0,0.0,0.0,6.0
7,18926,Zay Jones,ARI,WR,1,BUF,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
8,22234,Andre Baccellia,ARI,WR,1,BUF,0.4,0.0,0.0,3.0,0.0,7.5,,0.0,0.0,,0.0,0.0,0.0,0.3
9,22345,Dan Chisena,ARI,WR,1,BUF,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
10,24974,Marvin Harrison Jr.,ARI,WR,1,BUF,7.9,5.2,65.8,67.4,0.4,8.5,13.0,0.1,0.2,2.0,0.0,0.0,0.0,14.4
11,24173,Michael Wilson,ARI,WR,1,BUF,5.1,2.9,56.9,37.5,0.2,7.4,12.9,0.1,0.5,5.0,0.0,0.0,0.0,7.9
12,19172,Zach Pascal,ARI,WR,1,BUF,1.1,0.4,36.4,5.1,0.0,4.6,12.7,0.0,0.1,5.0,0.0,0.0,0.0,0.9
13,25032,Xavier Weaver,ARI,WR,1,BUF,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
14,25304,Casey Washington,ATL,WR,1,PIT,1.0,0.8,80.0,9.0,0.1,9.0,11.2,0.0,0.0,,0.0,0.0,0.0,2.3
15,24709,Jesse Matthews,ATL,WR,1,PIT,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
16,20679,KhaDarel Hodge,ATL,WR,1,PIT,1.1,0.8,72.7,10.6,0.1,9.6,13.2,0.0,0.0,,0.0,0.0,0.0,2.5
17,22626,Rondale Moore,ATL,WR,1,PIT,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
18,23838,Daylen Baldwin,ATL,WR,1,PIT,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,0.0
19,18103,Jakeem Grant,ATL,WR,1,PIT,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
20,19865,James Washington,ATL,WR,1,PIT,,0.7,,9.5,0.1,,,0.0,0.0,,0.0,,,2.0
21,24875,Dylan Drummond,ATL,WR,1,PIT,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
22,24076,Josh Ali,ATL,WR,1,PIT,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
23,21961,Darnell Mooney,ATL,WR,1,PIT,5.3,2.8,52.8,36.8,0.2,6.9,13.1,0.1,0.4,4.0,0.0,0.0,0.0,7.7
24,19961,Ray-Ray McCloud III,ATL,WR,1,PIT,3.0,1.6,53.3,16.6,0.1,5.5,10.4,0.4,2.1,5.2,0.0,0.0,0.0,4.1
25,23151,Drake London,ATL,WR,1,PIT,8.5,5.4,63.5,69.1,0.4,8.1,12.8,0.1,0.2,4.0,0.0,0.1,0.1,14.5
26,21862,Austin Mack,ATL,WR,1,PIT,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,0.0
27,22488,Chris Blair,ATL,WR,1,PIT,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
28,25488,OJ Hiliare,ATL,WR,1,PIT,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
29,21163,Deonte Harty,BAL,WR,1,KC,1.2,0.5,41.7,6.1,0.0,5.1,12.2,0.1,0.6,6.0,0.0,0.0,0.0,1.2
30,25593,Isaiah Washington,BAL,WR,1,KC,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
31,19864,Anthony Miller,BAL,WR,1,KC,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
32,20006,Russell Gage,BAL,WR,1,KC,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
33,16781,Nelson Agholor,BAL,WR,1,KC,2.4,1.5,62.5,18.7,0.1,7.8,12.5,0.1,0.1,1.0,0.0,0.0,0.0,4.0
34,25455,Dayton Wade,BAL,WR,1,KC,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
35,22623,Rashod Bateman,BAL,WR,1,KC,4.3,2.7,62.8,34.1,0.2,7.9,12.6,0.1,0.3,3.0,0.0,0.0,0.0,7.3
36,24978,Devontez Walker,BAL,WR,1,KC,1.8,1.0,55.6,13.0,0.1,7.2,13.0,0.0,0.1,5.0,0.0,0.0,0.0,2.9
37,22604,Tylan Wallace,BAL,WR,1,KC,0.6,0.3,50.0,3.9,0.0,6.5,13.0,0.0,0.1,5.0,0.0,0.0,0.0,0.7
38,23120,Zay Flowers,BAL,WR,1,KC,6.9,4.8,69.6,56.5,0.3,8.2,11.8,0.4,2.7,6.8,0.0,0.1,0.1,12.3
39,24703,Sean Ryan,BAL,WR,1,KC,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
40,20071,Keith Kirkwood,BAL,WR,1,KC,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
41,24279,Malik Cunningham,BAL,WR,1,KC,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
42,24511,Tyrell Shavers,BUF,WR,1,ARI,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
43,24221,Justin Shorter,BUF,WR,1,ARI,0.1,0.0,0.0,1.7,0.0,17.0,,0.0,0.0,,0.0,0.0,0.0,0.2
44,24853,Bryan Thompson,BUF,WR,1,ARI,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,0.0
45,17141,Damiere Byrd,BUF,WR,1,ARI,0.4,0.2,50.0,4.1,0.0,10.2,20.5,0.0,0.1,5.0,0.0,0.0,0.0,0.6
46,19976,Marquez Valdes-Scantling,BUF,WR,1,ARI,2.3,0.8,34.8,12.6,0.1,5.5,15.7,0.0,0.1,5.0,0.0,0.0,0.0,2.7
47,21752,Chase Claypool,BUF,WR,1,ARI,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,0.0
48,25459,Xavier Johnson,BUF,WR,1,ARI,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
49,19980,Deon Cain,BUF,WR,1,ARI,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
50,19023,Mack Hollins,BUF,WR,1,ARI,2.0,1.0,50.0,14.2,0.1,7.1,14.2,0.0,0.0,,0.0,0.0,0.0,3.0
51,25396,Lawrence Keys,BUF,WR,1,ARI,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,0.0
52,23227,Khalil Shakir,BUF,WR,1,ARI,5.0,3.3,66.0,44.1,0.3,8.8,13.4,0.1,0.4,4.0,0.0,0.0,0.0,9.6
53,18928,Curtis Samuel,BUF,WR,1,ARI,5.5,3.7,67.3,40.3,0.3,7.3,10.9,0.7,4.8,6.9,0.1,0.0,0.0,10.6
54,24964,Keon Coleman,BUF,WR,1,ARI,5.6,3.4,60.7,44.4,0.3,7.9,13.1,0.1,0.4,4.0,0.0,0.0,0.0,9.7
55,21759,KJ Hamler,BUF,WR,1,ARI,1.2,0.4,33.3,6.4,0.0,5.3,16.0,0.1,0.2,4.0,0.0,0.0,0.0,1.1
56,20820,Andy Isabella,BUF,WR,1,ARI,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
57,19120,David Moore,CAR,WR,1,NO,0.9,0.3,33.3,5.2,0.0,5.8,17.3,0.1,0.2,4.0,0.0,0.0,0.0,0.8
58,22595,Ihmir Smith-Marsette,CAR,WR,1,NO,1.3,0.4,30.8,2.9,0.0,2.2,7.2,0.1,2.2,22.0,0.0,0.0,0.0,0.9
59,24344,Daewood Davis,CAR,WR,1,NO,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,0.0
60,25122,Jalen Coker,CAR,WR,1,NO,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
61,24187,Devin Carter,CAR,WR,1,NO,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
62,21077,Diontae Johnson,CAR,WR,1,NO,8.1,4.5,55.6,54.6,0.3,6.7,12.1,0.1,0.5,5.0,0.0,0.1,0.1,11.6
63,25136,Tayvion Robinson,CAR,WR,1,NO,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,0.0
64,22620,Mike Strachan,CAR,WR,1,NO,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
65,20529,Cam Sims,CAR,WR,1,NO,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,0.0
66,22685,Terrace Marshall Jr.,CAR,WR,1,NO,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
67,23746,Deven Thompkins,CAR,WR,1,NO,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,0.0
68,25364,Sam Pinckney,CAR,WR,1,NO,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
69,25003,Xavier Legette,CAR,WR,1,NO,2.7,2.0,74.1,25.8,0.1,9.6,12.9,0.1,1.0,10.0,0.0,0.0,0.0,5.3
70,15534,Adam Thielen,CAR,WR,1,NO,5.8,4.1,70.7,41.6,0.2,7.2,10.1,0.0,0.1,5.0,0.0,0.1,0.1,9.3
71,23161,Jonathan Mingo,CAR,WR,1,NO,4.0,2.0,50.0,21.6,0.1,5.4,10.8,0.1,0.2,4.0,0.0,0.0,0.0,4.8
72,19854,Dante Pettis,CHI,WR,1,TEN,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
73,21960,Freddie Swain,CHI,WR,1,TEN,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
74,21730,Collin Johnson,CHI,WR,1,TEN,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
75,25761,Peter Leblanc,CHI,WR,1,TEN,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
76,25773,John Jackson,CHI,WR,1,TEN,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
77,17218,DeAndre Carter,CHI,WR,1,TEN,0.1,0.0,0.0,0.3,0.0,3.0,,0.0,0.1,5.0,0.0,0.0,0.0,0.0
78,19844,DJ Moore,CHI,WR,1,TEN,7.7,4.8,62.3,65.6,0.4,8.5,13.7,0.1,0.9,9.0,0.0,0.1,0.1,13.7
79,21295,Nsimba Webster,CHI,WR,1,TEN,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
80,23481,Velus Jones Jr.,CHI,WR,1,TEN,0.4,0.2,50.0,2.2,0.0,5.5,11.0,0.1,2.0,20.0,0.0,0.0,0.0,0.6
81,24977,Rome Odunze,CHI,WR,1,TEN,6.5,3.8,58.5,50.9,0.3,7.8,13.4,0.1,0.5,5.0,0.0,0.0,0.0,10.7
82,24220,Tyler Scott,CHI,WR,1,TEN,1.3,0.6,46.2,6.5,0.0,5.0,10.8,0.2,1.1,5.5,0.0,0.0,0.0,1.4
83,15076,Keenan Allen,CHI,WR,1,TEN,7.3,5.0,68.5,57.8,0.4,7.9,11.6,0.1,0.4,4.0,0.0,0.1,0.1,13.0
84,25504,Cole Burgess,CIN,WR,1,NE,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
85,21056,Hakeem Butler,CIN,WR,1,NE,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
86,24749,Shedrick Jackson,CIN,WR,1,NE,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
87,24122,Charlie Jones,CIN,WR,1,NE,1.1,0.4,36.4,5.1,0.0,4.6,12.7,0.0,0.0,,0.0,0.0,0.0,0.9
88,24119,Andrei Iosivas,CIN,WR,1,NE,3.3,1.9,57.6,23.1,0.2,7.0,12.2,0.1,0.2,4.0,0.0,0.0,0.0,5.4
89,25764,Tre Mosley,CIN,WR,1,NE,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,0.0
90,21263,Trenton Irwin,CIN,WR,1,NE,1.5,0.8,53.3,11.2,0.1,7.5,14.0,0.0,0.1,5.0,0.0,0.0,0.0,2.5
91,23996,Kendric Pryor,CIN,WR,1,NE,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
92,21690,Tee Higgins,CIN,WR,1,NE,7.5,4.5,60.0,61.8,0.4,8.2,13.7,0.1,0.2,4.0,0.0,0.1,0.1,12.9
93,23909,Kwamie Lassiter II,CIN,WR,1,NE,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
94,22564,Ja'Marr Chase,CIN,WR,1,NE,9.9,6.4,64.6,81.6,0.6,8.2,12.7,0.2,1.0,5.0,0.0,0.1,0.1,18.1
95,23158,Jermaine Burton,CIN,WR,1,NE,2.7,1.6,59.3,20.1,0.1,7.4,12.6,0.0,0.1,5.0,0.0,0.0,0.0,4.2
96,16765,Amari Cooper,CLE,WR,1,DAL,7.5,4.3,57.3,65.3,0.4,8.7,15.2,0.0,0.1,5.0,0.0,0.1,0.1,13.0
97,22635,Jalen Camp,CLE,WR,1,DAL,,0.1,,1.1,0.0,,,0.0,0.0,,0.0,,,0.2
98,24348,Cedric Tillman,CLE,WR,1,DAL,1.8,1.1,61.1,14.4,0.1,8.0,13.1,0.1,0.2,4.0,0.0,0.0,0.0,3.2
99,23148,David Bell,CLE,WR,1,DAL,0.9,0.5,55.6,6.0,0.0,6.7,12.0,0.0,0.0,,0.0,0.0,0.0,1.1
100,23468,Michael Woods II,CLE,WR,1,DAL,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
101,24984,Jamari Thrash,CLE,WR,1,DAL,0.9,0.4,44.4,4.4,0.0,4.9,11.0,0.0,0.1,5.0,0.0,0.0,0.0,0.8
102,25587,Ahmarean Brown,CLE,WR,1,DAL,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
103,22596,Jaelon Darden,CLE,WR,1,DAL,0.0,0.0,,1.1,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.1
104,22592,Elijah Moore,CLE,WR,1,DAL,4.6,2.4,52.2,26.3,0.1,5.7,11.0,0.2,0.8,4.0,0.0,0.0,0.0,5.7
105,21692,Jerry Jeudy,CLE,WR,1,DAL,5.8,3.5,60.3,44.5,0.3,7.7,12.7,0.1,0.3,4.3,0.0,0.1,0.1,9.6
106,24420,Matt Landers,CLE,WR,1,DAL,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,0.0
107,21723,James Proche II,CLE,WR,1,DAL,0.1,0.1,100.0,1.0,0.0,10.0,10.0,0.0,0.0,,0.0,0.0,0.0,0.2
108,22597,Jalen Tolbert,DAL,WR,1,CLE,4.5,2.3,51.1,27.2,0.1,6.0,11.8,0.1,0.2,4.0,0.0,0.0,0.0,5.6
109,24068,KaVontae Turpin,DAL,WR,1,CLE,1.1,0.9,81.8,9.9,0.1,9.0,11.0,0.5,3.4,6.8,0.0,0.0,0.0,2.8
110,25515,Cam Johnson,DAL,WR,1,CLE,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
111,20373,Deontay Burnett,DAL,WR,1,CLE,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
112,25124,Ryan Flournoy,DAL,WR,1,CLE,1.1,0.7,63.6,8.1,0.0,7.4,11.6,0.0,0.0,,0.0,0.0,0.0,1.5
113,16568,Brandin Cooks,DAL,WR,1,CLE,5.5,3.2,58.2,39.2,0.3,7.1,12.2,0.2,1.5,7.5,0.0,0.0,0.0,9.1
114,21679,CeeDee Lamb,DAL,WR,1,CLE,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
115,25523,Corey Crooms,DAL,WR,1,CLE,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,0.0
116,22622,Racey McMath,DAL,WR,1,CLE,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
117,20789,Kelvin Harmon,DAL,WR,1,CLE,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
118,23467,Jalen Cropper,DAL,WR,1,CLE,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
119,24459,David Durden,DAL,WR,1,CLE,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
120,20838,Tyron Billy-Johnson,DAL,WR,1,CLE,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
121,24397,Jalen Brooks,DAL,WR,1,CLE,1.5,0.7,46.7,7.2,0.0,4.8,10.3,0.0,0.1,5.0,0.0,0.0,0.0,1.4
122,23763,Brandon Johnson,DEN,WR,1,SEA,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
