Player,Team,Pos,Games,Snap%,Att,DB,Cmp,Cmp%,Yds,YPA,YPC,aDOT,YAC,TD,INT,INT-6,Sack,Sack%,Rtg,PPR,PPR/G
Tom Brady,TB,QB,17,0.963,719,741,485,0.675,5316,7.4,11,7.5,5.5,43,12,2,22,0.03,102.1,386.7,22.75
Justin Herbert,LAC,QB,17,0.996,672,703,443,0.659,5014,7.5,11.3,7.3,5.6,38,15,3,31,0.044,97.7,383.8,22.57
Patrick Mahomes,KC,QB,17,0.974,658,686,436,0.663,4839,7.4,11.1,6.8,6.4,37,13,1,28,0.041,98.5,370.7,21.8
Josh Allen,BUF,QB,17,0.969,645,671,409,0.634,4407,6.8,10.8,8,4.5,36,15,0,26,0.039,92.3,411.6,24.21
Derek Carr,LV,QB,17,0.989,626,666,428,0.684,4814,7.7,11.2,7.6,5.7,23,14,2,40,0.06,94,271.4,15.96
Ben Roethlisberger,PIT,QB,16,0.991,605,643,390,0.645,3740,6.2,9.6,6.4,5.2,22,10,1,38,0.059,86.8,224.1,14.01
Trevor Lawrence,JAC,QB,17,0.994,602,634,359,0.596,3641,6,10.1,7.5,4.8,12,17,1,32,0.05,71.9,211.6,12.45
Matthew Stafford,LA,QB,17,0.979,601,631,404,0.672,4886,8.1,12.1,8.4,5.5,41,17,4,30,0.048,102.9,342.7,20.16
Dak Prescott,DAL,QB,16,0.965,596,626,410,0.688,4449,7.5,10.9,7.6,5.1,37,10,1,30,0.048,104.2,323.1,20.19
Kirk Cousins,MIN,QB,16,1,561,589,372,0.663,4221,7.5,11.3,7.6,5,33,7,0,28,0.048,103.1,307.3,19.21
Matt Ryan,ATL,QB,17,0.972,560,600,375,0.67,3968,7.1,10.6,7,4.8,20,12,2,40,0.067,90.4,232.9,13.7
Ryan Tannehill,TEN,QB,17,0.987,531,578,357,0.672,3738,7,10.5,7.1,5.2,21,14,0,47,0.081,89.6,280.5,16.5
Aaron Rodgers,GB,QB,16,0.934,531,561,366,0.689,4115,7.7,11.2,7.4,6.4,37,4,0,30,0.053,111.9,337.3,21.08
Mac Jones,NE,QB,17,0.963,521,549,352,0.676,3802,7.3,10.8,7.5,5.2,22,13,3,27,0.049,92.5,234,13.76
Joe Burrow,CIN,QB,16,0.964,520,570,366,0.704,4611,8.9,12.6,8,6.3,34,14,2,50,0.088,108.3,326.2,20.39
Carson Wentz,IND,QB,17,0.98,516,548,322,0.624,3563,6.9,11.1,7.5,5.3,27,7,1,32,0.058,94.6,261,15.35
Taylor Heinicke,WAS,QB,16,0.951,495,533,322,0.651,3441,7,10.7,7.4,5.6,20,15,1,38,0.071,86.1,236.6,14.79
Jared Goff,DET,QB,14,0.994,494,529,332,0.672,3245,6.6,9.8,6,5.6,19,8,1,35,0.066,91.5,193.2,13.8
Kyler Murray,ARI,QB,14,0.974,481,512,333,0.692,3787,7.9,11.4,7.5,5.7,24,10,1,31,0.061,100.6,309.8,22.13
Jimmy Garoppolo,SF,QB,15,0.948,441,470,301,0.683,3810,8.6,12.7,7,6.9,20,12,0,29,0.062,98.7,237.1,15.81
Jalen Hurts,PHI,QB,15,0.978,432,457,265,0.613,3144,7.3,11.9,8.3,5.7,16,9,1,25,0.055,87.2,308.8,20.58
Teddy Bridgewater,DEN,QB,14,0.911,426,457,285,0.669,3052,7.2,10.7,7.6,5,18,7,1,31,0.068,94.9,207.7,14.83
Baker Mayfield,CLE,QB,14,0.96,418,461,253,0.605,3010,7.2,11.9,8.2,5.8,17,13,0,43,0.093,83.1,188.8,13.49
Sam Darnold,CAR,QB,12,0.931,406,441,243,0.599,2526,6.2,10.4,6.8,5.9,9,13,1,35,0.079,71.9,168.2,14.02
Russell Wilson,SEA,QB,14,0.969,400,433,259,0.648,3113,7.8,12,9.5,5.5,25,6,0,33,0.076,103.1,246.8,17.63
Davis Mills,HOU,QB,13,0.93,394,425,263,0.668,2664,6.8,10.1,6.8,4.8,16,10,0,31,0.073,88.8,163,12.54
Tua Tagovailoa,MIA,QB,13,0.872,388,408,263,0.678,2653,6.8,10.1,6.7,5,16,10,1,20,0.049,90.1,188.9,14.53
Zach Wilson,NYJ,QB,13,0.942,383,427,213,0.556,2334,6.1,11,7,5.2,9,11,0,44,0.103,69.7,158.9,12.22
Lamar Jackson,BAL,QB,12,0.913,382,420,246,0.644,2882,7.5,11.7,9.1,4.9,16,13,1,38,0.09,87,249,20.75
Daniel Jones,NYG,QB,11,0.947,361,383,232,0.643,2428,6.7,10.5,6.5,5,10,7,0,22,0.057,84.8,168.5,15.32
Justin Fields,CHI,QB,12,0.84,270,306,159,0.589,1870,6.9,11.8,9.3,4.7,7,10,1,36,0.118,73.2,136.8,11.4
Andy Dalton,CHI,QB,8,0.752,236,254,149,0.631,1515,6.4,10.2,6.6,5.3,8,9,1,18,0.071,76.9,89.2,11.15
Jacoby Brissett,MIA,QB,10,0.537,225,244,141,0.627,1283,5.7,9.1,7,4.1,5,4,0,19,0.078,78.1,74.3,7.43
Trevor Siemian,NO,QB,6,0.871,188,197,108,0.574,1154,6.1,10.7,6.9,4.9,11,3,1,9,0.046,88.4,93.2,15.53
