Player,Team,Pos,Games,Att,Yds,YPA,TD,Fum,FumL,PPR,PPR/G,PPR/T
Jonathan Taylor,IND,RB,17,332,1811,5.5,18,4,2,373.1,21.95,1
Najee Harris,PIT,RB,17,307,1200,3.9,7,0,0,300.7,17.69,0.79
Joe Mixon,CIN,RB,16,291,1210,4.2,13,1,0,290.4,18.15,0.87
Antonio Gibson,WAS,RB,16,258,1037,4,7,6,4,227.1,14.19,0.76
Dalvin Cook,MIN,RB,13,249,1159,4.7,6,3,2,204.3,15.72,0.72
Alvin Kamara,NO,RB,13,240,898,3.7,4,0,0,234.7,18.05,0.82
Ezekiel Elliott,DAL,RB,17,237,1002,4.2,10,1,1,244.7,14.39,0.86
Nick Chubb,CLE,RB,14,228,1259,5.5,8,2,1,215.3,15.38,0.87
David Montgomery,CHI,RB,13,225,849,3.8,7,1,1,196,15.08,0.73
Derrick Henry,TEN,RB,8,219,937,4.3,10,1,0,191.3,23.91,0.81
Josh Jacobs,LV,RB,15,217,872,4,9,2,2,226,15.07,0.83
Sony Michel,LA,RB,17,208,845,4.1,4,1,1,146.3,8.61,0.64
Elijah Mitchell,SF,RB,11,207,963,4.7,5,0,0,165,15,0.73
Austin Ekeler,LAC,RB,16,206,911,4.4,12,4,3,339.8,21.24,1.23
Javonte Williams,DEN,RB,17,203,903,4.4,4,2,1,204.9,12.05,0.83
Melvin Gordon,DEN,RB,16,203,919,4.5,8,3,3,195.2,12.2,0.85
Damien Harris,NE,RB,15,203,922,4.5,15,2,2,209.4,13.96,0.95
James Conner,ARI,RB,15,202,752,3.7,15,2,0,256.8,17.12,1.07
Devin Singletary,BUF,RB,17,188,870,4.6,7,5,0,197.8,11.64,0.87
AJ Dillon,GB,RB,17,187,803,4.3,5,2,1,185.6,10.92,0.84
Leonard Fournette,TB,RB,14,180,811,4.5,8,1,0,255.5,18.25,1.03
Myles Gaskin,MIA,RB,17,173,612,3.5,3,2,1,173.6,10.21,0.78
Chuba Hubbard,CAR,RB,16,172,612,3.6,5,1,1,137.6,8.6,0.7
Aaron Jones,GB,RB,15,171,799,4.7,4,2,1,229,15.27,1.03
James Robinson,JAC,RB,14,164,767,4.7,8,4,2,173.9,12.42,0.89
Saquon Barkley,NYG,RB,13,162,593,3.7,2,2,1,148.6,11.43,0.73
Cordarrelle Patterson,ATL,RB,16,153,618,4,6,0,0,234.6,14.66,1.14
Jamaal Williams,DET,RB,13,153,601,3.9,3,1,0,119.8,9.22,0.67
D'Andre Swift,DET,RB,13,151,617,4.1,5,2,1,208.7,16.05,0.98
Darrell Henderson,LA,RB,12,149,688,4.6,5,0,0,163.4,13.62,0.92
Michael Carter,NYJ,RB,14,147,639,4.3,4,1,1,155.4,11.1,0.84
Devontae Booker,NYG,RB,16,145,593,4.1,2,0,0,144.1,9.01,0.78
Darrel Williams,KC,RB,17,144,558,3.9,6,0,0,196,11.53,1.03
Mike Davis,ATL,RB,17,138,503,3.6,3,4,3,138.2,8.13,0.76
