Justin Jefferson,MIN,WR,17,184,128,1819,14.2,8,367.7,21.63,2.79
Davante Adams,LV,WR,17,180,100,1516,15.2,14,335.5,19.74,3.26
Tyreek Hill,MIA,WR,17,170,119,1710,14.4,7,341.2,20.07,2.71
CeeDee Lamb,DAL,WR,17,156,107,1359,12.7,9,301.6,17.74,2.58
Stefon Diggs,BUF,WR,16,153,108,1429,13.2,11,316.6,19.79,2.9
Travis Kelce,KC,TE,17,152,110,1338,12.2,12,314.3,18.49,2.81
Diontae Johnson,PIT,WR,17,147,86,872,10.1,0,175.7,10.34,1.89
Garrett Wilson,NYJ,WR,17,147,83,1096,13.2,4,215,12.65,2.47
Amon-Ra St. Brown,DET,WR,16,146,106,1175,11.1,6,269,16.81,2.34
A.J. Brown,PHI,WR,17,146,88,1496,17,11,299.6,17.62,3.4
Chris Godwin,TB,WR,15,142,104,1019,9.8,3,220.4,14.69,2.06
DK Metcalf,SEA,WR,17,141,90,1048,11.6,6,226.8,13.34,2.52
Michael Pittman,IND,WR,16,141,99,925,9.3,4,216.5,13.53,2.12
DeVonta Smith,PHI,WR,17,136,95,1210,12.7,7,258,15.18,2.72
Ja'Marr Chase,CIN,WR,12,134,87,1046,12,9,242.4,20.2,2.63
Christian Kirk,JAC,WR,17,133,84,1093,13,8,240.4,14.14,2.7
Amari Cooper,CLE,WR,17,132,78,1160,14.9,9,247,14.53,3.17
Mike Evans,TB,WR,15,128,77,1134,14.7,6,226.4,15.09,2.94
Austin Ekeler,LAC,RB,17,128,107,708,6.6,5,371.3,21.84,1.19
Zay Jones,JAC,WR,16,121,82,834,10.2,5,197.2,12.33,2.29
Terry McLaurin,WAS,WR,17,120,77,1191,15.5,5,229,13.47,2.73
Chris Olave,NO,WR,15,119,72,1042,14.5,4,196.2,13.08,2.73
DJ Moore,CAR,WR,17,118,63,892,14.2,7,199.5,11.74,2.73
Drake London,ATL,WR,17,117,72,866,12,4,176.6,10.39,2.45
Tyler Lockett,SEA,WR,16,117,84,1033,12.3,9,239.3,14.96,2.85
Jaylen Waddle,MIA,WR,17,116,75,1356,18.1,8,259.2,15.25,3.32
Mark Andrews,BAL,TE,15,113,73,847,11.6,5,188.5,12.57,2.48
Brandon Aiyuk,SF,WR,17,113,78,1015,13,8,227.8,13.4,2.85
Tee Higgins,CIN,WR,14,110,74,1029,13.9,7,218.9,15.64,2.96
Courtland Sutton,DEN,WR,15,109,64,829,13,2,159.4,10.63,2.45
Tyler Higbee,LA,TE,16,108,72,620,8.6,3,152,9.5,2.11
Marquise Brown,ARI,WR,12,107,67,709,10.6,3,156,13,2.29
Adam Thielen,MIN,WR,17,107,70,716,10.2,6,178,10.47,2.51
Joshua Palmer,LAC,WR,16,107,72,769,10.7,3,167.3,10.46,2.29
JuJu Smith-Schuster,KC,WR,16,101,78,933,12,3,185.3,11.58,2.38
Jerry Jeudy,DEN,WR,15,100,67,972,14.5,6,204.2,13.61,2.88
Allen Lazard,GB,WR,15,100,60,788,13.1,6,174.8,11.65,2.82
Cooper Kupp,LA,WR,9,98,75,812,10.8,6,201.4,22.38,2.4
Pat Freiermuth,PIT,TE,15,98,63,732,11.6,2,148.2,9.88,2.35
Evan Engram,JAC,TE,17,98,73,766,10.5,4,174.9,10.29,2.33
DeAndre Hopkins,ARI,WR,9,96,64,717,11.2,3,151.7,16.86,2.37
Donovan Peoples-Jones,CLE,WR,17,96,61,839,13.8,3,161.1,9.48,2.6
Deebo Samuel,SF,WR,13,95,56,632,11.3,2,168.4,12.95,1.72
Jakobi Meyers,NE,WR,14,95,67,803,12,6,182.2,13.01,2.64
Mack Hollins,LV,WR,17,93,57,690,12.1,4,154.2,9.07,2.53
Brandin Cooks,HOU,WR,13,93,57,699,12.3,3,145.6,11.2,2.47
Mike Williams,LAC,WR,13,93,63,895,14.2,4,176.5,13.58,2.8
Parris Campbell,IND,WR,17,92,63,623,9.9,3,149.1,8.77,2.19
Curtis Samuel,WAS,WR,17,92,64,656,10.3,4,176.3,10.37,1.73
Gabe Davis,BUF,WR,15,92,48,836,17.4,7,171.6,11.44,3.58
K.J. Osborn,MIN,WR,17,90,60,650,10.8,5,155.6,9.15,2.47
Robert Woods,TEN,WR,17,90,53,527,9.9,2,117.7,6.92,2.22
Dalton Schultz,DAL,TE,15,89,57,577,10.1,5,142.7,9.51,2.5
Rhamondre Stevenson,NE,RB,17,89,69,421,6.1,1,247.1,14.54,0.89
Keenan Allen,LAC,WR,10,89,66,766,11.6,4,165.4,16.54,2.47
Tyler Conklin,NYJ,TE,17,87,58,550,9.5,3,131.3,7.72,2.19
Gerald Everett,LAC,TE,15,87,58,555,9.6,4,137.5,9.17,2.33
T.J. Hockenson,MIN,TE,10,86,60,509,8.5,3,128.9,12.89,2.15
George Kittle,SF,TE,15,86,60,765,12.8,11,200.5,13.37,3.34
George Pickens,PIT,WR,17,85,52,801,15.4,4,164.5,9.68,2.99
Leonard Fournette,TB,RB,16,83,73,523,7.2,3,227.1,14.19,0.87
Tyler Boyd,CIN,WR,16,82,58,762,13.1,5,165.1,10.32,2.85
Marvin Jones,JAC,WR,16,81,46,535,11.6,3,117.5,7.34,2.55
Marquez Valdes-Scantling,KC,WR,17,81,42,687,16.4,2,122.4,7.2,2.85
David Njoku,CLE,TE,14,80,58,628,10.8,4,142,10.14,2.37
