Derrick Henry,TEN,RB,16,349,1538,4.4,13,6,3,302.8,18.92,0.79
Josh Jacobs,LV,RB,17,340,1653,4.9,12,3,1,328.3,19.31,0.84
Nick Chubb,CLE,RB,17,302,1525,5,12,1,1,279.4,16.44,0.85
Saquon Barkley,NYG,RB,16,295,1312,4.4,10,1,0,282,17.63,0.8
Najee Harris,PIT,RB,17,272,1038,3.8,7,2,1,226.3,13.31,0.72
Dalvin Cook,MIN,RB,17,264,1173,4.4,8,4,4,237.8,13.99,0.78
Jamaal Williams,DET,RB,17,260,1050,4,16,3,2,216.3,12.72,0.8
Miles Sanders,PHI,RB,17,259,1269,4.9,11,2,2,216.7,12.75,0.78
Ezekiel Elliott,DAL,RB,15,231,876,3.8,12,0,0,185.8,12.39,0.75
Kenneth Walker,SEA,RB,15,228,1050,4.6,9,0,0,202.5,13.5,0.79
Alvin Kamara,NO,RB,15,223,898,4,2,4,4,211.8,14.12,0.76
Travis Etienne,JAC,RB,17,220,1125,5.1,5,4,3,202.9,11.94,0.8
Dameon Pierce,HOU,RB,13,220,939,4.3,4,4,2,166.4,12.8,0.67
Aaron Jones,GB,RB,17,213,1121,5.3,2,5,3,246.6,14.51,0.91
Joe Mixon,CIN,RB,14,210,814,3.9,7,0,0,239.5,17.11,0.89
Rhamondre Stevenson,NE,RB,17,210,1020,4.9,5,4,1,247.1,14.54,0.89
Tyler Allgeier,ATL,RB,16,210,1035,4.9,3,0,0,157.4,9.84,0.7
Brian Robinson,WAS,RB,12,205,797,3.9,2,2,0,112.7,9.39,0.53
Austin Ekeler,LAC,RB,17,204,915,4.5,13,5,3,371.3,21.84,1.19
D'Onta Foreman,CAR,RB,16,203,914,4.5,5,1,0,129,8.06,0.62
David Montgomery,CHI,RB,16,201,801,4,5,2,2,177.7,11.11,0.76
Tony Pollard,DAL,RB,16,193,1007,5.2,9,0,0,248.8,15.55,1.07
Jonathan Taylor,IND,RB,11,192,861,4.5,4,3,3,146.4,13.31,0.67
Leonard Fournette,TB,RB,16,189,668,3.5,3,0,0,227.1,14.19,0.87
Cam Akers,LA,RB,15,188,786,4.2,7,2,2,141.3,9.42,0.7
AJ Dillon,GB,RB,17,186,770,4.1,7,1,0,167.6,9.86,0.78
James Conner,ARI,RB,13,183,782,4.3,7,3,1,200.2,15.4,0.87
Raheem Mostert,MIA,RB,16,181,891,4.9,3,1,1,168.3,10.52,0.79
Devin Singletary,BUF,RB,16,177,819,4.6,5,3,3,177.9,11.12,0.83
Isiah Pacheco,KC,RB,17,170,830,4.9,5,3,2,135,7.94,0.74
Jalen Hurts,PHI,QB,15,164,759,4.6,12,9,2,373.9,24.93,2.28
Latavius Murray,DEN,RB,12,160,703,4.4,5,1,0,138.7,11.56,0.75
Christian McCaffrey,SF,RB,11,159,746,4.7,6,1,0,238.4,21.67,1.13
Justin Fields,CHI,QB,15,159,1138,7.2,8,15,2,304.5,20.3,1.91
Antonio Gibson,WAS,RB,15,149,546,3.7,3,1,0,165.9,11.06,0.85
Cordarrelle Patterson,ATL,RB,13,144,695,4.8,8,1,1,148.7,11.44,0.9
Rachaad White,TB,RB,16,129,481,3.7,1,2,2,140.1,8.76,0.78
Khalil Herbert,CHI,RB,13,129,732,5.7,4,0,0,117.9,9.07,0.85
Josh Allen,BUF,QB,16,124,762,6.1,7,13,5,405.5,25.35,3.27
Kareem Hunt,CLE,RB,17,123,468,3.8,3,0,0,126.8,7.46,0.8
Daniel Jones,NYG,QB,16,120,708,5.9,7,6,3,290,18.13,2.42
Michael Carter,NYJ,RB,16,114,402,3.5,3,1,1,126,7.88,0.81
Lamar Jackson,BAL,QB,12,112,764,6.8,3,3,2,241.1,20.09,2.15
Kenyan Drake,BAL,RB,12,109,482,4.4,4,1,0,104.1,8.68,0.83
Damien Harris,NE,RB,11,106,463,4.4,3,0,0,91,8.27,0.74
D'Andre Swift,DET,RB,14,99,542,5.5,5,1,0,187.7,13.41,1.28
Taysom Hill,NO,QB,16,96,575,6,7,1,0,145.7,9.11,1.39
Samaje Perine,CIN,RB,16,95,394,4.1,2,0,0,142.1,8.88,1.07
Chuba Hubbard,CAR,RB,12,95,466,4.9,2,0,0,87.3,7.28,0.8
J.K. Dobbins,BAL,RB,8,92,520,5.7,2,0,0,81.2,10.15,0.82
Jeff Wilson,SF,RB,8,92,468,5.1,2,2,2,73.9,9.24,0.72
Melvin Gordon,DEN,RB,10,90,318,3.5,2,5,2,87.1,8.71,0.76
James Cook,BUF,RB,16,89,507,5.7,2,1,1,105.7,6.61,0.96
Gus Edwards,BAL,RB,9,86,423,4.9,3,1,1,58.3,6.48,0.68
Marcus Mariota,ATL,QB,13,85,438,5.2,4,7,3,201.6,15.5,2.37
Christian McCaffrey,CAR,RB,6,85,393,4.6,2,0,0,118,19.67,1
Zonovan Knight,NYJ,RB,7,85,300,3.5,1,2,0,59,8.43,0.6
Jeff Wilson,MIA,RB,8,84,392,4.7,3,1,0,84.6,10.58,0.88
James Robinson,JAC,RB,7,81,340,4.2,3,1,0,71.6,10.23,0.8
Breece Hall,NYJ,RB,7,80,463,5.8,4,1,1,115.1,16.44,1.16
Jaylen Warren,PIT,RB,16,77,379,4.9,1,1,0,93.3,5.83,0.89
Zack Moss,IND,RB,8,76,365,4.8,1,0,0,47.7,5.96,0.6
Caleb Huntley,ATL,RB,12,76,366,4.8,1,1,0,44.9,3.74,0.58
Joe Burrow,CIN,QB,16,75,257,3.4,5,6,3,356.7,22.29,4.76
Alexander Mattison,MIN,RB,17,74,283,3.8,5,0,0,88.4,5.2,0.99
Jerick McKinnon,KC,RB,17,72,291,4,1,1,1,194.3,11.43,1.52
Clyde Edwards-Helaire,KC,RB,10,71,302,4.3,3,0,0,98.3,9.83,1.12
Eno Benjamin,ARI,RB,9,70,299,4.3,2,0,0,84.3,9.37,0.9
Darrell Henderson,LA,RB,10,70,283,4,3,0,0,73.5,7.35,0.84
Joshua Kelley,LAC,RB,12,69,287,4.2,2,0,0,64.8,5.4,0.78
Deon Jackson,IND,RB,12,68,236,3.5,1,1,1,84.5,7.04,0.86
Geno Smith,SEA,QB,17,68,366,5.4,1,8,4,314.9,18.52,4.63
Kyler Murray,ARI,QB,11,66,415,6.3,2,8,2,193.2,17.57,2.93
Trevor Lawrence,JAC,QB,17,62,291,4.7,5,11,8,299.6,17.62,4.83
Mark Ingram,NO,RB,10,62,233,3.8,1,2,2,48.1,4.81,0.62
Patrick Mahomes,KC,QB,17,61,358,5.9,4,4,0,423.4,24.91,6.83
Rashaad Penny,SEA,RB,5,57,346,6.1,2,1,0,52.2,10.44,0.86
Kenny Pickett,PIT,QB,13,55,237,4.3,3,4,1,154.9,11.91,2.82
Russell Wilson,DEN,QB,15,55,277,5,3,6,2,237.8,15.85,4.25
Justin Herbert,LAC,QB,17,54,147,2.7,0,8,3,289.3,17.02,5.17
Boston Scott,PHI,RB,13,54,217,4,3,0,0,46.2,3.55,0.78
Matt Breida,NYG,RB,17,54,220,4.1,1,0,0,59.8,3.52,0.81
Kenneth Gainwell,PHI,RB,17,53,240,4.5,4,0,0,87.9,5.17,1.16
Justice Hill,BAL,RB,13,49,262,5.3,0,2,1,42,3.23,0.69
Jacoby Brissett,CLE,QB,14,48,238,5,2,6,4,174.1,12.44,3.63
Mac Jones,NE,QB,14,47,102,2.2,1,5,1,179,12.79,3.81
Javonte Williams,DEN,RB,4,47,204,4.3,0,1,1,42,10.5,0.67
JaMycal Hasty,JAC,RB,14,46,194,4.2,2,0,0,70,5,1.06
Dak Prescott,DAL,QB,12,45,182,4,1,4,1,213.6,17.8,4.75
Elijah Mitchell,SF,RB,5,45,279,6.2,2,0,0,43.6,8.72,0.91
Tyler Huntley,BAL,QB,5,43,137,3.2,1,3,0,51,10.2,1.19
Jordan Mason,SF,RB,8,43,258,6,1,0,0,31.8,3.98,0.74
Dare Ogunbowale,HOU,RB,11,42,123,2.9,1,0,0,48.7,4.43,0.79
Justin Jackson,DET,RB,12,42,170,4,1,0,0,51.1,4.26,0.95
Chase Edmonds,MIA,RB,8,42,120,2.9,2,0,0,49.6,6.2,0.95
Deebo Samuel,SF,WR,13,42,232,5.5,3,2,2,168.4,12.95,1.72
Royce Freeman,HOU,RB,4,41,117,2.9,0,1,1,19,4.75,0.4
Curtis Samuel,WAS,WR,17,38,187,4.9,1,1,1,176.3,10.37,1.73
Malik Davis,DAL,RB,6,38,161,4.2,1,0,0,34.4,5.73,0.78
Jonathan Williams,WAS,RB,7,37,152,4.1,0,0,0,26.2,3.74,0.6
Sony Michel,LAC,RB,10,36,106,2.9,0,0,0,24.9,2.49,0.55
Deshaun Watson,CLE,QB,6,36,175,4.9,1,1,0,90.6,15.1,2.52
Kyren Williams,LA,RB,8,35,139,4,0,0,0,30.5,3.81,0.69
DeeJay Dallas,SEA,RB,11,35,186,5.3,0,0,0,47.2,4.29,0.91
