Patrick Mahomes,KC,QB,15,0.979,568,593,380,0.669,3939,6.9,10.4,6.6,6.3,26,14,2,25,0.042,91.7,282.3,18.82
Sam Howell,WAS,QB,15,0.955,557,617,352,0.632,3623,6.5,10.3,7.6,5,19,17,4,60,0.097,80.5,256.4,17.09
Jared Goff,DET,QB,15,0.997,539,567,365,0.677,3984,7.4,10.9,6.7,5.1,27,10,2,28,0.049,98.3,265.5,17.7
Trevor Lawrence,JAC,QB,15,0.946,521,556,341,0.655,3736,7.2,11,8.3,4.9,19,12,0,35,0.063,89.1,254.3,16.96
Dak Prescott,DAL,QB,15,0.941,516,552,353,0.684,3892,7.5,11,7.8,4.7,30,7,0,36,0.065,104.2,300.4,20.03
Jordan Love,GB,QB,15,0.995,514,543,321,0.625,3587,7,11.2,8.5,5.1,27,11,0,29,0.053,91.8,279.1,18.61
Josh Allen,BUF,QB,15,0.966,511,531,340,0.665,3778,7.4,11.1,8.4,5.2,27,15,0,20,0.038,93.7,357.4,23.83
Baker Mayfield,TB,QB,15,0.997,501,536,322,0.643,3598,7.2,11.2,8.6,5.3,26,8,0,35,0.065,96.2,255.6,17.04
Jalen Hurts,PHI,QB,15,0.993,499,533,327,0.655,3636,7.3,11.1,8.4,4.9,20,13,2,34,0.064,89.6,350,23.34
Tua Tagovailoa,MIA,QB,15,0.952,495,521,349,0.705,4214,8.5,12.1,7.5,5.8,26,10,2,26,0.05,105.4,257.9,17.19
Derek Carr,NO,QB,15,0.838,488,516,329,0.674,3417,7,10.4,8,4.6,19,8,2,28,0.054,93.6,202.4,13.49
Matthew Stafford,LA,QB,14,0.977,487,513,302,0.62,3648,7.5,12.1,7.9,5.5,23,9,1,26,0.051,93,235.5,16.82
Bryce Young,CAR,QB,14,0.998,477,530,285,0.597,2671,5.6,9.4,7.6,4.1,11,9,3,51,0.096,75,154.5,11.04
Justin Herbert,LAC,QB,13,0.959,456,485,297,0.651,3134,6.9,10.6,7.6,5.2,20,7,0,29,0.06,93.2,239.2,18.4
Russell Wilson,DEN,QB,15,0.996,447,492,297,0.664,3070,6.9,10.3,7.1,5.8,26,8,0,45,0.091,98,260.9,17.39
Gardner Minshew,IND,QB,14,0.881,443,475,277,0.625,2940,6.6,10.6,7.2,5,14,9,0,31,0.065,83.9,181.4,12.96
C.J. Stroud,HOU,QB,13,0.987,441,476,275,0.624,3631,8.2,13.2,9.2,5.5,20,5,0,34,0.071,98.7,244.5,18.81
Geno Smith,SEA,QB,13,0.97,438,468,284,0.648,3142,7.2,11.1,7.1,5.2,17,9,0,30,0.064,90.4,196.9,15.14
Lamar Jackson,BAL,QB,15,0.975,436,472,289,0.663,3357,7.7,11.6,8.3,5.5,19,7,1,35,0.074,97.2,299.9,19.99
Brock Purdy,SF,QB,15,0.932,416,444,286,0.688,4050,9.7,14.2,8.2,6.9,29,11,1,27,0.061,112.2,289,19.27
Zach Wilson,NYJ,QB,12,0.922,368,414,221,0.601,2271,6.2,10.3,7.3,5,8,7,0,46,0.111,77.2,122.9,10.25
Joe Burrow,CIN,QB,10,0.941,365,389,244,0.668,2309,6.3,9.5,6.4,5.1,15,6,0,24,0.062,91,153.2,15.32
Desmond Ridder,ATL,QB,13,0.903,354,385,224,0.633,2528,7.1,11.3,8.3,4.5,10,10,1,31,0.081,82.2,168.8,12.99
Mac Jones,NE,QB,11,0.894,345,367,224,0.649,2120,6.1,9.5,7,5.4,10,12,3,22,0.06,77,118.4,10.76
Kenny Pickett,PIT,QB,12,0.893,324,347,201,0.62,2070,6.4,10.3,7,5.2,6,4,0,23,0.066,81.4,114.2,9.52
Justin Fields,CHI,QB,11,0.958,322,358,196,0.609,2146,6.7,10.9,7.9,5.3,15,9,2,36,0.101,84.5,205.3,18.67
Kirk Cousins,MIN,QB,8,0.979,311,328,216,0.695,2331,7.5,10.8,7.3,4.6,18,5,1,17,0.052,103.8,154.7,19.34
Joshua Dobbs,ARI,QB,8,1,266,283,167,0.628,1569,5.9,9.4,8.2,3.9,8,5,1,17,0.06,81.2,125.6,15.7
Aidan O'Connell,LV,QB,9,0.91,265,285,163,0.615,1675,6.3,10.3,7.2,5.3,8,7,0,19,0.067,78.7,94.7,10.52
Will Levis,TEN,QB,8,0.996,249,276,147,0.59,1792,7.2,12.2,10.4,5,8,4,1,27,0.098,85.3,105.4,13.17
Kyler Murray,ARI,QB,6,0.988,207,223,129,0.623,1305,6.3,10.1,7.9,5.4,6,4,1,15,0.067,81.9,108.9,18.15
Jake Browning,CIN,QB,7,0.801,186,202,134,0.72,1583,8.5,11.8,6.4,6.9,8,6,1,16,0.079,98.5,109.3,15.62
Ryan Tannehill,TEN,QB,7,0.953,184,209,116,0.63,1280,7,11,8.7,4.9,2,6,0,25,0.12,73.6,66.9,9.56
Tommy DeVito,NYG,QB,8,0.834,176,212,112,0.636,1087,6.2,9.7,6.6,5.1,8,3,0,36,0.17,88.9,96,12
Joe Flacco,CLE,QB,4,0.96,175,182,104,0.594,1307,7.5,12.6,9.9,4.8,10,7,1,7,0.038,85.1,83.2,20.8
Deshaun Watson,CLE,QB,6,0.836,171,188,105,0.614,1115,6.5,10.6,9.3,4.8,7,4,2,17,0.09,84.3,84.8,14.13
Jimmy Garoppolo,LV,QB,6,0.917,168,181,110,0.655,1205,7.2,11,8.1,4.3,7,9,0,13,0.072,78.1,71.1,11.85
Daniel Jones,NYG,QB,6,0.815,160,190,108,0.675,909,5.7,8.4,6.9,4.1,2,6,2,30,0.158,70.5,63,10.49
