Garrett Wilson,NYJ,WR,15,153,88,958,10.9,3,197.9,13.19,2.17
A.J. Brown,PHI,WR,15,152,101,1394,13.8,7,280.4,18.69,2.78
CeeDee Lamb,DAL,WR,15,151,109,1424,13.1,9,325.5,21.7,2.69
Keenan Allen,LAC,WR,13,150,108,1257,11.6,7,280.3,21.56,2.55
Amon-Ra St. Brown,DET,WR,14,147,106,1281,12.1,8,281.4,20.1,2.58
Davante Adams,LV,WR,15,146,85,977,11.5,5,212.7,14.18,2.5
Tyreek Hill,MIA,WR,14,146,106,1641,15.5,12,341.6,24.4,3.08
Stefon Diggs,BUF,WR,15,145,96,1070,11.1,8,249,16.6,2.59
Puka Nacua,LA,WR,15,145,96,1327,13.8,5,265.7,17.71,2.51
Michael Pittman,IND,WR,14,143,99,1062,10.7,4,229.2,16.37,2.32
Ja'Marr Chase,CIN,WR,14,132,93,1156,12.4,7,249.7,17.84,2.6
Chris Olave,NO,WR,14,129,81,1041,12.9,4,209.1,14.94,2.58
Adam Thielen,CAR,WR,15,128,95,964,10.1,4,216,14.4,2.25
Amari Cooper,CLE,WR,15,128,72,1250,17.4,5,225,15,3.13
T.J. Hockenson,MIN,TE,15,127,95,960,10.1,5,219,14.6,2.31
Mike Evans,TB,WR,15,124,73,1163,15.9,13,267.3,17.82,3.66
Evan Engram,JAC,TE,15,124,98,824,8.4,3,194.4,12.96,1.98
DeAndre Hopkins,TEN,WR,15,119,61,939,15.4,6,191.8,12.79,3.04
Chris Godwin,TB,WR,15,118,74,892,12.1,1,178.6,11.91,2.32
Calvin Ridley,JAC,WR,15,118,66,871,13.2,7,197.4,13.16,2.63
DJ Moore,CHI,WR,15,117,83,1141,13.7,7,245.2,16.35,2.82
Travis Kelce,KC,TE,14,117,90,975,10.8,5,215.5,15.39,2.39
Terry McLaurin,WAS,WR,15,117,69,885,12.8,3,175.5,11.7,2.54
David Njoku,CLE,TE,15,115,75,748,10,6,183.8,12.25,2.45
Tyler Lockett,SEA,WR,15,113,76,813,10.7,4,181.3,12.09,2.39
DeVonta Smith,PHI,WR,15,107,78,1036,13.3,7,221.6,14.77,2.84
DK Metcalf,SEA,WR,14,106,60,998,16.6,8,207.8,14.84,3.46
Zay Flowers,BAL,WR,15,105,74,752,10.2,4,184.8,12.32,2.25
Jaylen Waddle,MIA,WR,14,104,72,1014,14.1,4,198.6,14.19,2.65
Sam LaPorta,DET,TE,15,101,74,776,10.5,9,206,13.73,2.75
Marquise Brown,ARI,WR,13,101,51,574,11.3,4,134.7,10.36,2.54
Elijah Moore,CLE,WR,15,98,54,579,10.7,1,115,7.67,1.83
