Christian McCaffrey,SF,RB,15,258,1395,5.4,14,3,2,378.2,25.21,1.18
Derrick Henry,TEN,RB,15,249,972,3.9,11,0,0,221.2,14.74,0.8
Rachaad White,TB,RB,15,242,873,3.6,6,1,1,246,16.4,0.83
Travis Etienne,JAC,RB,15,235,849,3.6,9,0,0,238.9,15.93,0.84
Josh Jacobs,LV,RB,13,233,805,3.5,6,3,1,181.1,13.93,0.67
Joe Mixon,CIN,RB,15,222,858,3.9,8,0,0,221.6,14.77,0.82
Tony Pollard,DAL,RB,15,219,886,4,5,3,1,198.1,13.21,0.73
Saquon Barkley,NYG,RB,12,217,877,4,4,2,2,188.7,15.73,0.75
D'Andre Swift,PHI,RB,15,216,988,4.6,5,3,1,191.7,12.78,0.75
Raheem Mostert,MIA,RB,15,209,1012,4.8,18,4,1,267.7,17.85,1.14
James Cook,BUF,RB,15,208,1038,5,2,4,2,219.1,14.61,0.88
Kyren Williams,LA,RB,11,208,1057,5.1,9,3,2,222.7,20.25,0.94
Chuba Hubbard,CAR,RB,15,204,774,3.8,5,1,0,160.2,10.68,0.68
Najee Harris,PIT,RB,15,202,801,4,5,2,1,147,9.8,0.65
David Montgomery,DET,RB,12,195,910,4.7,11,2,1,182.7,15.23,0.87
Javonte Williams,DEN,RB,14,193,701,3.6,2,1,1,145.9,10.42,0.63
Kenneth Walker,SEA,RB,13,192,774,4,7,0,0,173.8,13.37,0.8
Jerome Ford,CLE,RB,15,189,743,3.9,4,0,0,179.9,11.99,0.79
Bijan Robinson,ATL,RB,15,188,873,4.6,4,3,3,208.6,13.91,0.88
Isiah Pacheco,KC,RB,13,187,805,4.3,7,1,1,184.4,14.18,0.82
Zack Moss,IND,RB,13,177,764,4.3,5,0,0,164.6,12.66,0.81
Devin Singletary,HOU,RB,15,176,765,4.3,3,1,0,143.2,9.55,0.71
Tyler Allgeier,ATL,RB,15,175,646,3.7,4,0,0,113.4,7.56,0.6
Breece Hall,NYJ,RB,15,173,732,4.2,4,2,0,233.9,15.59,0.98
Gus Edwards,BAL,RB,15,172,694,4,12,1,0,171.4,11.43,0.93
AJ Dillon,GB,RB,14,171,586,3.4,2,0,0,114.9,8.21,0.6
Alvin Kamara,NO,RB,12,170,649,3.8,5,0,0,220.1,18.34,0.91
Alexander Mattison,MIN,RB,14,170,659,3.9,0,2,2,124.3,8.88,0.63
Brian Robinson,WAS,RB,13,160,664,4.2,5,3,1,173.9,13.38,0.92
Ezekiel Elliott,NE,RB,15,157,549,3.5,2,2,1,149.9,9.99,0.74
Austin Ekeler,LAC,RB,12,156,571,3.7,5,3,3,168.3,14.03,0.85
Rhamondre Stevenson,NE,RB,12,156,619,4,4,1,1,145.7,12.14,0.75
James Conner,ARI,RB,11,155,762,4.9,5,0,0,144.8,13.16,0.82
Jahmyr Gibbs,DET,RB,13,154,872,5.7,9,2,1,227.8,17.52,1.11
Jalen Hurts,PHI,QB,15,147,576,3.9,15,9,5,350,23.34,2.38
Lamar Jackson,BAL,QB,15,142,786,5.5,5,11,6,299.9,19.99,2.11
Dameon Pierce,HOU,RB,12,137,400,2.9,2,0,0,73.6,6.13,0.49
Jaylen Warren,PIT,RB,15,127,676,5.3,3,2,1,168.6,11.24,0.94
Kareem Hunt,CLE,RB,13,125,380,3,8,0,0,107.9,8.3,0.78
Miles Sanders,CAR,RB,14,124,404,3.3,1,2,2,81.6,5.83,0.55
Jonathan Taylor,IND,RB,8,118,457,3.9,5,0,0,111.4,13.93,0.83
D'Onta Foreman,CHI,RB,9,109,425,3.9,4,1,0,91.2,10.13,0.76
Justin Fields,CHI,QB,11,105,585,5.6,3,9,4,205.3,18.67,1.96
Joshua Kelley,LAC,RB,15,103,402,3.9,2,1,1,61.4,4.09,0.55
Khalil Herbert,CHI,RB,10,102,459,4.5,1,1,1,83.5,8.35,0.71
Zach Charbonnet,SEA,RB,14,101,428,4.2,1,0,0,89,6.36,0.7
Aaron Jones,GB,RB,9,100,425,4.3,2,2,1,101.8,11.31,0.82
Tyjae Spears,TEN,RB,15,91,428,4.7,1,1,0,125.3,8.35,0.92
Josh Allen,BUF,QB,15,85,413,4.9,13,3,3,357.4,23.83,4.2
Justice Hill,BAL,RB,14,81,339,4.2,3,1,1,81.5,5.82,0.81
Russell Wilson,DEN,QB,15,80,341,4.3,3,10,5,260.9,17.39,3.26
Rico Dowdle,DAL,RB,15,80,315,3.9,2,0,0,78.5,5.23,0.84
Ty Chandler,MIN,RB,11,80,352,4.4,3,0,0,80.7,7.34,0.84
De'Von Achane,MIA,RB,9,79,637,8.1,7,1,1,153.9,17.1,1.52
Latavius Murray,BUF,RB,14,78,300,3.8,4,1,0,82.9,5.92,0.87
Kenneth Gainwell,PHI,RB,14,75,297,4,2,3,1,82.5,5.89,0.82
